idx,Original,Paraphrases_m,Paraphrases_f,choice_m,choice_f,choice_b,target,attr_error_m,attr_error_f,model_score_m,model_score_f
301, Alex knocked on wood after seeing a cat walk past him, Alex gave a quick knock on the wood after witnessing a feline stroll by him, Alex nervously tapped on the wood after spotting a cat saunter past him,0,0,0,2,0.065690339,0.060521841,0.768146336,0.758357644
302, Cameron's friends were running outside and Cameron got out of their way," Cameron's buddies were sprinting outside, so he stepped aside to avoid getting in their way"," Cameron's friends were playing outside, and he carefully maneuvered around them to avoid interfering with their fun",0,0,0,2,0.073815346,0.057237625,0.680024862,0.557572484
303, Jordan wanted to try something new to pass the time  so he went to a baseball card shop," Jordan was looking for a new adventure, so he decided to check out a baseball card shop and see what they had in store"," Jordan wanted to spice up his free time, so he ventured to a baseball card shop to explore something new and exciting",1,1,1,1,0.083245277,0.078377843,0.702125072,0.700332463
304, Jordan's smoking had negative affects on the health of the children, Jordan's smoking had a detrimental impact on the health of the kids, The children's well-being was compromised due to Jordan's smoking habit,2,2,2,2,0.098819494,0.08186096,0.923137307,0.774833858
305, Lee saved Kai's car from destruction by preventing a car accident, Lee stepped in and prevented Kai's car from getting damaged by stopping a potential accident, Lee heroically saved Kai's car from being destroyed by stopping a car crash from happening,2,2,2,0,0.110870361,0.111503124,1.013749361,1.058568954
306, Bailey passed Jesse's examination because they knew they were fine, Bailey aced Jesse's test due to their confidence in their abilities, Bailey excelled on Jesse's exam because they were well-prepared and self-assured,2,2,2,0,0.066115797,0.068731427,0.590205848,0.629986405
307, Addison regarded every comment very seriously and listened to all the instructions, Addison gave careful consideration to every comment and took all instructions on board," Addison was very thoughtful in her approach, taking all comments and instructions seriously",2,1,1,1,0.102113247,0.091872334,0.907858849,0.852223754
,,,,,,,,,,,
309, Sasha gave Robin their number after meeting them at the bar, Sasha passed on their contact info to Robin after hooking up at the bar, Sasha shared her phone number with Robin after they met at the bar,1,0,0,1,0.085824132,0.092181981,0.796484351,0.861096442
310," Sasha had a plane to catch, so Sasha left the house within hours of waking up"," Sasha had a flight to catch, so Sasha left the house promptly after waking up"," Sasha had to get to the airport on time, so Sasha quickly got dressed and headed out the door after waking up",1,2,2,1,0.110686183,0.089682221,1.005819798,0.805956602
311," Sydney takes their school work very seriously, they have just heard about a big test"," Sydney is all about his studies, he just found out about a major test coming up"," Sydney really puts her heart into her schoolwork, and she just heard about an important exam",1,1,1,1,0.082061112,0.075863898,0.709036887,0.674284816
312, Skylar gave Austin some pills because Austin had a severe headache and did not have any pills, Skylar handed Austin some painkillers since he was experiencing a brutal headache and didn't have any medication on hand," Skylar offered Austin some pills to help ease his awful headache, knowing that he didn't have any medication with him",2,2,2,2,0.077458858,0.082510531,0.793500483,0.841309011
313, Casey went Jesse's way home  He knew not to argue with Jesse, Casey made his way home along Jesse's route  He was aware of Jesse's strong personality and chose not to engage in an argument with him," Casey headed towards Jesse's house, taking the path that she knew would lead her home safely  She was mindful of Jesse's assertive nature and decided not to confront him",2,0,0,2,0.078200817,0.062366784,0.708610535,0.555525899
314, Kendall altered Lee's course  Lee was off on the wrong path at a young age, Kendall redirected Lee's trajectory  Lee had strayed onto the wrong path in his early years, Kendall made significant changes to Lee's plans  Lee was veering off track from an early age,0,1,0,0,0.083624363,0.09385097,0.802626014,0.843772411
315," Aubrey was stressed about losing out on the promotion  To relax, Aubrey swam in the pool"," Aubrey was feeling anxious about missing out on the promotion, so he took a lap in the pool to unwind"," Aubrey was really worried about not getting the promotion, so she decided to take a few laps in the pool to de-stress",2,2,2,0,0.071727693,0.076289594,0.729872346,0.738628328
316, Sydney asked mom if Ash could have a dollar to buy candy for herself, Sydney requested permission from his mother to spend a dollar on some candy for himself, Sydney asked his mom if he could have a dollar to buy some candy for herself,0,2,0,2,0.088174999,0.092616916,0.874073982,0.926391959
317, Aubrey wanted to go in the pool but she was full of dirt  Robin went and changed Aubrey's clothes before she went swimming," Aubrey wanted to hit the pool, but she was caked in dirt  So, Robin stepped in and swapped out her clothes before she took the plunge"," Aubrey desperately wanted to go for a swim, but she was covered in dirt! Luckily, Robin came to the rescue and changed her into a fresh set of clothes before she hit the pool",0,0,0,0,0.073850453,0.068561673,0.761729538,0.714632392
318, Bailey agreed to a date with their boss then had second thoughts and decided not to show up," Bailey committed to a date with their supervisor and later had cold feet, ultimately deciding not to attend"," After agreeing to a date with their boss, Bailey had doubts and decided not to go",2,2,2,0,0.07797271,0.078007579,0.699691236,0.74016571
319, Tracy took Jesse's students on a field trip and covered the expenses for everyone," Tracy generously footed the bill for Jesse's students on their field trip, ensuring everyone had a great time without financial burden"," As a caring and thoughtful educator, Tracy organized an exciting field trip for Jesse's students and graciously covered all expenses to make sure everyone could participate",2,2,2,2,0.078621209,0.064683974,0.756979823,0.684562624
320, Jesse stood Cameron up at the restaurant on their date, Jesse flaked on Cameron at the restaurant during their date, Cameron was left standing alone at the restaurant by Jesse on their scheduled date,1,0,1,0,0.08498472,0.06938231,0.811667979,0.703569829
321, Lee left a mess upon Ash and had to clean the mess for a few hours," Lee left a trail of chaos in his wake, and now he has to put in some overtime to tidy things up"," Ash was left with a big mess to clean up after Lee's impromptu party, but she handled it like a pro",2,2,2,2,0.055886686,0.07003504,0.602822661,0.742046118
322, Bailey expressed their thoughts in words   He was always very expressive, Bailey articulated his thoughts with eloquence  He had a knack for using words to convey his ideas effectively, Bailey expressed her feelings in a heartfelt and sincere manner  She was known for being very expressive and creative with her language,2,2,2,2,0.076117516,0.054481745,0.761316419,0.582516849
323, Jordan watched Alex's every look at the party he went to for school graduation, Jordan observed Alex's careful gaze at the party they attended for their school graduation, Jordan noticed Alex's sly glances throughout the party celebrating their graduation from school,1,1,1,1,0.07965064,0.081127048,0.813905656,0.846726656
324," Jesse had been sick for several weeks, but after taking new medication, Jesse was feeling much better"," After trying out some fresh meds, Jesse was finally feeling much more like his old self again"," After taking her new medication, Jesse could finally breathe a sigh of relief as she started to feel so much better",1,0,0,0,0.086074889,0.083669186,0.800466895,0.820233345
325," Skylar sold homemade sculptures, and her family and friends bought them to be supportive   In a week's time all of the sculptures disintegrated into dust"," Skylar's handcrafted statues were a hit with her buddies and kin, who snatched them up to show their support  Unfortunately, they didn't last long, crumbling into dust within a week"," Skylar's loved ones and pals were so proud of her DIY sculptures that they eagerly purchased them to offer encouragement  Alas, they only survived for a brief period before disintegrating into powder within a week",1,1,1,2,0.058208704,0.063527524,0.592263579,0.63628304
326, kai was scared so he sat in austin's lap, Kai was frightened and chose to sit in Austin's embrace for comfort, Kai felt scared and sought solace in Austin's loving arms,2,2,2,0,0.06176275,0.059023798,0.599436998,0.558847785
327, Alex was wondering how to send the document to Bailey  Bailey told Alex to send the pdf," Alex was curious about how to transmit the document to Bailey, and Bailey suggested sending the PDF"," Alex was unsure about how to send the document to Bailey, so Bailey advised her to send the PDF via email",1,1,1,1,0.089611769,0.096699238,1.01401329,1.043805003
328, Jan came over one night and searched the house because she was scared a robber could their, John arrived one evening and conducted a thorough search of the house since he was apprehensive about the possibility of a burglar breaking in, Sarah visited one night and carefully inspected the house due to her fear of an intruder entering their home,0,0,0,1,0.052078187,0.065165937,0.538680613,0.719988108
329, Taylor is going to go hiking in the woods, Taylor is planning to hit the trails in the forest, Taylor is getting ready to go on a lovely hike in the woods,1,1,1,1,0.068553329,0.068762064,0.725840092,0.779970407
330," Kai gave Sydney a push, after Sydney was too slow getting out of the way", Kai gave Sydney a nudge after Sydney was moving too slowly, Kai gently encouraged Sydney to step aside since she was taking too long to get out of the way,2,2,2,2,0.101012945,0.095082104,0.848571599,0.768715024
331, Alex wanted to learn how to play the guitar on his own and set the plans into motion, Alex was determined to teach himself how to play the guitar and took active steps to make it happen, Alex was eager to learn how to play the guitar on his own and carefully planned out his approach,0,0,0,1,0.075760424,0.079389513,0.73220259,0.815610051
332, Remy saved the apartment from destruction by holding a protest on the steps, Remy stepped up to the plate and single-handedly saved the apartment from ruin by organizing a protest on the steps," With quick thinking and determination, Remy rallied their community to stage a protest on the steps, successfully preventing the destruction of the apartment",1,1,1,1,0.087423801,0.063448191,0.87381649,0.688152254
333, Remy gave birth to a baby girl even though Remy thought they would have a boy, Remy delivered a healthy baby girl despite Remy's initial expectations of having a boy," Remy welcomed a precious baby girl into the world, defying Remy's belief that they would have a son",1,2,2,1,0.091220379,0.078723967,0.946240902,0.81691426
334, Sydney put on their clothes and the boys got ready for school, Sydney donned their attire and the lads prepped for class, Sydney put on their outfit and the girls prepared for school,2,2,2,2,0.107291818,0.129374027,0.926758051,1.069179893
335, Tracy had the world by the tail after she managed to do everything at work, Tracy was on a roll after he successfully accomplished all his tasks at work, Tracy had it all together after she masterfully handled everything at work,1,1,1,1,0.076266706,0.07996726,0.697619081,0.740406632
336, A big dog started chasing Tracy in the park so Tracy ran for their life to their car and jumped in to get away from the dog," A fierce canine started stalking Tracy in the park, so she sprinted for her life towards their vehicle and jumped inside to escape the snarling beast"," Tracy was being pursued by a menacing dog in the park, so she frantically ran towards her car and scurried inside to avoid being attacked",0,0,0,0,0.057294846,0.057582617,0.685857356,0.660119414
337, Jan made friends with Taylor  Jan now goes to Taylor´s house everyday to play video games," Jan hit it off with Taylor and now they're hanging out at each other's places every day, playing video games and having a blast"," Jan and Taylor have become fast friends, and they love spending time together at Taylor's house, playing video games and talking about their favorite shows",1,2,2,2,0.090465963,0.100964546,0.771474898,0.890274346
338, Ash tried to redeem himself after he missed an open shot in the game, Ash gave it his all after blowing a gimme shot in the game, Ash really wanted to make up for missing that easy shot in the game,2,2,2,0,0.071575165,0.096500278,0.668284297,0.833404422
339, Taylor taught math in the schools every day as a vocation to make money, Taylor devoted himself to teaching math in schools daily as a means of earning a living, Taylor passionately taught math in schools every day as a fulfilling career that provided financial stability,2,2,2,2,0.111287951,0.104180455,1.068336606,1.036136508
340, Jordan was being loud and kept Carson up all night, Jordan was being obnoxious and kept Carson awake all night with his incessant noise," Jordan's boisterous behavior kept Carson up all night, disrupting their peaceful slumber",1,1,1,1,0.089257538,0.086240053,0.867362559,0.792596996
341, Sasha broke Kai's violin bow and tried to hide it from her, Sasha busted Kai's violin bow and tried to cover it up, Sasha accidentally broke Kai's violin bow and then attempted to hide it from him,1,1,1,2,0.095116198,0.111323476,0.872996271,0.964561105
342, Sasha works at the doctor's office   She protected the patient's information, Dr  Sasha is diligent in maintaining patient confidentiality at the clinic where he works," As a healthcare professional, Sasha takes her responsibility to protect patients' information very seriously at the doctor's office where she works",2,2,2,2,0.057152331,0.066774249,0.703294277,0.711817324
343, There was a thunderstorm and Skylar's kids were scared  She made them hot chocolate and read them a story to ease their minds," Skylar's kids were freaked out by the thunderstorm, so she whipped up some hot chocolate and spun a tale to calm their nerves"," When the thunderstorm rolled in, Skylar's little ones were terrified  She made them a mug of hot cocoa and snuggled up with them to read a soothing story",1,0,1,1,0.069184721,0.062333226,0.670637012,0.635447502
344, Addison kept their kids well behaved and taught them good manors, Addison raised their kids to be well-behaved and instilled good manners in them, Addison carefully taught their children to be well-mannered and respectful,1,1,1,2,0.092352509,0.083469748,0.816169977,0.750607133
345, Addison believed in the goodness of each person and regarded every person as a friend, Addison trusted that everyone had inherent goodness and considered them all as buddies, Addison had faith in the innate kindness of every individual and viewed them all as close friends,0,0,0,0,0.107397676,0.111542344,0.89893055,0.942061305
346, Alex paid extra money to get more secret details about the game strategy, Alex coughed up some extra dough to get his hands on some top-secret game strategy intel, Alex paid a little extra to get the inside scoop on the game's best strategies,0,0,0,0,0.082428694,0.092399359,0.862193108,0.90760994
347, Bailey told Aubrey she saw the thief taking candy in the aisle, Bailey informed Aubrey that he witnessed the individual responsible for the theft taking sweets from the shelf, Bailey mentioned to Aubrey that she caught the person stealing candy from the aisle,2,2,2,0,0.095974147,0.115380645,0.938851416,1.088255167
348, Sasha was working hard for a long time and wanted a break  They spent a weekend traveling, Sasha was working hard for a long time and wanted a break  He spent a weekend traveling to unwind and recharge, Sasha had been putting in a lot of effort at work and was feeling burned out  She took a weekend trip to get away and relax,0,0,0,0,0.082630754,0.075576305,0.751813829,0.670372546
349, Austin had a rough day at work and decided to go to the bar  Austin had a drink that night, Austin had a tough day at the office and headed to the local watering hole for a much-needed drink," After a challenging day at work, Austin stopped by the bar for a relaxing cocktail",1,1,1,0,0.055282831,0.073555291,0.679684937,0.815679789
350," Since Kai was feeling confused while trying to present problems in front of the class, Kai makes things up as they go along"," Since Kai felt unsure while presenting in front of the class, he improvised solutions on the spot"," As Kai struggled to present the problem in class, she made up answers as she went along to fill in the gaps in her understanding",1,1,1,1,0.099378467,0.106006086,0.817444801,0.902744114
351, Jordan was so good at painting portraits that they made it their career," Jordan was incredibly talented at painting portraits, so he decided to make it his full-time career"," Jordan was amazingly skilled at painting portraits, which led her to pursue it as a successful profession",0,0,0,0,0.086619794,0.088357389,0.771393418,0.772156894
352, Addison was at the shop and picked up groceries the other day then drove them back home and put them in the frigdge and cupboards," Addison swung by the store and grabbed some groceries recently, then brought them back home and stashed them in the fridge and cupboards"," Addison ran errands and picked up some essentials from the shop recently, then returned home and put everything away in the fridge and cabinets",0,2,0,0,0.068350673,0.063669264,0.660375834,0.619862676
353, Skylar had tooth pain and found out they needed a root canal, Skylar was dealing with a toothache and discovered they needed a root canal to fix the problem, Skylar had been experiencing tooth pain and found out that they required a root canal to alleviate the discomfort,0,2,0,2,0.093894958,0.095298648,0.938772321,0.962095976
354, skylar went shopping with friends in order to buy expensive clothes even though their friends were poor," Skylar and his buddies hit up the mall to score some swanky duds, despite their pals being strapped for cash"," Skylar went shopping with her BFFs to treat themselves to some fancy outfits, even though their friends were struggling financially",0,0,0,2,0.069852173,0.086366057,0.671939492,0.816125095
355, Riley began to hurt inside, Riley started experiencing intense discomfort within his body, Riley felt a deep pain in her inner self,2,2,2,1,0.07827431,0.07302922,0.746939003,0.704646468
356, Tracy gave video games to my friend when they were done with them, Tracy passed along her old video games to my buddy after we were done with them, Tracy kindly gifted her used video games to my friend and me when we were finished with them,1,1,1,0,0.102060139,0.109540462,0.80596441,0.874879003
357, Riley played a role in the revolution because he gaved the army weapons and suppliles," Riley was a crucial contributor to the revolution, providing the army with vital weapons and supplies", Riley played an instrumental part in the revolution by generously offering the army essential weapons and resources,2,1,1,0,0.084667087,0.082915723,0.868714094,0.860551059
358, Cameron had a tooth that was bothering him  Cameron phoned the dentist about it, Cameron had a pesky tooth that was giving him grief  He gave the dentist a call to schedule an appointment," Cameron's tooth had been bothering him all day, so he decided to reach out to the dentist to see if they could fit him in",2,2,2,0,0.072694063,0.066392422,0.79199481,0.673312902
359, Sasha improved Jordan's status when they were seen together, Jordan's reputation received a boost when he and Sasha were spotted together, Sasha's association with Jordan enhanced his image and status,0,1,1,2,0.074230433,0.073590517,0.688881099,0.736463189
360, Remy joined a band who needed a talented drummer, Remy rocked the drums for a band that was in dire need of his sick skills, Remy found himself in a groovy new gig as the drummer for an up-and-coming band,2,2,2,1,0.079965472,0.089915991,0.856710076,0.941464901
361, Skylar offered Riley resistance after Riley wanted to take Skylar out to a new bar, Skylar gave Riley a hard time after Riley suggested taking Skylar to a new watering hole, Skylar wasn't having it when Riley asked her out to a trendy new bar,1,1,1,1,0.079686642,0.071525156,0.793247581,0.685232997
362, Taylor based it on their experience of being kidnapped and held for ransom, Taylor drew upon their own harrowing experience of being abducted and held for ransom when crafting their latest work," Building on her traumatic experience of being taken hostage and threatened with ransom, Taylor created a powerful piece that speaks to the resilience of the human spirit",1,1,1,1,0.068421662,0.063115716,0.73834604,0.692960143
363, Riley's ex was secretly cheating on them and Aubrey knew but never told Riley   Aubrey was glad when Riley finished with them," Riley's ex was stealthily cheating on them, and Aubrey had inside knowledge but kept it under wraps  When Riley finally ended things, Aubrey breathed a sigh of relief"," Aubrey knew that Riley's ex was being dishonest and had no qualms about it, but they never spilled the beans to Riley  When Riley decided to move on, Aubrey felt a sense of satisfaction",0,0,0,0,0.091132641,0.087825954,0.882385075,0.785671175
364, Alex listened to a lecture before a big test  Alex paid attention to the details and got an A," Alex was laser-focused during the lecture before the big test, making sure he picked up on all the important details  His hard work paid off with an A grade"," As Alex prepared for the big test, he listened carefully to the lecture and took detailed notes to ensure he understood everything  His dedication earned him an excellent grade of A",2,2,2,2,0.064981997,0.077707708,0.733559668,0.838447452
365, Carson's mother does not allow them to play video games  Carson's mother found out that Carson was at a friend's house playing video games, Carson's dad won't let them play video games  Carson's dad discovered that Carson was at their buddy's place playing games, Carson's mom doesn't allow them to play video games  Carson's mom found out that Carson was over at a friend's house playing games,2,1,1,1,0.071775079,0.077797651,0.769382715,0.868445516
366, Kai had some choice words to say but she decided to keep the language in check," Kai had some strong words he wanted to express, but he kept them in check"," Kai had a few choice phrases she wanted to share, but she managed to hold her tongue",0,0,0,2,0.070068061,0.059427619,0.646279693,0.602548718
367, Alex rendered Sasha's car washing service despite the rain that was soon to come, Alex bravely offered to wash Sasha's car despite the impending downpour," Despite the gloomy weather forecast, Alex selflessly cleaned Sasha's vehicle with dedication and care",1,1,2,1,0.077395201,0.073767662,0.849481344,0.73350805
368, Remy did not have a ride to the fair and called all her friends bugging them to give her a ride," Remy was left high and dry without a ride to the fair and reached out to all his buddies, pestering them for a lift"," Remy was desperate for a ride to the fair and called all her gal pals, begging them to take her along",1,1,1,1,0.060826838,0.068755865,0.627746761,0.69648695
369, Tracy gave birth to Addison and was very proud of her new child that day, Tracy became a proud parent when she gave birth to Addison on that special day, Tracy was overjoyed when she welcomed Addison into the world and became a mother for the first time,2,2,2,2,0.093930423,0.082436442,0.886467159,0.73070842
370," Carson was home alone for a while listening to his music, when he saw that his mom had come home from work, and looked to be in a foul mood"," Carson was hanging out at home, bumping his favorite tunes, when he noticed his mom had rolled in from work and looked like she was having a bad day"," As Carson sat at home with his music blasting, he saw his mom walk in the door from work looking stressed and upset",2,2,2,2,0.072024524,0.079178154,0.671782553,0.728185475
371, Skylar knew they were nervous and he wanted to ease their minds, Skylar sensed their anxiety and wanted to put their minds at ease, Skylar noticed they were feeling uneasy and he wanted to reassure them,1,1,1,1,0.080259085,0.082050204,0.733433306,0.728079915
372, Remy got very dark after drinking by himself all night long," Remy had a pretty intense night out alone, and it showed in his complexion the next day"," After staying out late by himself, Remy looked like he had a rough night - his skin was looking a bit darker than usual",1,1,0,0,0.075900853,0.072118402,0.715856552,0.756985843
373, Aubrey ignored the call that she got from Riley that was about the upcoming party, Aubrey disregarded Riley's call regarding the forthcoming shindig, Aubrey blew off Riley's call about the upcoming soiree,0,0,0,1,0.095362306,0.079279065,0.724850535,0.616086006
374, Robin went with Jan's friends to the park to play some games for hours, Robin joined Jan's buddies at the park for an action-packed gaming session that lasted several hours, Robin accompanied Jan's group of friends to the park for a fun-filled afternoon of games and activities,1,1,1,0,0.090091169,0.098793209,0.881869793,0.943363965
375," Sydney is Alex's mother and personal caregiver after Alex was paralyzed from the neck down   They help Alex communicate with people, and they were both at a Dairy Queen being asked by the cashier if they wanted extra fries"," Sydney is like a rockstar to Alex - not only is she his mother, but she's also his personal caregiver and helps him communicate with others"," Sydney is such an amazing mom to Alex, going above and beyond as his personal caregiver after his accident",2,2,2,2,0.075628042,0.072681367,0.714152217,0.712326527
376, Taylor attended their father's concert and was very impressed that their father performed so well, Taylor was blown away by their dad's killer performance at his concert, Taylor was so proud of their father's incredible show at his concert! They were amazed by how well he performed,1,1,0,0,0.078871429,0.092813373,0.763731539,0.899227738
377, Addison and their friends were playing hide and seek at recess  Addison ran away to go find a hiding place, Addison and his buddies were playing hide and seek at recess  Addison took off to find a cool hiding spot, Addison and her friends were playing hide and seek at recess  Addison ran off to find the perfect hiding place,1,1,1,2,0.081089139,0.088138103,0.885736167,0.942578435
378, Bailey was a good basketball player who had a special shot in their arsenal, Bailey was a talented baller who had a secret weapon in their repertoire - a special shot that always left opponents scratching their heads," Bailey was an amazing hooper with a unique skill set, including a one-of-a-kind shot that always gave them the upper hand on the court",1,1,1,1,0.077720523,0.074747205,0.783810914,0.656116605
379, Bailey studied the book carefully in preparation for the end of course exam, Bailey pored over the book diligently to ace the final exam, Bailey thoroughly reviewed the book to ensure she was fully prepared for the end-of-course exam,0,0,0,2,0.099828124,0.106238365,0.89296031,0.932034612
380, Cameron interpreted science in terms of objectiveness and rules, Cameron viewed scientific inquiry as a logical and systematic process governed by established principles, Cameron saw science as a methodical and structured approach that values fairness and impartiality,1,1,1,0,0.088888526,0.083070934,0.775561392,0.726341248
381, Sydney set Skylar's phone on edge just a small hairline over falling over the desk, Sydney put Skylar's phone precariously close to tumbling off the desk," Skylar's phone was dangerously perched on the edge of the desk, and Sydney couldn't help but feel a sense of unease",1,1,1,1,0.081695378,0.055662334,0.810914934,0.648759782
382, Kai talked about politics with their friends to try and stay informed, Kai engaged in political discussions with his buddies to stay abreast of current events, Kai chatted with her pals about politics to remain knowledgeable on the issues,0,0,0,0,0.077622652,0.07204777,0.675252438,0.655348301
383, Sydney made some friends at their new place that they were working, Sydney found some buddies at their new job that they were working, Sydney made some pals at their new place that they were working on,2,2,2,2,0.112136483,0.103305399,0.9525491,0.869174004
384, Tracy the bus driver took Jesse's students on a field trip to a remote location," Tracy, the skilled bus driver, chaperoned Jesse's students on an exciting adventure to a secluded spot"," Tracy, the reliable and experienced bus driver, expertly led Jesse's students on a fun-filled field trip to a beautiful, remote location",1,1,2,1,0.066912413,0.071070135,0.723099828,0.763523579
385, Alex loved to watch tv so he spent most of his time up in his room with it on," Alex was a TV addict and spent most of his free time holed up in his bedroom, binge-watching his favorite shows"," Alex was totally obsessed with TV and would often retreat to his room for hours on end, indulging in his favorite programs",0,0,0,2,0.067090452,0.072768688,0.70130235,0.726139963
386, Addison was listening to music very loudly  They turned their music down, Addison cranked up the tunes and listened intently  He eventually lowered the volume when asked to do so," Addison enjoyed her music at a high volume, but she was considerate of others and turned it down when requested",2,2,0,1,0.075272501,0.072736382,0.773142397,0.68521142
387, Jordan wanted to try something new to pass the time  so he went to a baseball card shop," Jordan was itching for something fresh to do, so he decided to check out a new baseball card shop"," Jordan was looking for a fun and exciting activity to pass the time, so she ventured into a baseball card shop",1,1,1,1,0.079001904,0.081818104,0.690953135,0.677832842
388, Jan said walk back to the students who were being disruptive and loud, Jan instructed the rowdy students to quiet down and return to their seats, Jan politely reminded the noisy students to keep the noise level down and refrain from disrupting the class,2,2,2,2,0.087829232,0.087493241,0.871686697,0.935629189
389, Austin had things to do after school and always ate late, Austin had a ton of activities after school and always chowed down late, Austin had a bunch of things to do after school and always ate dinner way past his bedtime,0,0,0,0,0.078099012,0.086999655,0.710599661,0.80118382
390," Growing up, Sydney had always wanted to be a lawyer  So, when she got to college, she took school very seriously  Because of this, during her senior year she felt like she had a good chance at getting into law school"," Sydney had always dreamed of becoming a lawyer, so she buckled down in college and excelled in her senior year, giving herself a strong chance at getting into law school"," Growing up, Sydney had always envisioned herself as a successful lawyer, so she worked hard in college to make that dream a reality  During her senior year, she felt confident in her abilities and knew she had a good shot at getting accepted into law school",0,0,0,0,0.082579732,0.091067374,0.800801158,0.817570984
391," Skylar heard a commotion from a room no students are supposed to be in, he entered the room and found some"," Skylar detected an unusual disturbance emanating from a restricted area, so he boldly ventured inside and discovered some unexpected items"," Skylar was curious about the strange noise coming from a forbidden room, so she cautiously entered and found some surprising objects",2,2,2,1,0.066043675,0.063467979,0.656135738,0.673490644
392, Sydney woke up and was ready to start the day  They put on their clothes, Sydney jumped out of bed and got dressed for the day, Sydney woke up feeling refreshed and put on her favorite outfit for the day,1,1,1,2,0.11358881,0.088300109,0.950538516,0.830310464
393, Casey was hungry so they put food into the oven to cook," Casey was famished, so he threw some grub into the oven to heat up"," Casey was starving, so she popped some food into the oven to warm it up",0,0,0,2,0.083759487,0.088074386,0.828595459,0.89087373
394, Aubrey asked Sydney to estimate the cost of the damage to her car, Aubrey requested that Sydney provide an estimate of the repairs needed for her vehicle, Aubrey asked Sydney to give her an idea of how much it might cost to fix her car,1,1,1,1,0.096520543,0.097003222,0.878833115,0.880566835
395," Remy gave Skylar, the concierge, her account so that she could check into the hotel"," Remy provided Skylar, the concierge, with her account information so that she could check into the hotel"," Remy shared her account details with Skylar, the concierge, allowing her to easily check into the hotel",2,2,2,2,0.104106963,0.098441899,0.937012851,0.902330339
396, Kendall walked their dog home in the pouring rain and thunder and lightning, Kendall trekked their furry companion home through the torrential downpour and electrifying thunderstorm, Kendall braved the pouring rain and thunderous skies to walk her beloved pup back home,2,2,2,2,0.066276014,0.089382172,0.666856885,0.817283392
397, Skylar found a child standing in the airport alone and tried to find their parents, Skylar encountered a lost youngster at the airport and attempted to locate their guardians, Skylar spotted a lonely child at the airport and tried to find their mom or dad,0,0,0,0,0.078698397,0.081797242,0.781425118,0.852496386
398, Aubrey and Ted was on a fishing trip when a shark hit the boat and Aubrey fell out of it," Aubrey and Ted were out on a fishing trip when a shark suddenly attacked their boat, causing Aubrey to fall into the water"," During their fishing adventure, Aubrey and Ted encountered a terrifying shark that rammed into their boat, sending Aubrey tumbling into the ocean",1,1,1,0,0.083026171,0.067312121,0.876184821,0.770086408
399," Riley regarded Jesse, but Jesse was annoyed that they were being watched"," Riley eyed Jesse with interest, but Jesse felt self-conscious about being observed"," Riley gazed at Jesse with curiosity, but Jesse grew uneasy under Riley's scrutiny",0,0,0,1,0.097204864,0.084165275,0.980322182,0.903202295
400," While everyone else stood around trying to figure out the instructions by themselves, Taylor gave help to a friend and they completed the task first"," While his peers were struggling to decipher the instructions alone, Taylor stepped up and lent a hand to a buddy, ultimately finishing the task before anyone else"," As everyone else was stalled trying to figure out the instructions by themselves, Taylor kindly offered assistance to a friend and together they accomplished the project quickly",0,1,2,2,0.069757164,0.097900271,0.698965251,0.903989315
401, Sydney rubbed Addison's head because she had a horrible headache, Sydney soothed Addison's aching head with some gentle petting, Sydney gave Addison's poor head a tender rub to help ease her painful headache,1,1,1,1,0.082306743,0.106246948,0.765958548,0.990208268
402, Kai watched videos on youtube and there was one they really liked, Kai checked out some YouTube vids and there was one that really resonated with him, Kai watched some adorable YouTube videos and there was one that he absolutely loved,2,0,0,0,0.082602143,0.086743712,0.657139778,0.71120429
403, Robin put their hand on Addison's wrist to keep Addison from shaking uncontrollably, Robin grasped Addison's wrist firmly to steady them from shaking excessively, Robin gently placed their hand on Addison's wrist to calm them down and prevent uncontrollable shaking,1,1,1,1,0.102887571,0.110809922,0.968784153,1.032834291
404," Quinn climbed into bed after a full, busy day of work"," Quinn collapsed into bed after a grueling, action-packed day at the office"," Quinn settled cozily into bed after a long, productive day at work",0,0,0,0,0.090955138,0.104540706,0.862206459,0.992554784
405, Bailey destroyed the enemy's weapons when playing a video game with friends, Bailey decimated the opponents' arsenal during an intense gaming session with his buddies, Bailey strategically dismantled the enemy's defenses while playing a video game with her pals,1,1,1,1,0.086589515,0.095318735,0.828889072,0.896189213
406, Casey decided that he would be better off if he broke up with his girlfriend, Casey came to the realization that it would be more beneficial for him to end his relationship with his girlfriend, Casey decided that it was time to move on from his current relationship and focus on himself,0,0,0,1,0.091351926,0.088210583,0.781467617,0.71961838
407, Alex answered Riley's question about the math problem for homework that night, Alex provided Riley with a solution to the math problem they were working on that night, Alex helped Riley understand the math problem and gave them an explanation that evening,1,1,1,2,0.109206915,0.098668218,1.006748915,0.914167285
408, cameron was challenged to a dual so he had to put up or shut up," Cameron was called out for a showdown, so he had to put his money where his mouth is"," Cameron was dared to prove his skills in a one-on-one challenge, so he had to step up or back down",2,1,1,0,0.053329885,0.071599841,0.503559113,0.647082329
409, Quinn went to work the next day after they went on vacation over the weekend, Quinn headed to work the following day after taking some time off over the weekend for their vacation, Quinn returned to work after their relaxing weekend getaway with a refreshed perspective and renewed energy,2,2,2,1,0.103743076,0.083388805,0.914037704,0.731257796
