,sentences,choices,scores
590,"
Q: Cameron exerted a significant amount of pressure on Carson, causing their head to oscillate wildly.  What will Cameron want to do next? 
  choice: Apologize for being to careful
  choice: Ok
  choice: Walk up to Carson
A: ","['Walk up to Carson', 'Ok', 'Apologize for being to careful']",0
591,"
Q: Casey made a stopover in the UK to catch up with an acquaintance, and then headed to Ireland to meet someone else.  Why did Casey do this? 
  choice: Get a plane ticket
  choice: Go sightseeing
  choice: Sleep all day
A: ","['Sleep all day', 'Get a plane ticket', 'Go sightseeing']",2
592,"
Q: Remy regarded the manager's proposal with gravity due to its originating from a trusted authority figure.  Why did Remy do this? 
  choice: Be insubordinate to their boss
  choice: Cooperate with their boss
  choice: Strong
A: ","['Strong', 'Be insubordinate to their boss', 'Cooperate with their boss']",2
593,"
Q: Quinn launched the frisbee with precision, presenting an engaging challenge for their canine companion to enjoy.  What will Others want to do next? 
  choice: Call the dog's name
  choice: Ignore the frisbee
  choice: Watch it fly
A: ","['Ignore the frisbee', ""Call the dog's name"", 'Watch it fly']",1
594,"
Q: The recital rehearsal was interrupted by Austin's actions, causing frustration for Sydney.  How would Austin feel afterwards? 
  choice: A person who lacks basic morals
  choice: Helpful to Sydney
  choice: Like a bad friend
A: ","['Helpful to Sydney', 'Like a bad friend', 'A person who lacks basic morals']",2
595,"
Q: Aubrey offered nourishment to Tracy's offspring during the day when Tracy was away fulfilling their responsibilities.  What will happen to Tracy? 
  choice: Be thankful
  choice: Get paid later
  choice: Won't like Aubrey
A: ","['Be thankful', ""Won't like Aubrey"", 'Get paid later']",0
596,"
Q: Ash's creative use of metaphorical language and symbolic meaning permeates his captivating publication.  How would Ash feel afterwards? 
  choice: Creative
  choice: Like they expressed their thoughts
  choice: Talented
A: ","['Talented', 'Like they expressed their thoughts', 'Creative']",2
597,"
Q: Following an extended excursion, Carson arrived at their associate's abode, feeling both weary and elated.  What will happen to Carson? 
  choice: Knock on the door
  choice: Others will be glad to see Carson
  choice: Steal items from the house
A: ","['Knock on the door', 'Others will be glad to see Carson', 'Steal items from the house']",0
598,"
Q: Riley emitted a high-pitched cry of pain and remained immobile until support was provided before trying to rise to their feet.  What does Riley need to do before this? 
  choice: Tried to do a stunt
  choice: Was doing homework
  choice: Was lying down
A: ","['Was lying down', 'Was doing homework', 'Tried to do a stunt']",0
599,"
Q: Remy examined the lecture content with focus, and now they possess a clear understanding of each idea.  What will Remy want to do next? 
  choice: Forget the knowledge
  choice: Go to class
  choice: Study some more
A: ","['Study some more', 'Forget the knowledge', 'Go to class']",0
600,"
Q: The revolution required Sasha's involvement, and they answered the call with enthusiasm.  What does Sasha need to do before this? 
  choice: Join the revolution
  choice: Motivate people
  choice: Move to another country
A: ","['Motivate people', 'Move to another country', 'Join the revolution']",2
601,"
Q: Kai, feeling proud of their weight loss accomplishment, decided to indulge in some new garb as a way to commemorate their progress.  What does Kai need to do before this? 
  choice: Continue to diet and exercise
  choice: Determine what their weight loss goal will be
  choice: Show off the new clothes to friends
A: ","['Determine what their weight loss goal will be', 'Continue to diet and exercise', 'Show off the new clothes to friends']",0
602,"
Q: Riley wriggled free from the guard's hold and made a swift exit.  What does Riley need to do before this? 
  choice: Be free
  choice: Have known about the guard's practices
  choice: Needed to be lackadaisical about it
A: ","[""Have known about the guard's practices"", 'Needed to be lackadaisical about it', 'Be free']",2
603,"
Q: Robin concluded his romantic getaway of two weeks and was received with a cheerful reception by Cameron upon his homecoming.  What will Cameron want to do next? 
  choice: Ask him all about the trip
  choice: Drive him back to the airport
  choice: Ignore him
A: ","['Ask him all about the trip', 'Ignore him', 'Drive him back to the airport']",0
604,"
Q: Sydney's presumption regarding the finality of the speech disrupted the experience for others.  What will Others want to do next? 
  choice: Keep the peace
  choice: Listen next
  choice: Say sorry
A: ","['Keep the peace', 'Listen next', 'Say sorry']",0
605,"
Q: Taylor aggressively inserted the donut into Jan's oral cavity, resulting in a chunk becoming entangled in their airway.  How would you describe Taylor? 
  choice: Cruel
  choice: Mean
  choice: Someone who likes to pull pranks
A: ","['Cruel', 'Mean', 'Someone who likes to pull pranks']",1
606,"
Q: Aubrey's comprehension of Remy's meaning crystallized upon his repeating himself for the second occasion.  How would Remy feel as a result? 
  choice: Deaf
  choice: Embarrassed that they spoke that way
  choice: Like they need to speak up
A: ","['Embarrassed that they spoke that way', 'Deaf', 'Like they need to speak up']",0
607,"
Q: The situation was of great significance to Kendall due to its potential criminal ramifications.  What will Kendall want to do next? 
  choice: Be law abiding
  choice: Contact the police
  choice: Pass the buck
A: ","['Be law abiding', 'Contact the police', 'Pass the buck']",1
608,"
Q: Kai was responsible for ensuring Taylor's safety during the storm. To keep Taylor relaxed, Kai created a cozy atmosphere with popcorn and a favorite film.  What does Kai need to do before this? 
  choice: Get a good night's sleep
  choice: Plug in the popcorn popper
  choice: Watch the movie
A: ","['Plug in the popcorn popper', ""Get a good night's sleep"", 'Watch the movie']",1
609,"
Q: Sydney efficiently transported the waste to the burn barrel and ignited it.  What will Sydney want to do next? 
  choice: Gather the trash needed for disposal
  choice: Go inside
  choice: Put out the fire
A: ","['Go inside', 'Put out the fire', 'Gather the trash needed for disposal']",0
610,"
Q: Sydney aspired to become a medical professional, realizing that they needed to excel academically to gain admission to a reputable university and eventually achieve their career goal in the field of medicine.  How would Others feel as a result? 
  choice: Others were bored of Sydney
  choice: Others were proud of Sydney
  choice: Others were unimpressed by Sydney's dedication
A: ","['Others were bored of Sydney', 'Others were proud of Sydney', ""Others were unimpressed by Sydney's dedication""]",1
611,"
Q: Jordan mentioned Casey in chapter one due to an impending proposal, complete with a shiny ring.  What will Jordan want to do next? 
  choice: Buy the ring
  choice: Go to a theme park with Casey
  choice: Propose to Casey for marriage
A: ","['Go to a theme park with Casey', 'Propose to Casey for marriage', 'Buy the ring']",2
612,"
Q: Casey decided to invest in their culinary education by taking a Saturday evening cooking class, prioritizing self-improvement over social activities with their partner.  How would Others feel as a result? 
  choice: Excited to date a good cook
  choice: Inattentive to the needs of her boyfriend at time
  choice: Like they are cooking too
A: ","['Excited to date a good cook', 'Like they are cooking too', 'Inattentive to the needs of her boyfriend at time']",0
613,"
Q: Quinn wanted to try something new, so they experimented with a fiery red hue for their hair.  What does Quinn need to do before this? 
  choice: Buy hair conditioner
  choice: Comb his hair
  choice: Cut their hair
A: ","['Comb his hair', 'Cut their hair', 'Buy hair conditioner']",0
614,"
Q: The author employed note-taking strategies throughout the book, intending to utilize them for future reference.  What will Jesse want to do next? 
  choice: Do well on his test
  choice: Examine the notes closely
  choice: Throw the notes away
A: ","['Throw the notes away', 'Do well on his test', 'Examine the notes closely']",2
615,"
Q: The models at the fashion show commanded attention as they sashayed down the runway, their grace and poise leaving Addison in awe. Regardless of gender, it was clear that each one had an unshakeable sense of self-worth that radiated from the stage.  How would Addison feel afterwards? 
  choice: Bored
  choice: Happy
  choice: Sad
A: ","['Sad', 'Bored', 'Happy']",2
616,"
Q: The individual departed from Tracy's residence at an evening hour, initiating a leisurely saunter towards their dwelling place.  How would Robin feel afterwards? 
  choice: Eager to get home
  choice: Ing to walk alone
  choice: Nervous
A: ","['Nervous', 'Ing to walk alone', 'Eager to get home']",0
617,"
Q: Addison was displeased with the character, and as a result, they launched a pie at them.  How would Addison feel afterwards? 
  choice: Clownish
  choice: Furious
  choice: Remorse
A: ","['Clownish', 'Remorse', 'Furious']",0
618,"
Q: Alex courageously came to Casey's aid, saving them from a perilous situation and securing their well-being.  How would Alex feel afterwards? 
  choice: Capable
  choice: Good for helping
  choice: Like Carson should be safe
A: ","['Capable', 'Like Carson should be safe', 'Good for helping']",0
619,"
Q: Sydney organized a merry Christmas celebration for their colleagues at the upmarket restaurant.  What will Sydney want to do next? 
  choice: Forget to order refreshments
  choice: Ignore the guests
  choice: Plentiful
A: ","['Ignore the guests', 'Plentiful', 'Forget to order refreshments']",1
620,"
Q: Robin empowered Carson to lead the project and take primary responsibility for its success, allowing them to receive the bulk of the accolades.  How would you describe Robin? 
  choice: Always trying to get ahead
  choice: Interested in promoting their career
  choice: Not comfortable being the center of attention
A: ","['Interested in promoting their career', 'Not comfortable being the center of attention', 'Always trying to get ahead']",1
621,"
Q: Lee decided to take action against Mike after he had been inappropriately disparaging him during their time at school.  Why did Lee do this? 
  choice: Become friends with Mike
  choice: Break up the fight
  choice: Stop Mike from insulting him
A: ","['Stop Mike from insulting him', 'Break up the fight', 'Become friends with Mike']",0
622,"
Q: Remy provided an alternate understanding of Casey's graduate thesis with the intention of assisting in its improvement.  What does Remy need to do before this? 
  choice: Familiarize themselves with the research Casey has done
  choice: Skim over most of Casey's notes
  choice: Wanted to give Casey something to think about
A: ","['Wanted to give Casey something to think about', 'Familiarize themselves with the research Casey has done', ""Skim over most of Casey's notes""]",1
623,"
Q: Jesse stood by Cameron in solidarity, despite the crowd's conflicting opinions.  How would Jesse feel afterwards? 
  choice: Awful
  choice: Feeling great
  choice: Was there for someone
A: ","['Awful', 'Feeling great', 'Was there for someone']",2
624,"
Q: Jordan talked negatively about Ash in a way that was intentionally hurtful and malicious, undermining her reputation among their mutual acquaintances.  How would you describe Jordan? 
  choice: Sneaky
  choice: Truthful
  choice: Two-faced
A: ","['Sneaky', 'Two-faced', 'Truthful']",1
625,"
Q: Riley is widely regarded as the most beloved figure in the academic community, with a reputation that precedes him wherever he goes.  What will Others want to do next? 
  choice: Join Riley's gang
  choice: Run for class president
  choice: Run for student council
A: ","['Run for class president', 'Run for student council', ""Join Riley's gang""]",2
626,"
Q: The family set out for a day of enjoyment at the beach with Jordan at the helm, only to find that they had left the essentials behind - in this case, the food intended for their picnic.  How would you describe Jordan? 
  choice: Annoyed
  choice: Forgetful
  choice: Frustrated
A: ","['Forgetful', 'Annoyed', 'Frustrated']",0
627,"
Q: Addison consumed the cereal following lunch, even though they were already satiated.  How would Addison feel afterwards? 
  choice: 's stuffed
  choice: Eats even when she's not hungry
  choice: Sick
A: ","[""Eats even when she's not hungry"", ""'s stuffed"", 'Sick']",0
628,"
Q: Jordan's incredible fortune was almost too much to take in - they had won a car!  How would Jordan feel afterwards? 
  choice: Angry
  choice: Thrilled
  choice: Upset
A: ","['Thrilled', 'Upset', 'Angry']",0
629,"
Q: Robin proposed an alternate suggestion, and a trip to the cinema was mentioned as a potential option.  Why did Robin do this? 
  choice: Consider the options before this
  choice: Do what she wanted
  choice: Follow the crowd
A: ","['Do what she wanted', 'Consider the options before this', 'Follow the crowd']",1
630,"
Q: Riley possessed more proficiency than her supervisor, yet the supervisor's self-importance left no room for Riley's input.  What will the manager want to do next? 
  choice: Be quiet
  choice: Make Riley work harder
  choice: Replace the manager
A: ","['Make Riley work harder', 'Be quiet', 'Replace the manager']",1
631,"
Q: Jesse resorted to drastic measures by setting fire to Robin's residence, compelling her to make a decision about their future together.  What will happen to Jesse? 
  choice: Be loved by Robin
  choice: Be sent to jail
  choice: Call the fire department
A: ","['Be loved by Robin', 'Call the fire department', 'Be sent to jail']",1
632,"
Q: Skylar made sure that the home was protected from any potential hazards, providing a sense of security for all residents.  Why did Skylar do this? 
  choice: Check for damage
  choice: Lazy
  choice: Loved
A: ","['Loved', 'Check for damage', 'Lazy']",0
633,"
Q: Sydney was tasked with collecting the mail from the post office, and they accidentally let the box Grandma sent fall to the ground while transporting it to the vehicle.  What did Sydney do? 
  choice: Dropped the box of china
  choice: Got a promotion at her new job
  choice: Started taking ballet classes
A: ","['Started taking ballet classes', 'Got a promotion at her new job', 'Dropped the box of china']",2
634,"
Q: Male: Sasha shared their Adderall pills with their sister to help her focus better.  How would Others feel as a result? 
  choice: A bad friend
  choice: Disappointed in Sasha
  choice: Helpful
A: ","['Disappointed in Sasha', 'Helpful', 'A bad friend']",0
635,"
Q: Aubrey donned her school uniform for the journey home, but for the recital, Robin assisted her in changing into an alternative ensemble.  What does Robin need to do before this? 
  choice: Bring Aubrey to the recital
  choice: Go to the recital next
  choice: Pack the school uniform
A: ","['Go to the recital next', 'Bring Aubrey to the recital', 'Pack the school uniform']",1
636,"
Q: Ash adorned himself in a stylish dress, evoking chuckles from his companions.  Why did Ash do this? 
  choice: Become a girl
  choice: Embarrass all of his friends
  choice: Hurry home and change his clothes
A: ","['Hurry home and change his clothes', 'Embarrass all of his friends', 'Become a girl']",1
637,"
Q: Carson swung by for a visit.  What will Carson want to do next? 
  choice: Leave his friends
  choice: Play a game
  choice: Speak with Carson about what he has been doing
A: ","['Play a game', 'Leave his friends', 'Speak with Carson about what he has been doing']",2
638,"
Q: Carson shifted their attention from the soundtrack of their life to the curriculum vitae of their future, opting for higher education over a career in music.  How would you describe Carson? 
  choice: Powerful
  choice: Practical
  choice: Reckless
A: ","['Reckless', 'Practical', 'Powerful']",1
639,"
Q: Jesse jumped to conclusions about Lee without fully comprehending their relationship.  How would you describe Jesse? 
  choice: Caring
  choice: Right
  choice: Unaware
A: ","['Caring', 'Right', 'Unaware']",2
640,"
Q: Kai handed over the money after getting his car back from the purchaser.  What will Kai want to do next? 
  choice: List the car for sale again
  choice: Lose the keys
  choice: Throw the car away
A: ","['Throw the car away', 'List the car for sale again', 'Lose the keys']",1
641,"
Q: Jesse introduced Sydney's companion to their newly acquired whiskered wonder, responding to the companion's curiosity about cats.  How would Jesse feel afterwards? 
  choice: A cat owner
  choice: Interested in showing off her new cat
  choice: Kind
A: ","['A cat owner', 'Interested in showing off her new cat', 'Kind']",2
642,"
Q: Kai nestled into Austin's arms, seeking a closer connection and showing their fondness for each other.  What will Austin want to do after? 
  choice: Embarrass Kai
  choice: Hug Austin
  choice: Start kissing Kai
A: ","['Embarrass Kai', 'Start kissing Kai', 'Hug Austin']",0
643,"
Q: Kendall found themselves working with a group of people who weren't exactly driven to succeed, but they still managed to keep the project moving forward despite the challenges.  What will happen to Kendall? 
  choice: Be demoted
  choice: Receive a pink slip and get fired
  choice: Receive praise from the boss
A: ","['Be demoted', 'Receive a pink slip and get fired', 'Receive praise from the boss']",2
644,"
Q: The seizure of the children's gaming materials by Jordan caused a decline in their emotional well-being.  What will Others want to do next? 
  choice: Be more behaved
  choice: Keep their games away
  choice: Teach the children a lesson
A: ","['Keep their games away', 'Teach the children a lesson', 'Be more behaved']",1
645,"
Q: Alex consulted the web to determine the recipe's ingredient list.  What does Alex need to do before this? 
  choice: Get on a computer
  choice: Make the food
  choice: Prepare the food
A: ","['Get on a computer', 'Prepare the food', 'Make the food']",1
646,"
Q: The company gave Sydney a chance to prove their skills during an interview with Austin, and they were later offered a position.  How would you describe Austin? 
  choice: Bossy
  choice: Hardworking
  choice: Powerful
A: ","['Hardworking', 'Powerful', 'Bossy']",2
647,"
Q: The teacher distributed notebooks, and Taylor sought one from the teacher.  How would you describe Taylor? 
  choice: As someone that appreciates what the teacher does
  choice: As someone that has a notebook
  choice: Grateful
A: ","['As someone that appreciates what the teacher does', 'As someone that has a notebook', 'Grateful']",2
648,"
Q: Jordan and their companions were making their way home following classes.  Why did Jordan do this? 
  choice: Chat with their friends
  choice: Go home and sleep
  choice: Okay if their friends come over
A: ","['Go home and sleep', 'Okay if their friends come over', 'Chat with their friends']",0
649,"
Q: Riley's wariness of Jesse was palpable, their eyes locked in a tense stare.  What will happen to Jesse? 
  choice: Call Jesse out
  choice: He will ignore riley
  choice: He will question riley
A: ","['He will ignore riley', 'Call Jesse out', 'He will question riley']",1
650,"
Q: Lee intervened to prevent Kai's homework from meeting its demise at the paws of the furry culprit who had snatched it from the table.  Why did Lee do this? 
  choice: Hurt Kai's chances in school
  choice: Make Kai fail their homework
  choice: Protect Kai's homework
A: ","[""Hurt Kai's chances in school"", ""Protect Kai's homework"", 'Make Kai fail their homework']",1
651,"
Q: Sasha had a disturbing dream that caused them to involuntarily urinate in their bed.  How would Sasha feel afterwards? 
  choice: Has a weak bladder
  choice: Has insecurities
  choice: The need to clean up right away
A: ","['Has insecurities', 'Has a weak bladder', 'The need to clean up right away']",0
652,"
Q: Sydney organized a seasonal celebration and extended an invitation to someone they were interested in getting to know better.  What will Others want to do next? 
  choice: Get to know the guy
  choice: Go to the party
  choice: Ignore the invite
A: ","['Ignore the invite', 'Get to know the guy', 'Go to the party']",1
653,"
Q: Alex went to the coastal area and meandered along the brief pier, taking in the picturesque scenery.  Why did Alex do this? 
  choice: Go on a walk
  choice: Look before he leaps
  choice: Take a flying leap
A: ","['Take a flying leap', 'Go on a walk', 'Look before he leaps']",1
654,"
Q: The stunning piece of artwork crafted by Sydney changed hands when Riley announced its availability to the bidding crowd.  What's going to happen to Riley? 
  choice: Be mad the bidder didn't pay enough for it
  choice: Be upset that the bidder wanted to buy it
  choice: Good for selling the painting to a bidder
A: ","[""Be mad the bidder didn't pay enough for it"", 'Good for selling the painting to a bidder', 'Be upset that the bidder wanted to buy it']",1
655,"
Q: Kendall acquired the necessary items for a thrilling and enjoyable excursion into the city's nightlife.  What will Kendall want to do next? 
  choice: Go to sleep
  choice: Put on makeup
  choice: Turn on a movie
A: ","['Put on makeup', 'Turn on a movie', 'Go to sleep']",0
656,"
Q: Bailey had selected a name for their baby some time ago and was looking forward to welcoming them into the world.  How would you describe Bailey? 
  choice: Happy with motherhood
  choice: Ready to be a nurse
  choice: Relieved that the process was over
A: ","['Relieved that the process was over', 'Happy with motherhood', 'Ready to be a nurse']",1
657,"
Q: Ash gestured with their arms in disapproval after feeling disrespected by their companion during their shared activity.  How would Ash feel afterwards? 
  choice: As if she had been disrespected
  choice: Happy with her friend
  choice: Mad at Ash's friend
A: ","['Happy with her friend', 'As if she had been disrespected', ""Mad at Ash's friend""]",1
658,"
Q: Robin decided to let Carson speak for themselves, as it seemed only just to hear their voice in the matter.  How would Carson feel as a result? 
  choice: As fair
  choice: Listening to them
  choice: Unfair
A: ","['Listening to them', 'As fair', 'Unfair']",1
659,"
Q: Sydney experienced remorse following the incident that led to their friend feeling hurt and upset.  What will Sydney want to do next? 
  choice: Dislike their friend
  choice: Do something nice to her friend
  choice: Ignore her friend's feelings
A: ","[""Ignore her friend's feelings"", 'Dislike their friend', 'Do something nice to her friend']",2
660,"
Q: Bailey needed some extra assistance, so they recruited Tracy as a supporting partner to help out.  Why did Bailey do this? 
  choice: Needed some help
  choice: Thought highly of themself
  choice: Thought they knew it all
A: ","['Needed some help', 'Thought they knew it all', 'Thought highly of themself']",0
661,"
Q: Riley possessed their arms in a triumphant pose for the majority of the concert, only to relinquish them slightly toward the conclusion.  Why did Riley do this? 
  choice: Attend an event
  choice: Had lost the energy
  choice: Know directions
A: ","['Know directions', 'Had lost the energy', 'Attend an event']",1
662,"
Q: Cameron noticed a lingering discomfort in their oral region that refused to subside, leading them to reach out to the dentist for assistance.  How would you describe Cameron? 
  choice: Excited to see what happened
  choice: Nervous about the pain
  choice: Uncaring about their health
A: ","['Nervous about the pain', 'Uncaring about their health', 'Excited to see what happened']",0
663,"
Q: Casey assessed the paper, weighing the significance of the content versus the amount of work put into it.  How would you describe Casey? 
  choice: A mean person
  choice: Exhausted
  choice: Likes to see kids learn
A: ","['Likes to see kids learn', 'A mean person', 'Exhausted']",0
664,"
Q: Kai gave back the mail following confirmation of receipt of the expected funds.  Why did Kai do this? 
  choice: Deposit the check
  choice: Did this to be sneaky
  choice: Did this to gain information
A: ","['Deposit the check', 'Did this to gain information', 'Did this to be sneaky']",1
665,"
Q: The individual was hurrying to tidy up the kitchen and overlooked storing the provisions.  What does Robin need to do before this? 
  choice: Clean the kitchen
  choice: Make food
  choice: Put food away
A: ","['Clean the kitchen', 'Put food away', 'Make food']",1
666,"
Q: Sydney delicately massaged Addison's scalp, including her brow area, with the goal of inducing a peaceful slumber.  Why did Sydney do this? 
  choice: Loved Addison and knew she had a migraine headache and wanted it gone
  choice: Play his games
  choice: Sneak out with Diane
A: ","['Sneak out with Diane', 'Loved Addison and knew she had a migraine headache and wanted it gone', 'Play his games']",1
667,"
Q: Bailey felt self-conscious about the back of their neck during the warm weather, so they went to a stylist to get a sleek new do.  How would you describe Bailey? 
  choice: Beautiful
  choice: Glamorous
  choice: Sensible
A: ","['Sensible', 'Beautiful', 'Glamorous']",2
668,"
Q: Cameron gave Kai's issues due consideration and shared their own feelings of devotion towards Kai.  What will happen to Kai? 
  choice: Have to explain that they were joking
  choice: They will go on a date
  choice: They will kiss Kai
A: ","['Have to explain that they were joking', 'They will kiss Kai', 'They will go on a date']",2
669,"
Q: Tracy had a great time creating the table, using their skills and resources to bring the project to fruition. They felt a sense of accomplishment and pride in their handiwork.  How would she feel as a result? 
  choice: Accomplished
  choice: Bored
  choice: Frustrated
A: ","['Accomplished', 'Frustrated', 'Bored']",0
670,"
Q: Robin put in some serious study time to prepare for their history test, really committing to mastering the material overnight.  How would Robin feel afterwards? 
  choice: Like taking the test
  choice: They are smart
  choice: They are the best
A: ","['They are smart', 'They are the best', 'Like taking the test']",2
671,"
Q: Alex gave his school exam a thorough once-over, double-checking everything to make sure he got it right.  What does Alex need to do before this? 
  choice: Did this to get a good grade
  choice: Go on a vacation
  choice: Read his school books
A: ","['Read his school books', 'Did this to get a good grade', 'Go on a vacation']",0
672,"
Q: Cameron hopped on Jan's bike and thought they might want to look into getting one for their own use.  What will happen to Cameron? 
  choice: Ask about buying Jan's motorcycle
  choice: Buy Jan's motorcycle
  choice: Consider getting a motorcycle
A: ","[""Buy Jan's motorcycle"", 'Consider getting a motorcycle', ""Ask about buying Jan's motorcycle""]",2
673,"
Q: Riley was struggling to articulate their perspective, despite being repeatedly silenced.  What will Riley want to do next? 
  choice: Interrupt
  choice: Smile about the conversation
  choice: Walk away from the conversation
A: ","['Interrupt', 'Walk away from the conversation', 'Smile about the conversation']",0
674,"
Q: Carson entered his car and navigated to his parental unit's abode for a social call.  How would Carson feel afterwards? 
  choice: A good son
  choice: Bored
  choice: Happy
A: ","['Bored', 'Happy', 'A good son']",0
675,"
Q: Riley managed to break away from the house, hoping to never be confined again.  Why did Riley do this? 
  choice: Go home for a while
  choice: Stay in the house longer
  choice: Think about his life
A: ","['Stay in the house longer', 'Think about his life', 'Go home for a while']",2
676,"
Q: Remy detected an imminent conflict among the crowd. Remy swiftly mediated the situation to avoid any further escalation.  What does Remy need to do before this? 
  choice: Find out why they were going to fight
  choice: Promote hate
  choice: Promote reason
A: ","['Find out why they were going to fight', 'Promote reason', 'Promote hate']",0
677,"
Q: Robin communicated to Carson that they needed some support with transitioning to a new living space.  What will Carson want to do next? 
  choice: Borrow boxes
  choice: Buy a cat
  choice: Move
A: ","['Buy a cat', 'Move', 'Borrow boxes']",2
678,"
Q: Skylar had a strong desire to explore the world beyond her mother's watchful eye, so they devised a cunning strategy to mislead her.  What will Skylar want to do next? 
  choice: Go to bed
  choice: Sneak out
  choice: Watch television
A: ","['Go to bed', 'Sneak out', 'Watch television']",1
679,"
Q: Robin took the statement at face value despite previous experiences that should have raised red flags about the same subject.  Why did Robin do this? 
  choice: Believe
  choice: Did this to be hurtful
  choice: Did this to be practical
A: ","['Did this to be hurtful', 'Did this to be practical', 'Believe']",2
680,"
Q: Taylor relaxed and fell into a deep slumber. They woke up late for work.  What will Taylor want to do next? 
  choice: Close her eyes
  choice: Rush getting ready
  choice: Stop thinking
A: ","['Stop thinking', 'Close her eyes', 'Rush getting ready']",1
681,"
Q: Kai had gained a bit of weight, so they decided to invest some time in physical activity to get back to their ideal body type.  How would Kai feel afterwards? 
  choice: Competent
  choice: Incompetent
  choice: Lazy
A: ","['Incompetent', 'Competent', 'Lazy']",1
682,"
Q: Riley scrutinized Jesse with a wary stare, suspecting him of attempting to steal food from the store.  What will Jesse want to do next? 
  choice: Fight with Riley
  choice: Put the food back
  choice: See if Jesse stole something
A: ","['Put the food back', 'Fight with Riley', 'See if Jesse stole something']",0
683,"
Q: Aubrey cradled the infant in one arm and plucked the strings of their guitar with the other, creating a melodic lullaby that filled the night air.  How would you describe Aubrey? 
  choice: A sweet person
  choice: Bad
  choice: Does not care about others
A: ","['Bad', 'A sweet person', 'Does not care about others']",1
684,"
Q: Sydney organized a fun-filled fete to mark the occasion of her near and dear ones' holiday.  How would Others feel as a result? 
  choice: Angry with Sydney
  choice: Someone who loves their family
  choice: Uched by Sydney's efforts
A: ","[""Uched by Sydney's efforts"", 'Angry with Sydney', 'Someone who loves their family']",0
685,"
Q: Sydney consumed their candy throughout the film and exited precipitously once it concluded.  What will Sydney want to do next? 
  choice: Be inattentive
  choice: Get something to drink
  choice: Leave the movie
A: ","['Be inattentive', 'Get something to drink', 'Leave the movie']",1
686,"
Q: The whereabouts of the children were unknown as Cameron was being sought by the police for questioning in relation to allegations of kidnapping and child abuse.  What will the cops want to do next? 
  choice: Escape
  choice: Hide
  choice: Put out an APB
A: ","['Put out an APB', 'Hide', 'Escape']",0
687,"
Q: Riley felt peckish, so they pursued some fish and prepared a delectable feast in the kitchen.  How would Riley feel afterwards? 
  choice: Angry
  choice: Satisfied
  choice: Skilled
A: ","['Satisfied', 'Angry', 'Skilled']",0
688,"
Q: Riley felt a strong emotional response to Jesse's words, and their effect was evident in the tears that followed.  What did Jesse say? 
  choice: Crying
  choice: Insults about Riley
  choice: Nice
A: ","['Crying', 'Nice', 'Insults about Riley']",1
689,"
Q: Robin factored in the mitigating elements before rendering a verdict on the matter.  How would you describe Ash? 
  choice: As someone who puts thought into things
  choice: Confident in their final decision
  choice: Pleased to have all the information
A: ","['As someone who puts thought into things', 'Pleased to have all the information', 'Confident in their final decision']",0
690,"
Q: Skylar's creativity and resourcefulness allowed them to transform silver into gold, even if they couldn't quite hang the moon.  How would you describe Skylar? 
  choice: Hated
  choice: Like a wizard
  choice: Talented
A: ","['Talented', 'Hated', 'Like a wizard']",0
691,"
Q: Cameron escorted the young ones to their educational institution after they were late and couldn't catch the transportation.  How would Others feel as a result? 
  choice: Caring toward children
  choice: Good they have a ride
  choice: Like they should be at school
A: ","['Like they should be at school', 'Good they have a ride', 'Caring toward children']",2
692,"
Q: Sydney intervened to bring Sasha's monologue to a close, as Sasha's talkativeness was beginning to become overbearing.  How would Sasha feel as a result? 
  choice: Intolerant
  choice: Very amused
  choice: Very sorry
A: ","['Intolerant', 'Very amused', 'Very sorry']",2
693,"
Q: Jesse prepared a tasty snack of popcorn for them and their companion Lee.  How would you describe Jesse? 
  choice: Annoyed
  choice: Nice
  choice: Sharing
A: ","['Annoyed', 'Nice', 'Sharing']",1
694,"
Q: Austin emitted vapor after inhaling and exhaling the fumes from a cigarette.  What will Austin want to do next? 
  choice: Bored
  choice: Make smoke rings
  choice: Relieved
A: ","['Bored', 'Relieved', 'Make smoke rings']",1
695,"
Q: The frisbee was propelled by Quinn's skilled throw, eventually coming to rest in the far-off water.  How would Others feel as a result? 
  choice: Frustrated
  choice: Glad
  choice: Happy
A: ","['Frustrated', 'Happy', 'Glad']",2
696,"
Q: Sasha decided to speak up and give the man a piece of her mind, using a firm but polite tone to convey her message.  How would the man feel after? 
  choice: Big and proud
  choice: Frustrated
  choice: Sorry for their actions
A: ","['Sorry for their actions', 'Big and proud', 'Frustrated']",0
697,"
Q: Quinn connected with someone awesomely cool who had a dope abode, so they decided to cohabitate.  Why did Quinn do this? 
  choice: Be able to be next to the guy whenever she wanted
  choice: Be nice to the cool guy
  choice: Go against her parents
A: ","['Be nice to the cool guy', 'Be able to be next to the guy whenever she wanted', 'Go against her parents']",0
698,"
Q: Sasha gambled away Austin's money in pursuit of the coveted award, defying the statistical probability of success.  What will Austin want to do next? 
  choice: Pull out more money
  choice: Take a loan out to play more
  choice: Yell at Sasha for doing that
A: ","['Yell at Sasha for doing that', 'Pull out more money', 'Take a loan out to play more']",2
