context,question,answerA,answerB,answerC,Refined_ATOMIC_Label
Aubrey asked Sydney to estimate the cost of the damage to her car.,Why did Sydney do this?,know the car's location,do her job as a car repair estimator,help Jason,xIntent
"Remy gave Skylar, the concierge, her account so that she could check into the hotel.",What will Remy want to do next?,lose her credit card,arrive at a hotel,get the key from Skylar,oWant
Kendall walked their dog home in the pouring rain and thunder and lightning.,How would you describe Kendall?,Tired,uncaring about dogs,a responsible dog owner,xAttr
Skylar found a child standing in the airport alone and tried to find their parents.,Why did Skylar do this?,be kind,have a flight,be rude,xIntent
Aubrey and Ted was on a fishing trip when a shark hit the boat and Aubrey fell out of it.,What does Ted need to do next?,Ted was very shocked and scared and he started hollering at Aubrey to grab his hand to pull her out,go to the boat,Ted was very shocked and scared and he rowed away from the area of danger very quickly forgetting Aubrey,xNeed
"Riley regarded Jesse, but Jesse was annoyed that they were being watched.",What will happen to Riley?,anxious,they will be slapped,irritated,oEffect
"While everyone else stood around trying to figure out the instructions by themselves, Taylor gave help to a friend and they completed the task first.",How would the others feel as a result?,self-starting,intrigued that they didn't tell all of them,jealous that they didn't help all of them,xReact
Sydney rubbed Addison's head because she had a horrible headache.,What will happen to Sydney?,drift to sleep,receive thanks,be reprimanded,oEffect
Kai watched videos on youtube and there was one they really liked.,How would you describe Kai?,As someone that enjoyed a video,As someone that asked about videos,As someone that talks about videos,xAttr
Robin put their hand on Addison's wrist to keep Addison from shaking uncontrollably.,What will Addison want to do next?,good,take their medicine,hit Robin,oWant
"Quinn climbed into bed after a full, busy day of work.",Why did Quinn do this?,felt tired,shut the lights off,felt energized,xIntent
Bailey destroyed the enemy's weapons when playing a video game with friends.,How would Bailey feel afterwards?,interested in video games,playful,depressed,xReact
Casey decided that he would be better off if he broke up with his girlfriend.,What does Casey need to do before this?,go to sleep,want something different,go to a car show,xNeed
Alex answered Riley's question about the math problem for homework that night.,What will happen to Riley?,lazy,passive,proud,oEffect
cameron was challenged to a dual so he had to put up or shut up.,How would you describe Cameron?,scared,as smart,as stupid,xAttr
Quinn went to work the next day after they went on vacation over the weekend.,Why did Quinn do this?,take more time off,make more money,take some time off work,xIntent
Riley got dressed up for a night out. Riley went out with some friends dancing.,What does Riley need to do before this?,have fun with her friends,needed to get makeup on,needed to make plans with friends,xNeed
Addison had taken Casey's money without her permission. Addison knew she may get in trouble for this.,What will Addison want to do next?,give the money back to Casey,burn the money so no one can find it,spend the money before she gets caught,oWant
"Carson was a week away from finals, but went over his friends every day to play video game.",How would you describe Carson?,not motivated,disapproving,focused on grades,xAttr
Taylor gave her friend a present for their birthday that year.,What will happen to Taylor?,be thanked by their friend,open the present,be happy to see their friend,oEffect
Remy challenged them to a game of racquetball at the local YMCA gym.,Why did Remy do this?,was bored and decided to gather some people for a good game of racquetball,was bored and decided to he wanted them to go to the gym and watch him not show,win the game,xIntent
"Remy and their friends were playing hide and seek in Remy's house. When they finished playing, it was very dark outside.",Why did it become dark outside?,go to sleep,hid their friends and sought them for too long,and their friends lost track of the time,xIntent
Riley wanted to ask their friends advice about what to do for a job.,What will Others want to do next?,wanted to do something important,wanted to find an enjoyable job,listen carefully,oWant
Aubrey kept the baby up at night but was ready to put her down for a nap now.,What will Aubrey want to do next?,get the baby ready for bed next,prepare dinner next,have to prepare the crib and blankets,oWant
Jan decided on Friday to light a fire under the brush in her pit in the backyard.,What will Jan want to do next?,throw all of her belongings in with the brush,make sure the fire goes out later,roast hot dogs,oWant
Riley regarded Jesse with gentle eyes before asking him out.,What will happen to Jesse?,accept the invitation next,have a date,get rejected,oEffect
"Jesse was taking a class and he really admired his professor. To impress them, Jesse studied a lot, and as a result, Jesse did well on the test and his professor congratulated him.",How would Jesse feel afterwards?,Accomplished,focused and driven to succeed in class,hard working and dedicated to their work,xReact
Sasha got revenge on the people who had stolen the car from her.,How would Others feel as a result?,quite elated,furious at the perpetrators,quite paid back,xReact
"It had been a very long 9 months but it was finally time, Jan gave birth to a daughter that day.",What does Jan need to do before this?,get pregnant,be a man,she liked kids,xNeed
Kai showed Jan how to do her job properly so she didn't get in trouble.,Why did Kai do this?,though Jan was lazy,was Jan's trainer and didn't want to get in trouble,make sure Jan does it right,xIntent
Skylar got a cast on her leg after she broke it while skateboarding.,How would you describe Skylar?,athletic,sad,terrible,xAttr
Tracy took Jesse's students on a field trip because Jesse was not feeling well.,What will Tracy want to do next?,take the students back to school,drive the students back home,know directions,oWant
Alex was saving up for a new car. Alex sold books on amazon.,What will Alex want to do next?,buy more books on Amazon,spend all the money on books,save all the money from selling books,oWant
Robin and Casey were trying to come up with a plan. Casey did not like any ideas. Robin proposed another idea.,How would Casey feel as a result?,very content,not pleased with it,so happy,xReact
Remy gave birth to a healthy baby girl at the hospital just earlier today.,How would you describe Remy?,Happy,a new parent,a new parent,xAttr
Riley gave Jesse a scornful look after Jesse mishaved.,How would you describe Riley?,happy,annoyed,pleased,xAttr
Aubrey met a friend at the park and they decided to go play baseball.,What will happen to Others?,will watch the game,will hit the ball,have a lot of fun,oEffect
Riley was a cop and therefore regarded Jesse with observant eyes.,Why did Riley do this?,make observations,he was suspicious of Jesse,he wanted to date Jesse,xIntent
Bailey moved the goalposts so they could make a field goal from farther.,What will Bailey want to do next?,ease into a harder task,practice football,practice baseball,oWant
"Kai was not happy with how things were going, and Cameron took Kai's complaint seriously.",How would Cameron feel afterwards?,Trustworthy,indifferent,like a good friend,xReact
Robin put their hand on Addison's wrist so Addison could not escape the situation.,What will happen to Robin?,start to panic and worry,lost grip on Addison,be stronger than Addison,oEffect
Remy paid her taxes and her friend asked her why she did that.,Why did Remy do this?,offer to do her friend's taxes,explain to her friend how tax laws work,do what she was told,xIntent
Lee came up with an idea to solve the issue of dehydration worldwide.,How would you describe Lee?,greedy,they saved the world,brave,xAttr
Bailey forgot to bring the present to a birthday party.,What will Others want to do next?,Others told her to order pizza,Others told her it's not a problem,go home to get the present,oWant
kai was an outrageous fool so he stole carson's tools.,How would Carson feel as a result?,as calm,out of control,as angry,xReact
"Teaching the anatomy class, Lee touched a nerve to demonstrate.",What will Others want to do next?,discuss the nervous system,take notes,get distracted,oWant
Kendall increased to Skylar's rate and felt that Skylar was too expensive and wanted to charge less themselves.,What will Skylar want to do next?,convince Kendall to stay at their rate,berate skylar,find somewhere else,oWant
Riley turned the stove off every time she finish cooking.,How would you describe Riley?,forgetful,lazy,forehanded,xAttr
Tracy wore Sydney's jacket to school because it was very cold outside that day.,How would Tracy feel afterwards?,unprepared,passive,loved,xReact
Skylar has been working every day at getting her blackbelt and finally joined Sasha as having one.,How would Sasha feel as a result?,happy she finally earned her blackbelt,glad Skylar got a blackbelt,glad Skylar got a green belt,xReact
Jordan brought a bag of food for their school lunch period today.,Why did Jordan do this?,fulfill hunger,go to lunch period,eat food,xIntent
Alex was Sydney's coworker. Sydney was lazy and gave Alex a command.,How would Sydney feel as a result?,happy to oblige,a good co-worker,annoyed with her,xReact
Casey went on Jesse's way and then told them that they love them very much.,What does Casey need to do before this?,need to do nothing,Tell them the truth,jessey who has told love casey,xNeed
Taylor attended their father's concert and was very proud of him.,How would Others feel as a result?,they were a bad kind,would be excited to say that's her dad,they were supportive,xReact
"Ash decided to meal prep on Sunday to save time. So, Ash had sandwiches to eat every day of the week.",What will Ash want to do next?,make sandwiches,pack their sandwiches,relax,oWant
Addison was playing a game of poker and noticed Austin standing in the background watching on but too shy to ask to play.,How would you describe Addison?,caught out,embarrassed,kind,xAttr
Taylor repeated the Lord's request so that everyone would know what to do.,How would Others feel as a result?,sad to have a direction,happy to have a direction,bad about the request,xReact
Jesse needed to call his mom to pick him up and realized he lost his phone.,What will Jesse want to do next?,find a payphone to call their mom,thank Kendall,borrow someone else's phone,oWant
Ash redeemed themselves after retaking the test they failed.,How will Ash feel as a result?,relieved,accomplished,proud,xReact
Kendall won the competition easily because of her performance that day.,How would Others feel as a result?,elated,like winners,quite jealous,xReact
"The security guard tried to tackle Riley, but Riley got free of the guard.",What will Riley want to do next?,be good at wrestling,run away,stay still,oWant
Quinn got into a fight with a friend bringing up the past and rubbed salt in the wound.,How would Quinn's friend feel as a result?,forgiving,upset,unsure,xReact
Tracy threw doubts on the history that was taught in books.,What does Tracy need to do before this?,do research,think it's incorrect,prove their theory,xNeed
Remy prevented them from engaging by keeping them away from each other.,What will Remy want to do next?,give an explanation,push them together,give up,oWant
Kendall didn't get the job because of footage that was caught of them shoplifting.,How would Kendall feel afterwards?,a criminal who got caught,shamed by the experience,a person who shoplifts,xReact
"Carson is a dedicated man of his trade that likes building things with his hand. His son, Kai, often assists with tools in the workshop.",Why did Kai do this?,Continue learning first hand from his mentor,work on the next craft,get extra incentives from his dad,xIntent
Carson gave their friend some milk when they were thirsty.,How would Carson feel afterwards?,helpful,generous,rude,xReact
Alex bought a new watch for their friend that they loved a lot and wanted to see happy.,What does Alex need to do before this?,find a good food store,talk to the friend,pick put a watch,xNeed
Robin swings the car door open after they arrive to the new mall in town.,What does Robin need to do before this?,shop at the mall,get into a car,go inside the mall,xNeed
Cameron made out of the store like a bandit with the items that they lifted.,How would you describe Cameron?,A person who was shopping around,Guilty,A person who was concealing things,xAttr
Kai decided to stay at the hotel for another week.,What does Kai need to do before this?,Stay on vacation a little bit longer,check reservations,Do no thinking,xNeed
"The baseball game was intense, but in the end, Sasha saved their team from destruction.",How would Sasha feel afterwards?,fearful,heroic,grateful,xReact
Cameron knew what he wanted to do this weekend since he loved being outside so much.,How would you describe Cameron?,a man who likes to nap,happy,a man who likes to camp,xAttr
Remy gave Casey's version of the story and Casey expressed gratitude before taking questions.,What will Casey want to do next?,answer questions,be sympathetic to Casey,leave the area,oWant
Remy made hay getting home from school on Friday the 13th.,Why did Remy do this?,go to school before this,"had heard that on Friday the 13th, God would bless you if you just went home and hid","had heard that on Friday the 13th, that people pranked other people really bad",xIntent
"Sasha hated her neighbours dog as it barked all day and night so after going to the shop and buying poisonous slug pellets, Sasha gave the dog some pills.",How would you describe Sasha?,guilt,would be paranoid of getting caught,mean,xAttr
After starting the bar fight Kai told Riley that he had better go quickly.,How would you describe Riley?,a trouble maker,full of adrenaline,a peace maker,xAttr
Riley regarded Jesse's test paper with observant eyes to ensure accurate grading.,What will Jesse want to do next?,Double check the people they weren't sure about,Wait to see if they get a good grade,hand the graded paper back to him after,oWant
Skylar worked night shift and had just finished and driven home so when they got there they lay down pulled the shade over their eyes.,What will Skylar want to do next?,sleep,wake up,get active,oWant
Casey looked a lot like her mother because they had similar facial features and the same hair.,How would you describe Casey?,unique looking,adopted,blonde,xAttr
Ash wore a dress to his friends costume party.,What will Ash want to do next?,secretly liked to wear dresses,had never put on a dress before,Ash's friends were angry not amused,oWant
Sasha spent Austin's time trying to get them to agree to a purchase that they didn't want.,What will Austin want to do next?,decline the purchase,show them her taste,continue talking to Sasha,oWant
Riley had fallen to the ground and let out a scream of pain.,How would you describe Riley?,in a lot of pain,very emotional,likes to be quiet,xAttr
Riley is trying to teach Sasha how to swim underwater.,How would you describe Riley?,bossy,they had worked hard,helpful,xAttr
"To celebrate their twenty first birthday, Sasha spent a weekend with family at the beach.",What does Sasha need to do before this?,have fun,pack their suitcase and buy a new swimsuit,pack their purse and buy a new jacket,xNeed
Kai grabbed Carson's tools for him because Carson could not get them.,How would Carson feel as a result?,inconvenienced,grateful,angry,xReact
Alex made Casey escape jail because the guards werent watching.,What will happen to Casey?,in bad trouble,get Casey into trouble,be exonerated,oEffect
"Kai improved Jan's work, but then Jan stopped talking to Kai anyway.",How would Kai feel afterwards?,annoyed,satisfied,happy,xReact
"Kendall opened their mouth to speak about their beliefs, which happened to go against the beliefs of everyone else in the room.",What will happen to Others?,compatible with Kendall,uncomfortable with Kendall,agreement with Kendall,oEffect
Austin offered Sydney a position because they knew Sydney was tire of living with their parents.,What will happen to Sydney?,they will move out their parents' home,she will earn money,they will move to another city,oEffect
Kai was finally on vacation and went to the beach. Kai felt relaxed laying in the sun.,What does Kai need to do before this?,take off work,get something to eat,go to a party,xNeed
"Even though Ash already knew about the surprise party, Ash threw up their arms anyway, acting surprised to make the kids happy.",How would you describe Ash?,Surprised by the people at the party,glad to please the children,A person who can act the part if needed,xAttr
Lee gave his friend a special gift of a rare and collectible acoustical guitar.,Why did Lee do this?,buy an acoustical guitar from someone,thought the friend deserved a gift,find someone with an acoustical guitar,xIntent
Riley went out with some good friends to celebrate Riley's upcoming promotion at work.,What will Riley want to do next?,call in sick,buy a round of drinks for Riley,order a round,oWant
Sydney set the brush and trimmed branches on fire in the fire pit.,What does Sydney need to do before this?,wait for it to be raining outside,pour lots of gasoline on it,make a neat pile and clear away debris,xNeed
Austin took the family out for dinner to their favorite downtown restaurant.,How would you describe Austin?,went there in the car,could not remember the name of the restaurant,got lost on the way,xAttr
Jordan taught art in schools to pass their love of creating and drawing to others.,How would Jordan feel afterwards?,dedicated to do what they love,thankful for Jordan,the need to choose a rewarding career,xReact
Skylar lent little attention to the view of the house while touring it for a home purchase.,What does Skylar need to do before this?,uring it for a home purchases,look at house details,purchase a house,xNeed
Jesse was having a difficult time remembering information so he made notes throughout his book.,What does Jesse need to do before this?,Get a pen,Finish the book,Take a test,xNeed
Kai and his friend crowded around Sydney to shield her from onlookers after split her pants.,How would you describe Kai?,sympathetic towards Sydney because of her embarrassment,Nosey and cruel,A good friend,xAttr
carson took his son to the eye doctor instead of going to the birthday party for their other child.,What will happen to Others?,make the child with the birthday party upset,be happy,be annoyed,oEffect
Alex carried Robin into the execution when Robin refused to walk.,What will happen to Robin?,be given a pardon,be executed,live a long life,oEffect
Kai told Kendall the reason they stole money from Kendall was because Kai didn't deserve it.,What will happen to Kai?,they will experience remorse,they will make restitutions,get in trouble,oEffect
Bailey and Jesse both studied hard for the big exam.,What will Bailey want to do next?,rub in his successful,open a book,encourage Jesse to try again,oWant
Robin went to the gym from work and spent all evening there before getting home late.,What will Others want to do next?,prepare dinner for Robin,demand Robin do their chores,go to bed,oWant
Jordan made their friends laugh with a joke they told.,What will Others want to do next?,tell another joke,tell a story,tell them they are silly,oWant
Cameron shook Carson's head because he didn't believe the story.,How would you describe Cameron?,mad,upset,very suspicious,xAttr
Lee solved the world's water problem when he invented a new pump.,What does Lee need to do before this?,give up on everything,research a plan,stop his research,xNeed
"After the interview went well, Carson shook Jan's hand again.",How would Carson feel afterwards?,impatient,relieved,supportive,xReact
Jesse asked Addison's friends to go to the woods with him.,What will Jesse want to do next?,pitch a tent,be alone in the woods,sleep in his truck,oWant
Aubrey swam in the pool after eating a meal from mcdonald's recently.,What does Aubrey need to do before this?,swim carefully,make sure the food had settled,stay in the shallow end,xNeed
Bailey saved money because they wanted to buy something good.,How would you describe Bailey?,As someone who talks about buying something,good with money,excited to buy the good product,xAttr
Jan used Robin's approach on how to make money at the company.,What will Robin want to do next?,passive,lazy,rich,oWant
"Ash performed better after drinking coffee, but had to give it up due to acid reflux.",What does Ash need to do before this?,drink water,drink lemonade,start having stomach pains,xNeed
Jan had to move to another city for work but always visited home for christmas.,What will their parents want to do next?,get a better job in the city,see her family for the holidays,spent quality time with Jan,oWant
Aubrey was having a sleepover in Casey's but during the night Aubrey got sick and was throwing up in the bathroom so Casey called Aubrey's parents to collect Aubrey.,What does Casey need to do before this?,lose the number for Aubrey's parents,cancel the sleepover with Aubrey,invite Aubrey for a sleepover,xNeed
"After getting a passport and plane tickets, Casey visited another country.",What will Casey want to do next?,go to McDonald's in the country,study the culture and language in the country,make reservations before this,oWant
"Knowing that the assignments are part of the semester grade, Sydney took schoolwork seriously.",How would Others feel as a result?,a need to ignore the assignments,proud of them self,a need to succeed,xReact
Robin wanted to go out for the night so she went with Jan and her friends.,How would Jan feel as a result?,Like she had a night out,Good she got out and did something,very social,xReact
Carson ate the candy Bailey gave them and it was really good.,What does Carson need to do before this?,of unwrapped the candy,give more,of asked Bailey about Candy,xNeed
Robin went to the polls and posted her ballot for the candidate she wanted.,What will Robin want to do next?,bomb the candidadte,attend a rally,go home,oWant
Tracy went camping during the weekend because he wanted to get away.,How would you describe Tracy?,bored,brave,bad,xAttr
Kai would fall down because they don't know how to properly ice skate.,How would you describe Kai?,talented,embarrassed,clumsy,xAttr
It had been a long hard battle but now Riley laid down their arms.,How would Riley feel afterwards?,disgusted,defeated,relieved,xReact
Riley said it was better to go than to stay at the party.,How would you describe Riley?,wanting to go home,guilty about leaving,wanting to leave,xAttr
Jesse was a new person who just started at Riley's work.  Riley had heard rumors that Jesse was hoping to get the management position that Riley secretly had their heart set on.,What will Riley want to do next?,find out more about Jesse,wanted to protect their dream job,ignore Jesse,oWant
Carson enjoyed sports and liked to watch the games. They collected baseball cards.,What will Carson want to do next?,go to a movie,good,go to a ballgame,oWant
Kai handed back the money when the cashier gave him too much change back.,How would Others feel as a result?,content with his decision to return the money,like yelling at Kai for being stupid,an honest person,xReact
Austin decided to attend his law school reunion which was held last Saturday evening.  Austin enjoyed meeting up with former classmates.,What does Austin need to do before this?,get in touch with old friends,see his former classmates,take the LSAT,xNeed
Jesse went a bit far when they were drinking at the bar.,How would Jesse feel afterwards?,a trouble maker,like puking,cheerful the next day,xReact
Quinn wore jeans the next day after being warned it violated the dress code.,How would you describe Quinn?,naughty,agreeable,defiant,xAttr
Bailey went away for a few weeks with family on a vacation and had a wonderful time on their trip.,What will Bailey want to do next?,confirm time off work for the vacation,tell her friends about the nice trip,schedule a vacation with family,oWant
"Carson was trying to study for a big test, so Carson turned Sydney's music down.",Why did Carson do this?,listen to loud music,make Sydney upset,make things quiet,xIntent
Robin walked the same route to school with Jan's friends.,What will happen to Robin?,be bullied by Jan's friends,be ignored by Jan's friends,get to know Jan's friends,oEffect
Robin went with Jan's friends to the school carnival.,What will Robin want to do next?,ride all of the rides,stay home and study,be left alone,oWant
Jesse got the results for the test and got an A as a grade.,Why did Jesse do this?,keep it up,celebrate,studied hard,xIntent
Robin took the test quickly because they wanted to pass quickly with flying colors.,What will Robin want to do next?,pass,do well on the test,fail,oWant
Addison had finished a semester of school. They left for home.,How would Addison feel afterwards?,relaxed,in college,overwhelmed,xReact
Austin wrapped a belt around the waist of the bull rider.,Why did Austin do this?,make sure he has a good hold of it,The bull rider had injured his arm during the event,The man was very intoxicated and couldn't see straight,xIntent
Tracy took Sydney to school after Sydney missed the school bus this morning.,How would you describe Tracy?,such a good friend,grateful that they got to school conveniently,a friend to Sydney,xAttr
Quinn afforded every nice meal after getting a substantial raise at work.,What does Quinn need to do before this?,be productive,be lazy,work little,xNeed
Kendall kept the ball rolling and asked the next contestant a question.,Why did Kendall do this?,stop the game,lose her role as host,keep the game moving,xIntent
Quinn murders Remy's wife after Remy stole a lot of money from the family.,How would Remy feel as a result?,had felt passive,like the got away with it,had felt angry,xReact
Taylor caught their boyfriend sending texts to another girl.,What will Taylor want to do next?,see if their boyfriend was sneaking around,ignore the problem,confront their boyfriend,oWant
"Riley told her dog Lee to ""stay"" so he didn't follow her down the street.",Why did Riley do this?,move quickly down the street,dislikes animals,didn't want the dog to get hurt,xIntent
Kendall bought anything required because they knew that failure wasn't an option.,How would you describe Kendall?,confident the task would be completed,thorough,sure that all the needed resources were available,xAttr
"During the speech, Remy gave Casey's interpretation of the situation to the guests.",What does Remy need to do before this?,take detailed notes of Casey's words,send Casey a box of chocolates,call Casey to come to the podium,xNeed
Robin took a very long time to clean the windows of her house.,How would you describe Robin?,exhausted,a neat freak,tired,xAttr
"Whenever opportunity arises, Riley prefers driving himself to any destination. He just makes sure he studies the map carefully with the aid of the GPS.",Why did Riley do this?,download a GPS app to their phone,experience nature at every moment,show people his ride or car,xIntent
Bailey was a fast learner.,How would you describe Bailey?,happy at having learned so fast,proud at having learned so fast,Knowledge-seeking,xAttr
Sasha worked as a nurse and often stepped in and protected patients rights.,What will happen to the patients?,get sicker due to poor conditions,show Sasha their appreciation with cards,get a new promotion,oEffect
Jesse ate their cereal and didn't leave any for everyone else.,How would you describe Jesse?,generous,selfish,greedy,xAttr
"While at summer camp, Remy had a ton of fun and made more friends.",How would Remy feel afterwards?,well-liked,successful,Friendly,xReact
Ash made a mistake but then they redeemed themselves.,Why did Ash do this?,So they mistake isn't talked about by people,find a way to redeem themselves,fix their mistake,xIntent
Alex was wondering how to send the document to Bailey. Bailey told Alex to send the pdf.,How would Bailey feel afterwards?,indecision,complete,confusion,xReact
Robin left the food so that the cats would have something to eat.,Why did Robin do this?,feed his cats some dinner,see if anyone wanted the food,save food for his dogs,xIntent
Alex paid attention to the details and answered the trick question on their science exam correctly.,How would Alex feel afterwards?,Someone who pays attention to details,felt invincible,felt proud,xReact
Ash did know how to react so he accepted Alex's invitation.,What will happen to Alex?,go out together today,have a bad time today,go to Alex's party,oEffect
Tracy crowded around the group to tell them her funny story.,What will Tracy want to do next?,leave,make them laugh,tell her story,oWant
Lee is great on remembering difficult numbers or is he .,What will Lee want to do next?,not go to work today,cook a big meal at home alone now,remember many things all day today,oWant
Jan was new to the neighborhood and went out running one morning. Jan found new friends in the neighborhood on her run.,How would Others feel as a result?,unsociable,excited,friendly,xReact
Kendall wrapped a bandage around my neck after getting injured in a fight.,What will Kendall want to do next?,harm them,punish them,protect them,oWant
Cameron won last year's race by a nose. This year Cameron trained extra hard for the race.,Why did Cameron do this?,win by a nose again,thinks someone could beat them,train hard as well,xIntent
"Robin had a hard time understanding the concept, so she let Carson explain it more thoroughly.",How would Carson feel as a result?,frustrated that Robin didn't understand,ready to play,ready to work,xReact
Jesse used Kendall's phone even after Kendall said they did not have permission to.,How would Kendall feel as a result?,like a thief,defiant,annoyed,xReact
Kai was thirteen and had outgrown their shoes over the past year.,What does Kai need to do before this?,have new shoes,needed to meditate,needed to get a ride to the mall,xNeed
Jesse lived with their wife in a tiny apartment and really wanted to adopt some kids.,What does Jesse need to do before this?,divorce his wife,research online about adopting kids,save up some money,xNeed
Kai grabbed Carson's tools and put them away because Carson was too lazy to do it themselves.,What does Kai need to do before this?,gather the tools,wonder who put his tools away,wonder were his tools are,xNeed
Cameron took Carson away for a long time after the death of his mother.,How would Carson feel as a result?,A FATHER FIGURE,like they had time away,like they are rushed,xReact
"After accidentally spilling water on his jeans, Jesse went too far when he yelled at his brother.",How would Jesse feel afterwards?,has a short fuse,felt guiltless for having yelled at his brother,was remorseful and apologized to his brother,xReact
Lee touched a nerve is his wife we he complained about her cooking.,How would you describe Lee?,guilty,innocent,not appreciative of his wife,xAttr
Tracy wore Sydney's jacket to school without asking for permission.,How would you describe Tracy?,rude,polite,upset that Tracy stole their jacket,xAttr
Sasha improved Jordan's status and he received a promotion because of it.,How would Jordan feel as a result?,willing to help,thankful as a result,wants the best for Jordan,xReact
Robin held her breath underwater in the pool.,How would you describe Robin?,exhausted,fun,tired,xAttr
Sydney provided Aubrey an estimate of the price for building the house.,What will Sydney want to do next?,decline to build the house due to the high estimate,decide who to choose to build the house,make requested changes to the plans,oWant
"Jordan always.wanted to help people, so he decided to study medice to work in a hospital.",How would you describe Jordan?,loves helping people,works with people with bad health,loves helping sick people,xAttr
Jordan ran quickly to the store down the street.,What will Jordan want to do next?,put on his boots,throw on his running shoes,put gas in the car,oWant
Bailey felt bad. He overslept and missed his appointment for the job interview.,What does Bailey need to do before this?,set his alarm clock,try to reschedule the interview,call and apologize,xNeed
Kendall was a bad cook. They burned water and ruined the recipe for ice.,How would you describe Kendall?,in need of knitting lessons,unskilled afterwards,in need of cooking lessons,xAttr
Carson was at a friend's house. The others didn't really like him except for his friend.,What will Others want to do next?,start a fight,hope Carson leaves,ask Carson's friend to make him leave,oWant
Jodans mother had a birthday. They took their mother to the shoe store.,What does Jordan need to do before this?,get a jacket,wanted to treat his mom,get their money,xNeed
Someone has been stealing money from Riley. Riley leaves money on the counter in the kitchen and watches Jesse closely.,Why did Riley do this?,get money from the kitchen counter,see if they could trust Jesse,take money from the kitchen counter,xIntent
Alex saw someone behaving very stupidly so Alex made a deprecating comment.,Why did Alex do this?,make fun of them,be friendly to the person,make the person stop,xIntent
Jan's friends have been paying more attention to Robin lately.,How would Jan feel as a result?,lonely,rich,would be happy for her,xReact
Tracy walked my dog home that day and got some food and water for the dog too.,How would Others feel as a result?,loved now,passive now,a good pet sitter,xReact
Taylor was close to winning the game. Taylor ran straight for home plate.,What will Taylor want to do next?,try to get over that they did win,celebrate the win,wanted to score,oWant
"Riley is a supervisor of Jesse, and is charged with making sure merchandise is not damaged.",What will Jesse want to do next?,drop the goods,want wrap merchandise in bubble wrap,give proper instructions,oWant
"kendall was married two times already, and had two kids.",What will Others want to do next?,tell kendall to stay a divorced mom,be more careful during sex,tell kendall to keep her hopes up,oWant
Carson was at a friend's house playing video games when they decided to order pizza.,What will happen to Others?,share the pizza with his friend,eat the pizza,play games,oEffect
"Due to his friend's flight being delayed, Cameron decided to pick Robin up from the airport.",How would Cameron feel afterwards?,good that his friend's flight was delayed,proud that people can rely on him,happy that he doesn't have to wait at the airport,xReact
"Due to her old fashion views, many people think Riley's ideas have gone the way of the dodo.",What will Riley want to do next?,right,Ignore the critics,express her views,oWant
Remy paid Aubrey's taxes since she already owed money.,What will Aubrey want to do next?,throw the taxes out,return whatever they owed,go to the accountant,oWant
Taylor got married but decided to keep her identity and last name.,How would you describe Taylor?,shy and reticent,independent,like a feminist,xAttr
Addison needed to find someone he could trust when he found God.,How would this look to others?,relieved to have a friend to confide in,has become a Christian,stupid,oEffect
Robin had fasted for 30 days and nights as part of a religious feast.,How would you describe Robin?,was full up,thinner,was craving sweet things,xAttr
Alex put stamps on their wrists while they were in line for the concert.,Why did Alex do this?,prevent them from drinking,give them entry,drive to the concert,xIntent
Cameron pushed Carson so hard that it shook their head back and forth.,What will Cameron want to do next?,walk up to Carson,ok,apologize for being to careful,oWant
Casey visited a friend in the UK and one in Ireland.,Why did Casey do this?,sleep all day,get a plane ticket,go sightseeing,xIntent
Remy took this suggestion seriously because it was coming from their manager.,Why did Remy do this?,strong,be insubordinate to their boss,cooperate with their boss,xIntent
Quinn threw the frisbee so the dog could play with it.,What will Others want to do next?,ignore the frisbee,Call the dog's name,watch it fly,oWant
Austin interfered with Sydney's attempt to rehearse for a dance recital.,How would Austin feel afterwards?,helpful to Sydney,like a bad friend,a person who lacks basic morals,xReact
Aubrey fed Tracy's kids lunch today while Tracy was at work.,What will happen to Tracy?,be thankful,won't like Aubrey,get paid later,oEffect
Ash used metaphor and meaning through out his book.,How would Ash feel afterwards?,talented,Like they expressed their thoughts,creative,xReact
After a long trip Carson finally arrived at a friend's house.,What will happen to Carson?,knock on the door,Others will be glad to see Carson,steal items from the house,oEffect
Riley screamed in pain and waited for help to arrive before getting up.,What does Riley need to do before this?,was lying down,was doing homework,tried to do a stunt,xNeed
"Remy reviewed the lecture from class, and now Remy understood every word.",What will Remy want to do next?,study some more,forget the knowledge,go to class,oWant
sasha was asked to join the revolution so sasha fulfilled their purpose.,What does Sasha need to do before this?,motivate people,move to another country,join the revolution,xNeed
"Having reached a major weight loss goal, Kai chose to purchase new clothes to celebrate.",What does Kai need to do before this?,determine what their weight loss goal will be,continue to diet and exercise,show off the new clothes to friends,xNeed
Riley got free of the guard and ultimately was able to make her escape.,What does Riley need to do before this?,have known about the guard's practices,needed to be lackadaisical about it,be free,xNeed
Robin had been away for two weeks on his honeymoon.  Cameron picked him up on his return home.,What will Cameron want to do next?,ask him all about the trip,ignore him,drive him back to the airport,oWant
Sydney guessed the ending of the speech and ruined it for the others.,What will Others want to do next?,keep the peace,listen next,say sorry,oWant
"Taylor shoved the donut into Jan's open mouth, and Jan got a hunk of the donut caught in their throat.",How would you describe Taylor?,cruel,mean,someone who likes to pull pranks,xAttr
Aubrey understood Remy better this time after he repeated himself twice.,How would Remy feel as a result?,embarrassed that they spoke that way,deaf,like they need to speak up,xReact
