Unnamed: 0,Original,Paraphrases_y,Paraphrases_m,Paraphrases_o,choice_y,choice_m,choice_o,choice_b,target,sim_Young,sim_Middle,sim_Old,perplexity_young,perplexity_middle,perplexity_old,perplexity_baseline
370," Carson was home alone for a while listening to his music, when he saw that his mom had come home from work, and looked to be in a foul mood. Why did Carson do this? ", Carson was chillin' at home with his tunes blasting when he noticed his mom had rolled in from work and looked like she was having a major case of the grumps.  Why did Carson do this? ," Carson was spending some quality time at home, enjoying his music, when he saw that his mother had arrived from work in a less-than-stellar mood.  Why did Carson do this? "," Carson was sitting at home, indulging in his favorite tunes, when he observed his mother returning from her job with an appearance of displeasure.  Why did Carson do this? ",2,2,2,2,2,0.763538,0.7909704,0.759477,52.13026047,32.40872955,43.07522583,23.28829575
371, Skylar knew they were nervous and he wanted to ease their minds. What does Skylar need to do before this? , Skylar sensed that his friends were feeling anxious and he wanted to make them feel better.  What does Skylar need to do before this? ," Skylar noticed that his companions were visibly uneasy, so he aimed to reassure them.  What does Skylar need to do before this? ", Skylar perceived that his acquaintances were apprehensive and he sought to calm their frayed nerves.  What does Skylar need to do before this? ,0,1,1,1,1,0.84911424,0.8723173,0.8773846,32.96379852,69.13051605,107.1766663,60.24095535
372, Remy got very dark after drinking by himself all night long. How would you describe Remy? , Remy got totally hammered last night after drinking alone all evening long.  How would you describe Remy? ," Remy had way too much to drink by himself last night, resulting in a pretty rough morning today.  How would you describe Remy? "," Remy overindulged in alcohol by himself last night, causing him to feel quite unwell this morning.  How would you describe Remy? ",1,1,1,0,0,0.8322385,0.8148329,0.78166837,175.9036102,41.75340271,40.83298874,83.87346649
373, Aubrey ignored the call that she got from Riley that was about the upcoming party. What will Riley want to do next? , Aubrey blew off Riley's call about the party because she wasn't feelin' it.  What will Riley want to do next? ," Aubrey declined Riley's invitation to discuss the upcoming party, choosing instead to focus on her own priorities.  What will Riley want to do next? "," Aubrey disregarded Riley's telephone call regarding the forthcoming social gathering, opting to attend to more pressing matters.  What will Riley want to do next? ",0,0,0,0,1,0.87016726,0.8614429,0.8178583,98.66941071,51.10531235,123.8928452,66.38934326
374, Robin went with Jan's friends to the park to play some games for hours. What will Jan want to do next? ," Robin joined Jan's crew at the park for an epic gaming session that lasted like, forever!  What will Jan want to do next? ", Robin accompanied Jan's friends to the park for a fun-filled afternoon of games and activities.  What will Jan want to do next? , Robin went with Jan's companions to the park for a leisurely day of games and socializing.  What will Jan want to do next? ,1,1,1,1,0,0.8268768,0.88641757,0.89854175,125.8181915,49.07217789,68.1480484,58.03044891
375," Sydney is Alex's mother and personal caregiver after Alex was paralyzed from the neck down.  They help Alex communicate with people, and they were both at a Dairy Queen being asked by the cashier if they wanted extra fries. How would Sydney feel afterwards? "," Sydney is totally Alex's ride or die, like a mom and personal caregiver after that unfortunate accident left Alex paralyzed from the neck down. They're like, super helpers, you know? They even go to places like Dairy Queen together and stuff! Like, the cashier was asking if they wanted extra fries and everything.  How would Sydney feel afterwards? "," Sydney is Alex's devoted mother and caregiver, providing support and assistance after Alex's unfortunate paralysis from the neck down. They regularly go out together, such as to Dairy Queen, where they were asked by the cashier if they wanted extra fries.  How would Sydney feel afterwards? "," Sydney is a loving mother and caregiver to her son Alex, who was tragically paralyzed from the neck down. Despite this, they continue to enjoy activities together, including visiting Dairy Queen, where they were offered extra fries by the cashier.  How would Sydney feel afterwards? ",1,1,2,2,2,0.8050658,0.88170964,0.8113596,83.35690308,48.88563156,32.07661438,48.11510849
376, Taylor attended their father's concert and was very impressed that their father performed so well. What will Taylor want to do next? , Taylor went to their dad's concert and was totally blown away by how awesome he performed!  What will Taylor want to do next? , Taylor attended their father's concert and was very impressed with the quality of his performance.  What will Taylor want to do next? ," Taylor went to see their father perform in concert and was thoroughly enjoying the show, particularly when they witnessed how well he did.  What will Taylor want to do next? ",1,0,1,0,0,0.88447815,0.9577603,0.9279214,52.86408997,37.9307251,66.52171326,43.73791885
377, Addison and their friends were playing hide and seek at recess. Addison ran away to go find a hiding place. What will Addison want to do next? , Addison and her squad were totally engrossed in a sick game of hide and seek at recess. She totally sprinted away to find an epic hiding spot.  What will Addison want to do next? , Addison and her friends were enjoying a fun game of hide and seek during recess. She quickly ran off to find a good hiding place.  What will Addison want to do next? , Addison and her companions were indulging in a delightful game of hide and seek during their recreational period. She hastily retreated to locate an appropriate hiding location.  What will Addison want to do next? ,1,1,1,1,2,0.7986305,0.93188673,0.8151301,70.17279816,23.39937782,72.14155579,34.44391632
378, Bailey was a good basketball player who had a special shot in their arsenal. What does Bailey need to do before this? , Bailey was a killer basketball player with a signature move that always impressed the crowd.  What does Bailey need to do before this? , Bailey was an exceptional basketball athlete who had a unique shooting style that set them apart from their opponents.  What does Bailey need to do before this? , Bailey was a talented basketball player who possessed a distinctive shot that consistently scored points for their team.  What does Bailey need to do before this? ,1,1,1,1,1,0.8524846,0.8548321,0.89346397,78.15805817,35.93157578,54.27575684,51.03767014
379, Bailey studied the book carefully in preparation for the end of course exam. What will Bailey want to do next? , Bailey totally crushed that book and totally nailed her end-of-course exam prep! 💪🏼  What will Bailey want to do next? , Bailey thoroughly reviewed the book and prepared diligently for her end-of-course exam. 📚🔍  What will Bailey want to do next? , Bailey perused the book with great attention to detail and prepared assiduously for her end-of-course examination. 👓📝  What will Bailey want to do next? ,0,0,0,0,2,0.81584483,0.9178072,0.8760172,95.822052,89.69283295,65.05899048,56.9522934
380, Cameron interpreted science in terms of objectiveness and rules. What will Cameron want to do next? , Cameron saw science as all about being objective and following strict guidelines.  What will Cameron want to do next? , Cameron viewed science as a discipline that values objectivity and adherence to established principles.  What will Cameron want to do next? , Cameron believed that science should be approached with a focus on fairness and a commitment to established norms.  What will Cameron want to do next? ,2,1,1,1,0,0.85369796,0.8800469,0.81356025,136.3127441,75.206604,65.19435883,120.3899155
381, Sydney set Skylar's phone on edge just a small hairline over falling over the desk. How would you describe Sydney? , Sydney totally freaked out Skylar's phone by putting it way too close to the edge of the desk!  How would you describe Sydney? , Sydney was careless with Skylar's phone and almost dropped it over the edge of the desk.  How would you describe Sydney? ," Oh my goodness, Sydney, you were just a hair's breadth away from dropping Skylar's phone off the desk!  How would you describe Sydney? ",0,1,1,1,1,0.8213099,0.8217613,0.7309093,56.65412903,50.46229935,61.20840836,157.0250854
382, Kai talked about politics with their friends to try and stay informed. Why did Kai do this? , Kai chatted with their squad about politics to stay in the know.  Why did Kai do this? , Kai had a discussion with their friends about current events to stay informed.  Why did Kai do this? , Kai engaged in a conversation with their peers regarding political matters to remain aware.  Why did Kai do this? ,0,0,0,0,0,0.86508566,0.8782241,0.8983703,207.9758453,93.66881561,213.6251831,73.83195496
383, Sydney made some friends at their new place that they were working. What will Sydney want to do next? , Sydney totally made some gnarly friends at their new gig! 😎  What will Sydney want to do next? , Sydney was able to form some meaningful connections with their colleagues at their new workplace. 👥  What will Sydney want to do next? , Sydney has acquainted themselves with some lovely people at their place of employment. 💕  What will Sydney want to do next? ,2,2,2,2,2,0.8099329,0.82273275,0.799047,134.3919678,76.76646423,67.43997192,59.61787415
384, Tracy the bus driver took Jesse's students on a field trip to a remote location. How would Tracy feel afterwards? ," Tracy, the cool bus driver, took Jesse's crew of students on a sick field trip to a far-out location.  How would Tracy feel afterwards? "," Tracy, the experienced bus driver, carefully transported Jesse's students to a secluded spot for their field trip.  How would Tracy feel afterwards? "," Tracy, the reliable bus driver, escorted Jesse's class of students on a educational field trip to a distant place.  How would Tracy feel afterwards? ",1,1,1,2,1,0.8784207,0.89890146,0.855273,100.4816742,97.01395416,128.6673889,83.38747406
385, Alex loved to watch tv so he spent most of his time up in his room with it on. Why did Alex do this? , Alex was totally addicted to TV and spent most of his time holed up in his room binge-watching his favorite shows.  Why did Alex do this? ," Alex enjoyed spending time in his room watching TV, as it helped him unwind and relax after a long day.  Why did Alex do this? ", Alex was rather fond of television and would often retreat to his bedroom to pass the time watching his favorite programs.  Why did Alex do this? ,0,0,0,0,2,0.8745679,0.8287189,0.82544255,23.028759,32.00747681,44.28796005,41.73918152
386, Addison was listening to music very loudly. They turned their music down. How would Addison feel afterwards? ," Addison was bumpin' their jams way too loudly, so they had to turn it down a notch.  How would Addison feel afterwards? "," Addison had the volume on their music cranked up quite high, so they were asked to lower it down a bit.  How would Addison feel afterwards? "," Addison was enjoying their music at an excessive volume, and they were kindly requested to turn it down some.  How would Addison feel afterwards? ",0,1,2,0,1,0.78649986,0.7792365,0.859678,51.12012863,54.59205627,102.4486389,89.85836792
387, Jordan wanted to try something new to pass the time  so he went to a baseball card shop. Why did Jordan do this? ," Jordan was bored and looking for something new to do, so he decided to check out this cool baseball card shop.  Why did Jordan do this? "," Jordan was seeking a fun and exciting way to spend his afternoon, so he ventured to a nearby baseball card store.  Why did Jordan do this? "," Jordan felt like doing something different one day, so he went to explore the baseball card shop in town.  Why did Jordan do this? ",1,1,1,1,1,0.82524824,0.78449327,0.80302125,29.37062073,53.26190948,81.09264374,61.11729431
388, Jan said walk back to the students who were being disruptive and loud. How would you describe Jan? , Jan told the noisy students to chill out and move back to their seats.  How would you describe Jan? , Jan requested that the rowdy students calm down and return to their positions in the classroom.  How would you describe Jan? , Jan gently reminded the rambunctious students to quiet down and take their seats.  How would you describe Jan? ,2,2,2,2,2,0.7787738,0.70067966,0.7360381,117.4047623,65.92316437,58.62986755,136.7137909
389, Austin had things to do after school and always ate late. Why did Austin do this? , Austin had stuff to do after class and always chowed down late.  Why did Austin do this? , Austin had errands to run after school and always ate dinner later than usual.  Why did Austin do this? , Austin had tasks to attend to after his classes ended and consistently consumed his meals at a later hour.  Why did Austin do this? ,0,0,0,0,0,0.84873676,0.8973305,0.82940555,238.4107971,111.6891708,168.2016449,118.1767654
390," Growing up, Sydney had always wanted to be a lawyer. So, when she got to college, she took school very seriously. Because of this, during her senior year she felt like she had a good chance at getting into law school. What will Sydney want to do next? "," Sydney was dead set on becoming a lawyer from the time she was a teenager, so she put her nose to the grindstone in college and worked super hard. By her senior year, she felt like she had a good shot at getting into law school!  What will Sydney want to do next? "," Sydney was determined to become a lawyer from a young age, so she dedicated herself to her studies in college. As a result, by the time she reached her senior year, she felt confident that she had a strong chance of getting accepted into law school.  What will Sydney want to do next? "," Sydney had always dreamed of being a lawyer, and she worked very hard in college to make that dream a reality. By her senior year, she felt like all her efforts had paid off and she had a good chance of getting into law school.  What will Sydney want to do next? ",0,0,0,0,0,0.8623189,0.8930738,0.856,19.26625061,12.46653557,12.8285017,14.23053551
391," Skylar heard a commotion from a room no students are supposed to be in, he entered the room and found some. What will the students want to do next? "," Skylar heard some suspicious noise coming from a forbidden room, so he snuck in and found his friends pulling off an epic prank!  What will the students want to do next? "," Skylar detected some unusual activity coming from a restricted area, so he cautiously entered the room and discovered some mischievous students engaging in a prank.  What will the students want to do next? "," Skylar heard an unfamiliar sound coming from a room that wasn't supposed to be accessed by students, so he carefully entered the room and found some youngsters up to no good.  What will the students want to do next? ",2,2,2,2,1,0.7958935,0.7942353,0.8832758,80.41347504,55.25214005,42.92575073,41.58499908
392, Sydney woke up and was ready to start the day. They put on their clothes. What will Sydney want to do next? ," Sydney jumped out of bed and got dressed for the day, feeling energized and ready to take on whatever came their way.  What will Sydney want to do next? "," Sydney woke up bright and early, put on their favorite outfit, and was all set to tackle the day with a spring in their step.  What will Sydney want to do next? "," Sydney rose from their slumber, donned their daily attire, and prepared for another productive day, feeling refreshed and eager to engage with the world around them.  What will Sydney want to do next? ",1,1,2,1,2,0.84748507,0.9020609,0.7788388,18.49515533,25.90731239,34.7287674,26.58984756
393, Casey was hungry so they put food into the oven to cook. How would Others feel as a result? ," Casey was starving, so they tossed some grub in the oven to heat it up.  How would Others feel as a result? "," Since Casey was feeling peckish, they placed some food in the oven to bake until it was ready.  How would Others feel as a result? "," As Casey had a hankering for something tasty, they put some sustenance in the oven to cook until it was hot and ready to eat.  How would Others feel as a result? ",0,0,0,0,2,0.85317695,0.76206565,0.7882078,54.02705765,63.40591049,36.59838104,115.9800262
394, Aubrey asked Sydney to estimate the cost of the damage to her car. Why did Sydney do this? ," Aubrey was like, ""Hey Sydney, can you guess how much the damage to my car is gonna cost?  Why did Sydney do this? ", Aubrey asked Sydney to provide an estimate of the damages to her vehicle.  Why did Sydney do this? , Aubrey inquired of Sydney as to the approximate cost of the repairs needed for her automobile.  Why did Sydney do this? ,1,1,1,1,1,0.8744245,0.9223955,0.8447775,46.08517838,69.00957489,87.09210205,47.28881836
395," Remy gave Skylar, the concierge, her account so that she could check into the hotel. What will Remy want to do next? ", Remy handed over her account details to Skylar so she could swipe into the hotel like a total boss! 😎  What will Remy want to do next? , Remy provided Skylar with her account information to facilitate her check-in process at the hotel.  What will Remy want to do next? , Remy gave Skylar her account particulars so she could register at the hotel with ease.  What will Remy want to do next? ,2,2,1,2,2,0.8488682,0.91448396,0.8600947,281.2409058,80.36694336,256.8076782,57.35306549
396, Kendall walked their dog home in the pouring rain and thunder and lightning. How would you describe Kendall? , Kendall totally braved the crazy rain and thunderstorm to walk their pup home! 🐶☔️🌩️  How would you describe Kendall? , Kendall ventured out in the pouring rain and electrical storm to bring their furry friend back home. 💨🌧️🐕  How would you describe Kendall? , Kendall navigated through the torrential downpour and turbulent weather to walk their loyal canine companion home. 👩‍👦🐕🌪️  How would you describe Kendall? ,2,2,2,2,2,0.84393525,0.80016077,0.81114393,105.628418,82.61914063,85.46946716,94.12870026
397, Skylar found a child standing in the airport alone and tried to find their parents. Why did Skylar do this? ," Skylar was like, ""Whoa, there's a lost kid here?!"" and tried to find their fam, you know?  Why did Skylar do this? ", Skylar noticed a young child standing alone in the airport and made an effort to locate their parents or guardians.  Why did Skylar do this? , Skylar espied a juvenile passenger separated from their family at the airport and endeavored to find their kinfolk.  Why did Skylar do this? ,0,0,0,0,0,0.7350124,0.90730894,0.8151299,60.84843063,72.00717926,157.6622009,58.25024414
398, Aubrey and Ted was on a fishing trip when a shark hit the boat and Aubrey fell out of it. What does Ted need to do next? ," Aubrey and Ted were out on a sick fishing trip when, like, a shark just attacked their boat and Aubrey fell off!!  What does Ted need to do next? "," Aubrey and Ted were on a thrilling fishing adventure when suddenly a shark struck their boat, causing Aubrey to fall into the water.  What does Ted need to do next? ", Aubrey and Ted went on a fishing excursion and had a frightening encounter with a shark that caused Aubrey to fall off the boat.  What does Ted need to do next? ,1,1,1,1,0,0.91419816,0.9255475,0.90781236,70.66054535,31.82487488,26.80954742,32.48295593
399," Riley regarded Jesse, but Jesse was annoyed that they were being watched. What will happen to Riley? "," Riley was totally crushing on Jesse, but Jesse was not here for it and got majorly annoyed that Riley was checking them out.  What will happen to Riley? "," Riley gazed longingly at Jesse, but Jesse felt self-conscious and irritated that Riley was staring at them so intensely.  What will happen to Riley? "," Riley looked fondly at Jesse, but Jesse grew vexed by the constant scrutiny and wished Riley would stop eyeing them so persistently.  What will happen to Riley? ",0,0,2,0,1,0.85805273,0.88315314,0.8656407,73.17486572,44.61423492,85.89105988,79.44522095
400," While everyone else stood around trying to figure out the instructions by themselves, Taylor gave help to a friend and they completed the task first. How would the others feel as a result? "," Taylor was, like, super helpful to their friend and they finished the task way faster than anyone else!  How would the others feel as a result? "," Taylor was a great sport and assisted their friend with the instructions, allowing them to complete the task efficiently.  How would the others feel as a result? "," Taylor was kind and considerate towards their friend, providing them with the necessary guidance to complete the task promptly.  How would the others feel as a result? ",0,0,0,2,2,0.69935936,0.7156215,0.711194,84.55097198,95.73167419,54.46575546,50.80802536
401, Sydney rubbed Addison's head because she had a horrible headache. What will happen to Sydney? , Sydney gave Addy a head massage because she was feeling super stressed and needed some serious relaxation time. 😌  What will happen to Sydney? , Sydney gently rubbed Addison's temples to soothe her pounding headache. She knew just the right pressure to apply to ease her friend's discomfort. 🤗  What will happen to Sydney? , Sydney tenderly stroked Addison's hair to ease her aching head. She remembered how her own grandmother used to do the same for her when she was feeling under the weather. 🐝  What will happen to Sydney? ,1,1,1,1,1,0.751291,0.8603402,0.7450808,94.40419006,89.00692749,40.54855347,66.86325836
402, Kai watched videos on youtube and there was one they really liked. How would you describe Kai? , Kai totally binge-watched some sick YouTube vids and there was one that really stood out!  How would you describe Kai? , Kai watched a selection of videos on YouTube and found one that resonated with them particularly well.  How would you describe Kai? , Kai viewed a few videos on YouTube and there was one that they quite enjoyed.  How would you describe Kai? ,2,0,0,0,0,0.8653918,0.9099113,0.945099,66.72076416,30.97252274,59.38949585,64.05434418
403, Robin put their hand on Addison's wrist to keep Addison from shaking uncontrollably. What will Addison want to do next? , Robin gave Addison a comforting touch on their wrist to calm them down from shaking uncontrollably.  What will Addison want to do next? , Robin gently placed their hand on Addison's wrist to steady them and prevent uncontrollable shaking.  What will Addison want to do next? , Robin tenderly grasped Addison's wrist to stabilize them and alleviate the uncontrollable tremors.  What will Addison want to do next? ,0,0,0,1,1,0.94062763,0.9346001,0.90566164,102.6852112,129.5162354,193.1068573,50.87234116
404," Quinn climbed into bed after a full, busy day of work. Why did Quinn do this? ", Quinn snuggled into bed after a totally epic day at work.  Why did Quinn do this? ," Quinn settled into bed after a long, productive day at the office.  Why did Quinn do this? ", Quinn got tucked into bed after a fulfilling and exhausting day on the job.  Why did Quinn do this? ,0,0,0,0,0,0.87822115,0.8511517,0.8977306,72.91127014,43.90149307,86.32707214,64.9471283
405, Bailey destroyed the enemy's weapons when playing a video game with friends. How would Bailey feel afterwards? , Bailey totally wiped out the enemy's sick arsenal while gaming with his homies.  How would Bailey feel afterwards? , Bailey effectively dismantled the opponent's weapons during a video game session with his friends.  How would Bailey feel afterwards? , Bailey cleverly eliminated the adversary's armament in a video game while enjoying some quality time with his pals.  How would Bailey feel afterwards? ,1,1,1,1,1,0.81600803,0.9142872,0.8347288,262.8001709,101.5643158,95.37104797,78.78762054
406, Casey decided that he would be better off if he broke up with his girlfriend. What does Casey need to do before this? , Casey realized that he would be way happier if he dumped his girlfriend.  What does Casey need to do before this? , Casey came to the conclusion that it was best for him to end his relationship with his girlfriend.  What does Casey need to do before this? , Casey thought it over and decided that breaking up with his girlfriend would be the most prudent course of action.  What does Casey need to do before this? ,2,0,0,0,1,0.83604616,0.8271384,0.8602797,66.93499756,14.67575455,19.97917747,24.26452446
407, Alex answered Riley's question about the math problem for homework that night. What will happen to Riley? ," Alex totally crushed Riley's query about that math problem for homework last night, you know? Like, he was so on top of it and stuff.  What will happen to Riley? ", Alex provided a comprehensive explanation to Riley's question about the math problem for homework that evening.  What will happen to Riley? , Alex certainly addressed Riley's inquiry regarding the math problem for homework with great detail and clarity that night.  What will happen to Riley? ,0,1,1,1,2,0.86247855,0.921134,0.90306896,112.1299973,238.0827026,432.783905,125.7157593
408, cameron was challenged to a dual so he had to put up or shut up. How would you describe Cameron? ," Cameron was called out for a showdown, so he had to prove his skills or back down.  How would you describe Cameron? "," Cameron was challenged to a duel, and he had to put up or be silent.  How would you describe Cameron? ", he had to either put his money where his mouth is or keep quiet about it.  How would you describe Cameron? ,1,1,0,1,0,0.77420723,0.8911548,0.6608592,72.40543365,33.1862793,19.13024521,60.93742752
409, Quinn went to work the next day after they went on vacation over the weekend. Why did Quinn do this? , Quinn hit up work the next day after they came back from their weekend getaway.  Why did Quinn do this? , Quinn returned to work the following day after their vacation over the weekend.  Why did Quinn do this? , Quinn went back to work the day after they got back from their weekend trip.  Why did Quinn do this? ,2,2,2,2,1,0.8418616,0.9292136,0.92153126,68.47897339,42.27296829,28.63342476,29.97646332
410, Riley got dressed up for a night out. Riley went out with some friends dancing. What does Riley need to do before this? ," Riley put on their flyest outfit and hit the clubs with their squad, busting out some sick moves on the dance floor!  What does Riley need to do before this? "," Riley got dolled up for a fun night out with pals, hitting the dance scene and showing off their groovy moves.  What does Riley need to do before this? "," Riley put on their Sunday best and went out for an evening of socializing with friends, enjoying some lively tunes and fancy footwork.  What does Riley need to do before this? ",0,0,0,0,2,0.66395414,0.8263999,0.75529397,115.6273956,53.98787689,64.29097748,37.03449631
411, Addison had taken Casey's money without her permission. Addison knew she may get in trouble for this. What will Addison want to do next? ," Addison totally dissed Casey by taking her cash without asking, and now she might be in major trouble!  What will Addison want to do next? "," Addison took Casey's money without her consent, which could lead to some serious repercussions for her.  What will Addison want to do next? "," Addison has taken Casey's funds without her approval, and this could result in severe consequences for her actions.  What will Addison want to do next? ",2,2,2,2,0,0.859848,0.88527465,0.8480882,145.2136536,52.37409973,70.66364288,50.94746399
412," Carson was a week away from finals, but went over his friends every day to play video game. How would you describe Carson? ", Carson was totally hooked on his fave video game and would blow off his studies every day to hang with his buds and play.  How would you describe Carson? ," Despite being only a week away from final exams, Carson found himself consistently making time to visit his friends for some quality gaming sessions.  How would you describe Carson? "," Carson was devoting an inordinate amount of attention to his video games, neglecting his impending finals by spending each day with his pals engrossed in the digital world.  How would you describe Carson? ",1,1,1,1,0,0.7156493,0.7248218,0.7497676,94.8801651,58.77987671,51.84643936,50.75450134
413, Taylor gave her friend a present for their birthday that year. What will happen to Taylor? , Taylor totally slayed her BFF's birthday by gifting them an epic present that year! 🎁💥  What will happen to Taylor? ," Taylor thoughtfully gave her friend a special gift on their birthday that year, showing how much she values their friendship. 😊🎁  What will happen to Taylor? "," Taylor kindly presented her dear friend with a wonderful birthday gift that year, demonstrating the strong bond of their long-lasting friendship. 👵🏻🎁  What will happen to Taylor? ",2,2,2,2,0,0.803575,0.8477308,0.8132437,104.049675,77.53196716,86.79364777,67.62452698
414, Remy challenged them to a game of racquetball at the local YMCA gym. Why did Remy do this? ," Remy was like, 'Hey guys, let's play some racquetball at the YMCA gym!' And they were all like, 'YOLO, let's do it!  Why did Remy do this? "," Remy suggested a game of racquetball at the local YMCA gym, and her friends eagerly accepted the challenge.  Why did Remy do this? "," Remy proposed a game of racquetball at the community center, and her contemporaries graciously agreed to participate.  Why did Remy do this? ",0,0,0,0,0,0.77822274,0.85754645,0.7798373,18.92086792,40.85019302,72.80381012,41.68841934
415," Remy and their friends were playing hide and seek in Remy's house. When they finished playing, it was very dark outside. Why did it become dark outside? "," Remy and their squad were hangin' out in Remy's crib, playin' hide and seek like it was nobody's biz. When they finished gettin' their game on, it was totally pitch black outside! 😱  Why did it become dark outside? "," Remy and their friends had a blast playing hide and seek in Remy's home. Once they finished having fun, the darkness outside made it difficult to see anything! 🌃  Why did it become dark outside? "," Remy and their companions enjoyed a rousing game of hide and seek in Remy's abode. After they concluded their playtime, the night had fallen and it was quite dark outside! 🌃  Why did it become dark outside? ",2,2,0,2,2,0.7840826,0.9030169,0.82936096,64.25235748,50.8601532,61.07444,28.43533707
416, Riley wanted to ask their friends advice about what to do for a job. What will Others want to do next? , Riley was curious about their friends' thoughts on what career path to take.  What will Others want to do next? , Riley sought the advice of their friends regarding their career choices.  What will Others want to do next? , Riley wanted to get their friends' opinions on what they should do for a living.  What will Others want to do next? ,2,2,2,2,2,0.8506118,0.8509743,0.84669113,82.20145416,94.80586243,25.75821877,61.06791687
417, Aubrey kept the baby up at night but was ready to put her down for a nap now. What will Aubrey want to do next? ," Aubrey was totally exhausted from rocking baby Lily all night, but now she's finally ready to catch some Zs!  What will Aubrey want to do next? "," Aubrey is relieved that baby Lily is finally settled down for a nap, after a long and tiring night of keeping her up.  What will Aubrey want to do next? "," Aubrey is pleased to have the opportunity to put baby Lily down for a well-deserved rest, after a exhausting evening of caring for her.  What will Aubrey want to do next? ",0,0,0,0,0,0.7639231,0.7842842,0.772026,110.4480743,52.62741089,37.54426956,41.09486008
418, Jan decided on Friday to light a fire under the brush in her pit in the backyard. What will Jan want to do next? ," Jan totally lit up the backyard on Friday by setting a fire in her pit, you know? Like, it was such a chill vibe and everything! 🔥🏠  What will Jan want to do next? "," Jan decided on Friday to ignite a blaze in her outdoor fire pit, creating a cozy ambiance in the backyard. 🔥🏠  What will Jan want to do next? "," Jan put some kindling and wood in her fire pit on Friday afternoon, hoping to create a warm and inviting atmosphere in the backyard. 🔥🏠  What will Jan want to do next? ",2,2,2,2,1,0.83803797,0.9065194,0.84284586,85.79453278,91.62856293,65.4487381,78.59940338
419, Riley regarded Jesse with gentle eyes before asking him out. What will happen to Jesse? , Riley gazed at Jesse with a soft expression before inviting him out.  What will happen to Jesse? , Riley looked at Jesse with kind eyes before asking him out on a date.  What will happen to Jesse? , Riley gazed kindly at Jesse before extending an invitation to spend time together.  What will happen to Jesse? ,0,0,0,0,0,0.9195872,0.8976758,0.8243645,124.3937607,55.36824036,132.871933,128.9504242
420," Jesse was taking a class and he really admired his professor. To impress them, Jesse studied a lot, and as a result, Jesse did well on the test and his professor congratulated him. How would Jesse feel afterwards? "," Jesse was totally crushing his class and he had major respect for his prof. To impress them, Jesse put in some serious study time and killed it on the test, scoring major props from his prof.  How would Jesse feel afterwards? "," Jesse was really into his coursework and had a lot of admiration for his professor. In order to impress them, Jesse dedicated himself to studying and achieved great success on the exam, earning praise from his professor.  How would Jesse feel afterwards? "," Jesse was taking a class and he felt quite impressed by his professor's teaching style. To gain their approval, Jesse put in a significant amount of effort and performed well on the test, receiving congratulations from his professor.  How would Jesse feel afterwards? ",0,0,0,0,0,0.82942635,0.9349959,0.940834,112.5278091,31.36850357,31.86317062,34.5465889
421, Sasha got revenge on the people who had stolen the car from her. How would Others feel as a result? , Sasha totally wiped the floor with the thieves who stole her car!  How would Others feel as a result? , Sasha sought retribution against the individuals who had wrongfully taken her vehicle.  How would Others feel as a result? , Sasha got her revenge on the scoundrels who swiped her automobile.  How would Others feel as a result? ,2,1,2,2,2,0.7964762,0.78428787,0.81128675,83.52612305,83.32379913,49.69208527,56.56116486
422," It had been a very long 9 months but it was finally time, Jan gave birth to a daughter that day. What does Jan need to do before this? ", Jan finally had her baby girl after what felt like forever - 9 long months!  What does Jan need to do before this? ," After a challenging and eagerly awaited 9 months, Jan gave birth to a beautiful daughter.  What does Jan need to do before this? "," It was a momentous day when Jan finally welcomed her precious granddaughter into the world, after a long and joyful wait of 9 months.  What does Jan need to do before this? ",0,0,0,0,0,0.844133,0.8752002,0.81533253,147.8995667,64.20834351,46.42361832,30.90292931
423, Kai showed Jan how to do her job properly so she didn't get in trouble. Why did Kai do this? ," Kai totally schoolled Jan on how to do her job right, so she wouldn't get yelled at by their boss!  Why did Kai do this? "," Kai took the time to thoroughly explain the process to Jan, ensuring she understood how to perform her duties accurately and avoid any potential errors.  Why did Kai do this? "," Kai patiently demonstrated the proper techniques to Jan, allowing her to grasp the tasks at hand and prevent any mishaps from occurring.  Why did Kai do this? ",2,2,2,2,2,0.79860353,0.8431017,0.83447456,93.26787567,43.73371506,78.10679626,39.34237671
424, Skylar got a cast on her leg after she broke it while skateboarding. How would you describe Skylar? , Skylar got a cast on her leg after she busted her board and twisted her ankle while shredding the gnar at the skate park.  How would you describe Skylar? , Skylar had to get a cast put on her broken leg after she fell off her skateboard during a risky trick at the local skate spot.  How would you describe Skylar? , Skylar had an accident while roller skating and ended up with a cast on her injured leg. She was trying to do a tricky move when she lost her balance and fell.  How would you describe Skylar? ,0,0,0,0,1,0.8882108,0.8933557,0.76428574,86.02327728,58.57766724,26.53862953,40.47437286
425, Tracy took Jesse's students on a field trip because Jesse was not feeling well. What will Tracy want to do next? , Tracy took Jesse's class on a field trip because Jesse was feeling under the weather.  What will Tracy want to do next? ," Tracy led Jesse's students on a field trip as a substitute for Jesse, who was not well.  What will Tracy want to do next? ", Tracy chaperoned Jesse's students on a field trip since Jesse was indisposed.  What will Tracy want to do next? ,0,0,0,0,0,0.90023935,0.910217,0.88922846,72.06186676,67.17525482,220.3114014,48.71241379
