idx,sentences_df1,choices_df1,scores_df1,sentences_df2,choices_df2,scores_df2,targets,B==T,A==T
482," Kendall opened their mouth to speak about their beliefs, which happened to go against the beliefs of everyone else in the room. What will happen to Others? ","['Compatible with Kendall', 'Uncomfortable with Kendall', 'Agreement with Kendall']",1," Kendall expressed their convictions fearlessly, unafraid to challenge the dominant viewpoint.  What will happen to Others? ","['Compatible with Kendall', 'Uncomfortable with Kendall', 'Agreement with Kendall']",0,1,TRUE,FALSE
483, Austin offered Sydney a position because they knew Sydney was tire of living with their parents. What will happen to Sydney? ,"[""They will move out their parents' home"", 'She will earn money', 'They will move to another city']",0," Austin extended an employment opportunity to Sydney, as they were aware of Sydney's desire for self-sufficiency and a change of scenery from their current living situation.  What will happen to Sydney? ","[""They will move out their parents' home"", 'She will earn money', 'They will move to another city']",1,0,TRUE,FALSE
484, Kai was finally on vacation and went to the beach. Kai felt relaxed laying in the sun. What does Kai need to do before this? ,"['Take off work', 'Get something to eat', 'Go to a party']",0," Kai took a much-needed break and headed to the shore, feeling invigorated as they lounged in the sun's embrace.  What does Kai need to do before this? ","['Take off work', 'Get something to eat', 'Go to a party']",1,0,TRUE,FALSE
488, Sydney set the brush and trimmed branches on fire in the fire pit. What does Sydney need to do before this? ,"['Wait for it to be raining outside', 'Pour lots of gasoline on it', 'Make a neat pile and clear away debris']",2," Sydney deliberately set the combustible materials in the fire pit ablaze with a lighter, generating a crackling sound that echoed through the night air.  What does Sydney need to do before this? ","['Wait for it to be raining outside', 'Pour lots of gasoline on it', 'Make a neat pile and clear away debris']",1,2,TRUE,FALSE
493, Kai and his friend crowded around Sydney to shield her from onlookers after split her pants. How would you describe Kai? ,"['Sympathetic towards Sydney because of her embarrassment', 'Nosey and cruel', 'A good friend']",2, Kai and his companion formed a barrier around Sydney to guard her from the scrutiny of onlookers after an unfortunate mishap with her clothing.  How would you describe Kai? ,"['Sympathetic towards Sydney because of her embarrassment', 'Nosey and cruel', 'A good friend']",0,0,FALSE,TRUE
495, Alex carried Robin into the execution when Robin refused to walk. What will happen to Robin? ,"['Be given a pardon', 'Be executed', 'Live a long life']",0," Alex picked up Robin and brought them both into the execution area, their joint resolve unwavering despite Robin's reluctance to move.  What will happen to Robin? ","['Be given a pardon', 'Be executed', 'Live a long life']",1,1,FALSE,TRUE
496, Kai told Kendall the reason they stole money from Kendall was because Kai didn't deserve it. What will happen to Kai? ,"['They will experience remorse', 'They will make restitutions', 'Get in trouble']",2, Kai disclosed to Kendall that they had taken their money without feeling deserving of it.  What will happen to Kai? ,"['They will experience remorse', 'They will make restitutions', 'Get in trouble']",0,2,TRUE,FALSE
497, Bailey and Jesse both studied hard for the big exam. What will Bailey want to do next? ,"['Rub in his successful', 'Open a book', 'Encourage Jesse to try again']",0, Male,"['Rub in his successful', 'Open a book', 'Encourage Jesse to try again']",2,1,FALSE,FALSE
511," Knowing that the assignments are part of the semester grade, Sydney took schoolwork seriously. How would Others feel as a result? ","['A need to ignore the assignments', 'Proud of them self', 'A need to succeed']",1," Sydney, who was aware of the significant impact of their assignments on their semester grade, approach their studies with diligence and commitment, ensuring that each task was completed to the highest standard.  How would Others feel as a result? ","['A need to ignore the assignments', 'Proud of them self', 'A need to succeed']",2,2,FALSE,TRUE
514, Robin went to the polls and posted her ballot for the candidate she wanted. What will Robin want to do next? ,"['Bomb the candidadte', 'Attend a rally', 'Go home']",2, Robin deposited their ballot for the preferred candidate into the ballot box at the polls.  What will Robin want to do next? ,"['Bomb the candidadte', 'Attend a rally', 'Go home']",1,2,TRUE,FALSE
525, Bailey went away for a few weeks with family on a vacation and had a wonderful time on their trip. What will Bailey want to do next? ,"['Confirm time off work for the vacation', 'Tell her friends about the nice trip', 'Schedule a vacation with family']",1," Bailey took a break from daily life and set off with loved ones on an amazing getaway, filling their hearts with joy and their memories with delight.  What will Bailey want to do next? ","['Confirm time off work for the vacation', 'Tell her friends about the nice trip', 'Schedule a vacation with family']",2,1,TRUE,FALSE
533, Tracy took Sydney to school after Sydney missed the school bus this morning. How would you describe Tracy? ,"['Such a good friend', 'Grateful that they got to school conveniently', 'A friend to Sydney']",0," Tracy transported Sydney to school following the morning's bus mishap, demonstrating their responsible parenting.  How would you describe Tracy? ","['Such a good friend', 'Grateful that they got to school conveniently', 'A friend to Sydney']",2,2,FALSE,TRUE
539, Kendall bought anything required because they knew that failure wasn't an option. How would you describe Kendall? ,"['Confident the task would be completed', 'Thorough', 'Sure that all the needed resources were available']",2," Kendall procured the essential supplies, knowing that failure was not a viable choice.  How would you describe Kendall? ","['Confident the task would be completed', 'Thorough', 'Sure that all the needed resources were available']",0,1,FALSE,FALSE
540," During the speech, Remy gave Casey's interpretation of the situation to the guests. What does Remy need to do before this? ","[""Take detailed notes of Casey's words"", 'Send Casey a box of chocolates', 'Call Casey to come to the podium']",0, Remy relayed Casey's analysis of the scenario to the audience during their conversation.  What does Remy need to do before this? ,"[""Take detailed notes of Casey's words"", 'Send Casey a box of chocolates', 'Call Casey to come to the podium']",1,0,TRUE,FALSE
543, Bailey was a fast learner. How would you describe Bailey? ,"['Happy at having learned so fast', 'Proud at having learned so fast', 'Knowledge-seeking']",1, Bailey demonstrated exceptional learning abilities and quickly mastered new tasks.  How would you describe Bailey? ,"['Happy at having learned so fast', 'Proud at having learned so fast', 'Knowledge-seeking']",2,2,FALSE,TRUE
546," While at summer camp, Remy had a ton of fun and made more friends. How would Remy feel afterwards? ","['Well-liked', 'Successful', 'Friendly']",2," During their summer camp adventure, Remy enjoyed a diverse range of activities and formed meaningful connections with their peers.  How would Remy feel afterwards? ","['Well-liked', 'Successful', 'Friendly']",0,2,TRUE,FALSE
547, Ash made a mistake but then they redeemed themselves. Why did Ash do this? ,"[""So they mistake isn't talked about by people"", 'Find a way to redeem themselves', 'Fix their mistake']",2," Ash encountered an obstacle, but they overcame it with aplomb.  Why did Ash do this? ","[""So they mistake isn't talked about by people"", 'Find a way to redeem themselves', 'Fix their mistake']",1,2,TRUE,FALSE
556, Cameron won last year's race by a nose. This year Cameron trained extra hard for the race. Why did Cameron do this? ,"['Win by a nose again', 'Thinks someone could beat them', 'Train hard as well']",1," Last year's race was neck and neck, with Cameron crossing the finish line just barely ahead of the pack. With a renewed commitment to training, they're looking to repeat their success this year.  Why did Cameron do this? ","['Win by a nose again', 'Thinks someone could beat them', 'Train hard as well']",0,1,TRUE,FALSE
559, Kai was thirteen and had outgrown their shoes over the past year. What does Kai need to do before this? ,"['Have new shoes', 'Needed to meditate', 'Needed to get a ride to the mall']",0, Kai's footwear had become too constricting due to their rapid growth over the past year.  What does Kai need to do before this? ,"['Have new shoes', 'Needed to meditate', 'Needed to get a ride to the mall']",2,0,TRUE,FALSE
561, Kai grabbed Carson's tools and put them away because Carson was too lazy to do it themselves. What does Kai need to do before this? ,"['Gather the tools', 'Wonder who put his tools away', 'Wonder were his tools are']",0," Kai securely stored Carson's tools, taking into account Carson's lack of motivation to do so themselves.  What does Kai need to do before this? ","['Gather the tools', 'Wonder who put his tools away', 'Wonder were his tools are']",1,0,TRUE,FALSE
565, Tracy wore Sydney's jacket to school without asking for permission. How would you describe Tracy? ,"['Rude', 'Polite', 'Upset that Tracy stole their jacket']",0, Tracy put on Sydney's jacket without seeking approval beforehand.  How would you describe Tracy? ,"['Rude', 'Polite', 'Upset that Tracy stole their jacket']",2,0,TRUE,FALSE
569," Jordan always.wanted to help people, so he decided to study medice to work in a hospital. How would you describe Jordan? ","['Loves helping people', 'Works with people with bad health', 'Loves helping sick people']",2," Jordan had a deep passion for helping others, and he believed that becoming a medical professional would give him the opportunity to make a meaningful difference in people's lives. He decided to study medicine so he could work in a hospital and fulfill his dream of helping those in need.  How would you describe Jordan? ","['Loves helping people', 'Works with people with bad health', 'Loves helping sick people']",0,0,FALSE,TRUE
571, Bailey felt bad. He overslept and missed his appointment for the job interview. What does Bailey need to do before this? ,"['Set his alarm clock', 'Try to reschedule the interview', 'Call and apologize']",2," Bailey regretted not setting an alarm and slept through his scheduled job interview, resulting in a sense of lost potential and regret.  What does Bailey need to do before this? ","['Set his alarm clock', 'Try to reschedule the interview', 'Call and apologize']",0,0,FALSE,TRUE
576, Alex saw someone behaving very stupidly so Alex made a deprecating comment. Why did Alex do this? ,"['Make fun of them', 'Be friendly to the person', 'Make the person stop']",0," Alex was taken aback by the other person's actions, so they decided to issue a lighthearted jab to bring some levity to the situation.  Why did Alex do this? ","['Make fun of them', 'Be friendly to the person', 'Make the person stop']",1,0,TRUE,FALSE
583," Due to his friend's flight being delayed, Cameron decided to pick Robin up from the airport. How would Cameron feel afterwards? ","[""Good that his friend's flight was delayed"", 'Proud that people can rely on him', ""Happy that he doesn't have to wait at the airport""]",1, Cameron took initiative and went to the airport to fetch Robin due to the unexpected delay in his friend's flight.  How would Cameron feel afterwards? ,"[""Good that his friend's flight was delayed"", 'Proud that people can rely on him', ""Happy that he doesn't have to wait at the airport""]",0,1,TRUE,FALSE
584," Due to her old fashion views, many people think Riley's ideas have gone the way of the dodo. What will Riley want to do next? ","['Right', 'Ignore the critics', 'Express her views']",1," Riley's ideas may be perceived as outmoded by some, leading them to question their usefulness in modern society.  What will Riley want to do next? ","['Right', 'Ignore the critics', 'Express her views']",2,1,TRUE,FALSE
607, Kendall took the issue seriously because it was something that was criminal. What will Kendall want to do next? ,"['Be law abiding', 'Contact the police', 'Pass the buck']",0, The situation was of great significance to Kendall due to its potential criminal ramifications.  What will Kendall want to do next? ,"['Be law abiding', 'Contact the police', 'Pass the buck']",1,1,FALSE,TRUE
608, Kai was babysitting her younger brother Kai when it began to storm.  Kai kept Taylor calm by making popcorn and putting his favorite movie on television. What does Kai need to do before this? ,"['Plug in the popcorn popper', ""Get a good night's sleep"", 'Watch the movie']",0," Kai was responsible for ensuring Taylor's safety during the storm. To keep Taylor relaxed, Kai created a cozy atmosphere with popcorn and a favorite film.  What does Kai need to do before this? ","['Plug in the popcorn popper', ""Get a good night's sleep"", 'Watch the movie']",1,0,TRUE,FALSE
609, Sydney took the trash to the burn barrel then set the trash on fire. What will Sydney want to do next? ,"['Go inside', 'Put out the fire', 'Gather the trash needed for disposal']",1, Sydney efficiently transported the waste to the burn barrel and ignited it.  What will Sydney want to do next? ,"['Go inside', 'Put out the fire', 'Gather the trash needed for disposal']",0,0,FALSE,TRUE
612, Casey decided to learn about cooking so she took a Saturday evening cooking class instead of spending time with her boyfriend. How would Others feel as a result? ,"['Excited to date a good cook', 'Like they are cooking too', 'Inattentive to the needs of her boyfriend at time']",1," Casey decided to invest in their culinary education by taking a Saturday evening cooking class, prioritizing self-improvement over social activities with their partner.  How would Others feel as a result? ","['Excited to date a good cook', 'Like they are cooking too', 'Inattentive to the needs of her boyfriend at time']",0,2,FALSE,FALSE
615, Addison was watching women at a fashion show. They regarded every girl. How would Addison feel afterwards? ,"['Sad', 'Bored', 'Happy']",1," The models at the fashion show commanded attention as they sashayed down the runway, their grace and poise leaving Addison in awe. Regardless of gender, it was clear that each one had an unshakeable sense of self-worth that radiated from the stage.  How would Addison feel afterwards? ","['Sad', 'Bored', 'Happy']",2,1,TRUE,FALSE
636, Ash wore a dress and all of his friends laughed at him. Why did Ash do this? ,"['Hurry home and change his clothes', 'Embarrass all of his friends', 'Become a girl']",0," Ash adorned himself in a stylish dress, evoking chuckles from his companions.  Why did Ash do this? ","['Hurry home and change his clothes', 'Embarrass all of his friends', 'Become a girl']",1,2,FALSE,FALSE
637, Carson was visiting. What will Carson want to do next? ,"['Play a game', 'Leave his friends', 'Speak with Carson about what he has been doing']",0, Carson swung by for a visit.  What will Carson want to do next? ,"['Play a game', 'Leave his friends', 'Speak with Carson about what he has been doing']",2,0,TRUE,FALSE
642, Kai sat in Austin's lap because she wanted to show him more affection. What will Austin want to do after? ,"['Embarrass Kai', 'Start kissing Kai', 'Hug Austin']",1," Kai nestled into Austin's arms, seeking a closer connection and showing their fondness for each other.  What will Austin want to do after? ","['Embarrass Kai', 'Start kissing Kai', 'Hug Austin']",0,1,TRUE,FALSE
644, Jordan affected the children's happiness by taking away all their games. What will Others want to do next? ,"['Keep their games away', 'Teach the children a lesson', 'Be more behaved']",2, The seizure of the children's gaming materials by Jordan caused a decline in their emotional well-being.  What will Others want to do next? ,"['Keep their games away', 'Teach the children a lesson', 'Be more behaved']",1,1,FALSE,TRUE
645, Alex looked it up online to see what the recipe required. What does Alex need to do before this? ,"['Get on a computer', 'Prepare the food', 'Make the food']",0, Alex consulted the web to determine the recipe's ingredient list.  What does Alex need to do before this? ,"['Get on a computer', 'Prepare the food', 'Make the food']",1,0,TRUE,FALSE
648, Jordan was walking home with their friends after school. Why did Jordan do this? ,"['Go home and sleep', 'Okay if their friends come over', 'Chat with their friends']",2, Jordan and their companions were making their way home following classes.  Why did Jordan do this? ,"['Go home and sleep', 'Okay if their friends come over', 'Chat with their friends']",0,2,TRUE,FALSE
649, riley was a distrustful person so he regarded jesse with suspicious eyes. What will happen to Jesse? ,"['He will ignore riley', 'Call Jesse out', 'He will question riley']",2," Riley's wariness of Jesse was palpable, their eyes locked in a tense stare.  What will happen to Jesse? ","['He will ignore riley', 'Call Jesse out', 'He will question riley']",1,2,TRUE,FALSE
657, Ash threw up their arms because their friend treated them disrespectfully while hanging out together. How would Ash feel afterwards? ,"['Happy with her friend', 'As if she had been disrespected', ""Mad at Ash's friend""]",2, Ash gestured with their arms in disapproval after feeling disrespected by their companion during their shared activity.  How would Ash feel afterwards? ,"['Happy with her friend', 'As if she had been disrespected', ""Mad at Ash's friend""]",1,1,FALSE,TRUE
664, Kai handed back the mail after seeing if she got the check she was waiting for. Why did Kai do this? ,"['Deposit the check', 'Did this to gain information', 'Did this to be sneaky']",0, Kai gave back the mail following confirmation of receipt of the expected funds.  Why did Kai do this? ,"['Deposit the check', 'Did this to gain information', 'Did this to be sneaky']",1,1,FALSE,TRUE
667, It was summertime and Bailey was tired of having hair on the back of their neck. Bailey went to a salon and had their hair chopped short. How would you describe Bailey? ,"['Sensible', 'Beautiful', 'Glamorous']",0," Bailey felt self-conscious about the back of their neck during the warm weather, so they went to a stylist to get a sleek new do.  How would you describe Bailey? ","['Sensible', 'Beautiful', 'Glamorous']",2,0,TRUE,FALSE
668, Cameron took Kai's complaints seriously and told Kai that they were in love with Kai. What will happen to Kai? ,"['Have to explain that they were joking', 'They will kiss Kai', 'They will go on a date']",0, Cameron gave Kai's issues due consideration and shared their own feelings of devotion towards Kai.  What will happen to Kai? ,"['Have to explain that they were joking', 'They will kiss Kai', 'They will go on a date']",2,2,FALSE,TRUE
675, Riley broke loose from the house. He thought he would never get out of there. Why did Riley do this? ,"['Stay in the house longer', 'Think about his life', 'Go home for a while']",1," Riley managed to break away from the house, hoping to never be confined again.  Why did Riley do this? ","['Stay in the house longer', 'Think about his life', 'Go home for a while']",2,1,TRUE,FALSE
680, Taylor laid around and fell asleep. She woke up late for work. What will Taylor want to do next? ,"['Stop thinking', 'Close her eyes', 'Rush getting ready']",2, Taylor relaxed and fell into a deep slumber. They woke up late for work.  What will Taylor want to do next? ,"['Stop thinking', 'Close her eyes', 'Rush getting ready']",1,2,TRUE,FALSE
683, Aubrey kept the baby up at night while she played loud music on her guitar. How would you describe Aubrey? ,"['Bad', 'A sweet person', 'Does not care about others']",0," Aubrey cradled the infant in one arm and plucked the strings of their guitar with the other, creating a melodic lullaby that filled the night air.  How would you describe Aubrey? ","['Bad', 'A sweet person', 'Does not care about others']",1,2,FALSE,FALSE
704, Quinn used a gun to murder Remy's wife while she and Remy and Remy were asleep in bed. What will Remy want to do next? ,"['Call the police', 'Get in the house', 'Call the fire department']",0," The perpetrator, Quinn, employed a firearm to terminate the life of Remy's partner while they were all slumbering in their bed.  What will Remy want to do next? ","['Call the police', 'Get in the house', 'Call the fire department']",1,0,TRUE,FALSE
707, Robin refused to pay her share of the meal even though everybody had agreed beforehand. What will Others want to do next? ,"['Stop inviting Robin', 'Take advantage', 'Save money']",1," Robin hesitated to cover their portion of the check, despite a pre-existing understanding among the group.  What will Others want to do next? ","['Stop inviting Robin', 'Take advantage', 'Save money']",2,0,FALSE,FALSE
709, Riley careful kept watch of and observed Jesse and their actions with her eyes. How would you describe Riley? ,"['Not paying attention', 'Suspicious', ""Like they understand Jesse's motivations""]",2," Riley maintained a vigilant gaze on Jesse, monitoring their activities with deliberate attention.  How would you describe Riley? ","['Not paying attention', 'Suspicious', ""Like they understand Jesse's motivations""]",1,1,FALSE,TRUE
711, Remy got very dark because it is late at night. What will Remy want to do next? ,"['Go out', 'Turn on the light', 'Sleep']",2, The shadowy hue of Remy's visage hinted at the advanced hour.  What will Remy want to do next? ,"['Go out', 'Turn on the light', 'Sleep']",0,2,TRUE,FALSE
716, Quinn stood corrected after giving the wrong answer in class that day. What will Others want to do next? ,"['Ignore him', 'Punish him', 'Console him']",1, Quinn was left red-faced after making a mistake in their answer during class.  What will Others want to do next? ,"['Ignore him', 'Punish him', 'Console him']",2,2,FALSE,TRUE
718," Cameron and Casey were soulmates, because Cameron gave Casey a sense of belonging. What will Cameron want to do next? ","['Move in with Casey', 'Show friendship', 'Physically abuse Casey']",1," The bond between Cameron and Casey was unbreakable, as Cameron offered Casey a profound sense of identity and purpose.  What will Cameron want to do next? ","['Move in with Casey', 'Show friendship', 'Physically abuse Casey']",0,0,FALSE,TRUE
724, Kendall kept the conversation going by asking opened ended questions. What answers will the others respond with? ,"['Walk out of the room', 'All grow silent', 'Answer with other questions']",2," Kendall skillfully facilitated a dynamic dialogue through strategic, open-ended queries.  What answers will the others respond with? ","['Walk out of the room', 'All grow silent', 'Answer with other questions']",1,2,TRUE,FALSE
725, Skylar lent attention to the view even though she hated the view. Why did Skylar do this? ,"['Wanted to show she was unimpressed', 'Wanted to express her hatred', 'Wanted to act interested']",2," Skylar directed their gaze towards the landscape, yet felt ambivalence about its appearance.  Why did Skylar do this? ","['Wanted to show she was unimpressed', 'Wanted to express her hatred', 'Wanted to act interested']",0,2,TRUE,FALSE
729, Cameron saw what happened and gave Casey a sense of events they saw. Why did Cameron do this? ,"['So Casey could talk about the situation', 'So Casey new about the situation', 'Give a helping hand']",2, Cameron saw some action and gave Casey a rundown of the events that took place.  Why did Cameron do this? ,"['So Casey could talk about the situation', 'So Casey new about the situation', 'Give a helping hand']",1,1,FALSE,TRUE
735, Robin finished the big group project and she thanked Tracy for her contributions. What will happen to Tracy? ,"['Get a promotion', 'Get nothing', 'Begin to study for the course final exam next']",1, Robin finalized the comprehensive group project and they thanked Tracy for their collaborative efforts.  What will happen to Tracy? ,"['Get a promotion', 'Get nothing', 'Begin to study for the course final exam next']",0,0,FALSE,TRUE
753, Jordan gave Casey the runaround so Jordan bought his movie tickets anyway and would see it alone if Casey did not show up. What will Jordan want to do next? ,"['Go home if Casey was a no show', 'Go into the theater', ""Wanted to see the movie anyways and didn't matter if Casey went as well""]",2," Jordan evaded Casey's inquiries, leading them to purchase the tickets independently. If Casey doesn't attend, they will watch the film solo.  What will Jordan want to do next? ","['Go home if Casey was a no show', 'Go into the theater', ""Wanted to see the movie anyways and didn't matter if Casey went as well""]",1,1,FALSE,TRUE
758, Jordan talked behind Ash's back with his coworkers. Why did Jordan do this? ,"['Wanted to be nice to Ash', 'Wanted to impress them', 'Turn them against Ash']",2, Jordan shared concerns about Ash's performance with others in a private conversation.  Why did Jordan do this? ,"['Wanted to be nice to Ash', 'Wanted to impress them', 'Turn them against Ash']",1,2,TRUE,FALSE
762, Jan went to work on the morning of the party because she was called in. How would Jan feel afterwards? ,"['Tired', 'Happy', 'Loyal to work']",0, Jan attended work before the celebration due to unforeseen professional obligations.  How would Jan feel afterwards? ,"['Tired', 'Happy', 'Loyal to work']",2,2,FALSE,TRUE
770," Robin wanted to share the food with a friend, so they cut the sandwich in half. What does Robin need to do before this? ","['Get a knife', 'Eat half of her own sandwich', 'Give half the sandwich to her friend']",2," Robin, wanting to distribute the sustenance fairly, sliced the sandwich into halves to be shared with a companion.  What does Robin need to do before this? ","['Get a knife', 'Eat half of her own sandwich', 'Give half the sandwich to her friend']",0,0,FALSE,TRUE
775, riley was a distrustful person so he regarded jesse with suspicious eyes. What will happen to Jesse? ,"['He will ignore riley', 'Call Jesse out', 'He will question riley']",2," Riley's wariness towards Jesse was palpable, their eyes meeting in a tense standoff that hinted at a deeper mistrust.  What will happen to Jesse? ","['He will ignore riley', 'Call Jesse out', 'He will question riley']",1,2,TRUE,FALSE
779, Kai grabbed Carson's tools for him after he left it in the park. What will Kai want to do next? ,"['Put them in the garage', 'Take them to Carson', 'Throw them away']",0, Kai obtained Carson's tools following his negligence in leaving them unattended in the park.  What will Kai want to do next? ,"['Put them in the garage', 'Take them to Carson', 'Throw them away']",1,1,FALSE,TRUE
783, Sydney took a class on plants at the college she went to. How would you describe Sydney? ,"['Hard working', 'Learned', 'Educated']",1, Sydney registered for a horticulture course at their undergraduate institution to broaden their knowledge of vegetation.  How would you describe Sydney? ,"['Hard working', 'Learned', 'Educated']",2,2,FALSE,TRUE
789, Riley was the best of friends with the boy with cancer. What will Riley want to do next? ,"['Visit the hospital', 'Shun the friend', 'Become friends with the boy with cancer too']",0, Riley had a special bond with the young person who faced cancer with determination.  What will Riley want to do next? ,"['Visit the hospital', 'Shun the friend', 'Become friends with the boy with cancer too']",2,0,TRUE,FALSE
790, taylor just got hired but he was already best friends with a co-worker. How would Others feel as a result? ,"['Happy', 'Ready to work', 'Jealous']",1," Taylor has recently been brought on board, and it turns out they're already tight with a fellow employee. 🤝  How would Others feel as a result? ","['Happy', 'Ready to work', 'Jealous']",0,2,FALSE,FALSE
792, Skylar played some soccer with their friend after school that day and had fun. What will happen to Others? ,"['Join the game', 'Go to a bakery', 'Be tired from playing soccer']",2," Skylar and their friend engaged in a thrilling game of soccer after school that day, laughing and competing with equal fervor.  What will happen to Others? ","['Join the game', 'Go to a bakery', 'Be tired from playing soccer']",0,2,TRUE,FALSE
794, Remy was playing a video game in their spare time. They prevented the enemies from engaging. How would you describe Remy? ,"['A technical person', 'A hard worker', 'A skilled laborer']",2," Remy was completely owning their gaming session during their downtime. They expertly thwarted the opposing forces, maintaining control.  How would you describe Remy? ","['A technical person', 'A hard worker', 'A skilled laborer']",1,0,FALSE,FALSE
799, Remy was telling a story and told it like Casey does. Why did Remy do this? ,"['Learn casey', ""Tell Casey's story"", 'Honor Casey']",2, Remy shared a narrative that had the flavor of Casey's bold escapades.  Why did Remy do this? ,"['Learn casey', ""Tell Casey's story"", 'Honor Casey']",1,2,TRUE,FALSE
802, Bailey told Alex to send the pdf because they didn't want to do it themselves. How would Alex feel as a result? ,"['Lazy about work', 'Happy', 'Angry']",2," Bailey asked Alex to transmit the PDF document, as they preferred not to deal with it themselves.  How would Alex feel as a result? ","['Lazy about work', 'Happy', 'Angry']",1,2,TRUE,FALSE
806, riley came home and made some pie in the kitchen. How would you describe Riley? ,"['As lazy', 'As ambitious', 'Ready to eat the pie']",2," Riley went home and prepared a mouth-watering pie in the kitchen. (more neutral language, avoiding gendered pronouns)  How would you describe Riley? ","['As lazy', 'As ambitious', 'Ready to eat the pie']",1,1,FALSE,TRUE
807, Skylar was about to go down the tall water slide but her arms needed to be on her chest. What will Jesse want to do next? ,"['Watch Taylor dance', 'Send Skylar down the slide', 'Cross her arms']",2," Skylar was set to conquer the tall water slide, and they made sure their arms were properly placed for optimal control.  What will Jesse want to do next? ","['Watch Taylor dance', 'Send Skylar down the slide', 'Cross her arms']",0,2,TRUE,FALSE
808, Riley regarded Jesse with watchful eyes when she saw him steal from her store. What will Riley want to do next? ,"['Express regret next', 'Threaten Riley', 'Run']",0," Riley scrutinized Jesse suspiciously, noticing their hand move quickly to conceal an item from the store.  What will Riley want to do next? ","['Express regret next', 'Threaten Riley', 'Run']",1,1,FALSE,TRUE
812," Aubrey and her friends stayed up all night having a slumber party, the house is now a wreck. What will Aubrey do when they leave? ","['Go to sleep', 'Clean the bedroom', 'Clean the living room']",1," Aubrey and their crew crashed at the pad for a slumber party, resulting in a chaotic scene. 😅  What will Aubrey do when they leave? ","['Go to sleep', 'Clean the bedroom', 'Clean the living room']",0,1,TRUE,FALSE
813, Quinn was worried about what the group was saying behind her back.  She depended on Taylor to tell her the truth. How would Quinn feel as a result? ,"['A good friend to Quinn', 'On her side', 'Getting in the way']",1, Quinn was apprehensive about the rumors spreading in his/her absence. He/She looked to Taylor for an honest assessment of the situation.  How would Quinn feel as a result? ,"['A good friend to Quinn', 'On her side', 'Getting in the way']",0,1,TRUE,FALSE
816, Remy carried their plan of egging and toilet papering the girls fraternity house into execution. What will the girls want to do next? ,"['Gather eggs', 'Gather toilet paper', 'Since the girls were college girls they were smart enough to find out who did it and turn him in']",2," The individuals involved saw their elaborate prank through to completion, resulting in a messy and humorous outcome at the girls' fraternity house.  What will the girls want to do next? ","['Gather eggs', 'Gather toilet paper', 'Since the girls were college girls they were smart enough to find out who did it and turn him in']",0,2,TRUE,FALSE
819, Carson's friend wanted something sweet to drink. Carson gave their friend some milk. What will happen to Carson? ,"['Talk to the friend', 'Ask for milk', 'Milk a cow']",0," Carson's companion desired a sweet beverage, and Carson provided them with some refreshing milk.  What will happen to Carson? ","['Talk to the friend', 'Ask for milk', 'Milk a cow']",1,0,TRUE,FALSE
821," Kai has to give a presentation in their class but Kai was not prepared.  Therefore, Kai makes things up as they go along. What does Kai need to do before this? ","['Be well received', 'Use her imagination', 'Ask other people for ideas']",2," Kai had to give a presentation in their class, but they weren't adequately prepared. Therefore, Kai relied on their creativity and spontaneity to fill in the gaps.  What does Kai need to do before this? ","['Be well received', 'Use her imagination', 'Ask other people for ideas']",1,1,FALSE,TRUE
822, Skylar and a friend played together. Skylar kept cheating to win no matter what. How would the friend feel as a result? ,"['Annoyed Skylar ruined the game', 'Happy that Skylar won the game', 'Happy they cheated']",0," Skylar and their friend enjoyed a fun-filled playtime together, but Skylar's competitive spirit led them to bend the rules to achieve victory.  How would the friend feel as a result? ","['Annoyed Skylar ruined the game', 'Happy that Skylar won the game', 'Happy they cheated']",1,0,TRUE,FALSE
826, Alex answered Riley's question because he knew the answer. What will happen to Alex? ,"['Talk more', 'Meet to knew the Alex', 'Ignore Riley']",2, Alex gave Riley an answer because he wanted to contribute to the conversation and show off his expertise.  What will happen to Alex? ,"['Talk more', 'Meet to knew the Alex', 'Ignore Riley']",0,0,FALSE,TRUE
843, Quinn got a new job in a different town so they moved to a new house. What will Quinn want to do next? ,"['Welcome', 'Unpack his things', 'Reload his things']",0," Quinn found a great career prospect in a different town, leading to a change of address to a more suitable residence.  What will Quinn want to do next? ","['Welcome', 'Unpack his things', 'Reload his things']",2,1,FALSE,FALSE
847, Aubrey poured the boiling water over the rice inside the bowl. What will Aubrey want to do next? ,"['Cook the rice', 'Rehydrate the rice', 'Mix the rice']",1," Aubrey quickly and skillfully poured the boiling water over the rice in the bowl, ensuring a perfect mixture.  What will Aubrey want to do next? ","['Cook the rice', 'Rehydrate the rice', 'Mix the rice']",2,0,FALSE,FALSE
855, Sydney was sleeping at Sasha's house but Sasha kept snoring. Sydney reached over and closed Sasha's mouth. What will Sydney want to do next? ,"['Get fed up with the snoring', 'Go to sleep', 'Hear the snoring']",0," Sydney drifted off into a peaceful slumber at Sasha's pad, but the sound of Sasha's snores threatened to ruin the tranquility. Reaching over, Sydney kindly closed Sasha's mouth to silence the disruptive noise.  What will Sydney want to do next? ","['Get fed up with the snoring', 'Go to sleep', 'Hear the snoring']",1,1,FALSE,TRUE
