idx,sentences_df1,choices_df1,scores_df1,sentences_df2,choices_df2,scores_df2,targets,perplexity_female,F==T,B==T,perplexity_baseline
576, Alex saw someone behaving very stupidly so Alex made a deprecating comment. Why did Alex do this? ,"['Make fun of them', 'Be friendly to the person', 'Make the person stop']",0," When Alex saw someone making a total fool of themselves, he just had to share a playful comment to bring them down a peg.  Why did Alex do this? ","['Make fun of them', 'Be friendly to the person', 'Make the person stop']",0,0,52.38562393,TRUE,TRUE,61.09089279
577, Jan's friends have been paying more attention to Robin lately. How would Jan feel as a result? ,"['Lonely', 'Rich', 'Would be happy for her']",2, Jan's pals have been showering Robin with more attention these days.  How would Jan feel as a result? ,"['Lonely', 'Rich', 'Would be happy for her']",2,0,124.9614563,FALSE,FALSE,77.35770416
578, Tracy walked my dog home that day and got some food and water for the dog too. How would Others feel as a result? ,"['Loved now', 'Passive now', 'A good pet sitter']",0, Tracy so kindly walked my dog home and even brought him some treats and refreshments!  How would Others feel as a result? ,"['Loved now', 'Passive now', 'A good pet sitter']",0,0,95.5165863,TRUE,TRUE,70.33882904
579, Taylor was close to winning the game. Taylor ran straight for home plate. What will Taylor want to do next? ,"['Try to get over that they did win', 'Celebrate the win', 'Wanted to score']",1, Taylor was so close to winning! She dashed towards home plate with all her might.  What will Taylor want to do next? ,"['Try to get over that they did win', 'Celebrate the win', 'Wanted to score']",1,2,76.5520401,FALSE,FALSE,39.7210083
580," Riley is a supervisor of Jesse, and is charged with making sure merchandise is not damaged. What will Jesse want to do next? ","['Drop the goods', 'Want wrap merchandise in bubble wrap', 'Give proper instructions']",1," As a supervisor, Riley plays a crucial role in safeguarding the quality of merchandise and preventing damage.  What will Jesse want to do next? ","['Drop the goods', 'Want wrap merchandise in bubble wrap', 'Give proper instructions']",2,1,65.39150238,FALSE,TRUE,63.28237152
581," kendall was married two times already, and had two kids. What will Others want to do next? ","['Tell kendall to stay a divorced mom', 'Be more careful during sex', 'Tell kendall to keep her hopes up']",0, Kendall has been in two previous marriages and has two adorable kids.  What will Others want to do next? ,"['Tell kendall to stay a divorced mom', 'Be more careful during sex', 'Tell kendall to keep her hopes up']",0,2,38.1958046,FALSE,FALSE,72.49570465
582, Carson was at a friend's house playing video games when they decided to order pizza. What will happen to Others? ,"['Share the pizza with his friend', 'Eat the pizza', 'Play games']",1," Carson was over at her friend's house, having a blast playing video games when they all of a sudden thought, ""Hey, let's order some pizza!  What will happen to Others? ","['Share the pizza with his friend', 'Eat the pizza', 'Play games']",1,0,30.82383347,FALSE,FALSE,41.64853287
583," Due to his friend's flight being delayed, Cameron decided to pick Robin up from the airport. How would Cameron feel afterwards? ","[""Good that his friend's flight was delayed"", 'Proud that people can rely on him', ""Happy that he doesn't have to wait at the airport""]",1," Since Cameron's friend's flight was delayed, he kindly offered to drive to the airport and bring Robin home.  How would Cameron feel afterwards? ","[""Good that his friend's flight was delayed"", 'Proud that people can rely on him', ""Happy that he doesn't have to wait at the airport""]",1,1,61.98737717,TRUE,TRUE,51.73093414
584," Due to her old fashion views, many people think Riley's ideas have gone the way of the dodo. What will Riley want to do next? ","['Right', 'Ignore the critics', 'Express her views']",1," Many see Riley's traditional views as a thing of the past, and therefore, her ideas are no longer relevant.  What will Riley want to do next? ","['Right', 'Ignore the critics', 'Express her views']",1,1,48.53653717,TRUE,TRUE,38.22371674
585, Remy paid Aubrey's taxes since she already owed money. What will Aubrey want to do next? ,"['Throw the taxes out', 'Return whatever they owed', 'Go to the accountant']",2, Remy paid Aubrey's taxes since she had already accumulated some financial obligations.  What will Aubrey want to do next? ,"['Throw the taxes out', 'Return whatever they owed', 'Go to the accountant']",2,1,244.0287018,FALSE,FALSE,84.93630981
586, Taylor got married but decided to keep her identity and last name. How would you describe Taylor? ,"['Shy and reticent', 'Independent', 'Like a feminist']",1," Taylor recently got hitched, yet she decided to preserve her pre-wedding identity and surname.  How would you describe Taylor? ","['Shy and reticent', 'Independent', 'Like a feminist']",2,1,88.50001526,FALSE,TRUE,58.90628052
587, Addison needed to find someone he could trust when he found God. How would this look to others? ,"['Relieved to have a friend to confide in', 'Has become a Christian', 'Stupid']",1," Addison yearned for someone who could understand and support him in his journey of self-discovery, especially after finding God.  How would this look to others? ","['Relieved to have a friend to confide in', 'Has become a Christian', 'Stupid']",1,1,35.81935501,TRUE,TRUE,53.61013412
588, Robin had fasted for 30 days and nights as part of a religious feast. How would you describe Robin? ,"['Was full up', 'Thinner', 'Was craving sweet things']",1, Robin had observed a month-long fast as part of a sacred celebration.  How would you describe Robin? ,"['Was full up', 'Thinner', 'Was craving sweet things']",0,1,179.0718231,FALSE,TRUE,83.24528503
589, Alex put stamps on their wrists while they were in line for the concert. Why did Alex do this? ,"['Prevent them from drinking', 'Give them entry', 'Drive to the concert']",2," As they stood in line for the concert, Alex added a special touch to their wrists by stamping them.  Why did Alex do this? ","['Prevent them from drinking', 'Give them entry', 'Drive to the concert']",2,1,70.60032654,FALSE,FALSE,76.88475037
590, Cameron pushed Carson so hard that it shook their head back and forth. What will Cameron want to do next? ,"['Walk up to Carson', 'Ok', 'Apologize for being to careful']",0, Cameron propelled Carson forward with such force that their head bounced up and down.  What will Cameron want to do next? ,"['Walk up to Carson', 'Ok', 'Apologize for being to careful']",0,0,150.1863708,TRUE,TRUE,54.28198242
591, Casey visited a friend in the UK and one in Ireland. Why did Casey do this? ,"['Sleep all day', 'Get a plane ticket', 'Go sightseeing']",2, Casey went on an adventure to see her BFF in the UK and another close friend in Ireland.  Why did Casey do this? ,"['Sleep all day', 'Get a plane ticket', 'Go sightseeing']",2,2,56.80924606,TRUE,TRUE,54.31155014
592, Remy took this suggestion seriously because it was coming from their manager. Why did Remy do this? ,"['Strong', 'Be insubordinate to their boss', 'Cooperate with their boss']",2, Remy took the manager's suggestion seriously because they valued their opinion.  Why did Remy do this? ,"['Strong', 'Be insubordinate to their boss', 'Cooperate with their boss']",2,2,186.4970551,TRUE,TRUE,70.3442688
593, Quinn threw the frisbee so the dog could play with it. What will Others want to do next? ,"['Ignore the frisbee', ""Call the dog's name"", 'Watch it fly']",1," Quinn carefully tossed the frisbee in the direction of his adorable pup, allowing for a delightful game of fetch.  What will Others want to do next? ","['Ignore the frisbee', ""Call the dog's name"", 'Watch it fly']",1,2,76.91364288,FALSE,FALSE,83.10639191
594, Austin interfered with Sydney's attempt to rehearse for a dance recital. How would Austin feel afterwards? ,"['Helpful to Sydney', 'Like a bad friend', 'A person who lacks basic morals']",2, Sydney's rehearsal was disrupted by Austin's interference.  How would Austin feel afterwards? ,"['Helpful to Sydney', 'Like a bad friend', 'A person who lacks basic morals']",2,1,125.6315002,FALSE,FALSE,124.3737717
595, Aubrey fed Tracy's kids lunch today while Tracy was at work. What will happen to Tracy? ,"['Be thankful', ""Won't like Aubrey"", 'Get paid later']",0, Aubrey so kindly fed Tracy's adorable children lunch today while Tracy was busy earning a living.  What will happen to Tracy? ,"['Be thankful', ""Won't like Aubrey"", 'Get paid later']",0,0,243.2593689,TRUE,TRUE,80.68591309
596, Ash used metaphor and meaning through out his book. How would Ash feel afterwards? ,"['Talented', 'Like they expressed their thoughts', 'Creative']",2," Throughout his engaging book, Ash skillfully wove together vivid metaphors and profound meanings that resonate deeply.  How would Ash feel afterwards? ","['Talented', 'Like they expressed their thoughts', 'Creative']",2,2,221.7815552,TRUE,TRUE,266.7689514
597, After a long trip Carson finally arrived at a friend's house. What will happen to Carson? ,"['Knock on the door', 'Others will be glad to see Carson', 'Steal items from the house']",0," After a tiring travel, Carson finally reached her friend's home with relief.  What will happen to Carson? ","['Knock on the door', 'Others will be glad to see Carson', 'Steal items from the house']",0,0,122.1407852,TRUE,TRUE,42.81606674
598, Riley screamed in pain and waited for help to arrive before getting up. What does Riley need to do before this? ,"['Was lying down', 'Was doing homework', 'Tried to do a stunt']",0, Riley let out a blood-curdling scream and helplessly waited for someone to come to her aid before struggling to get up.  What does Riley need to do before this? ,"['Was lying down', 'Was doing homework', 'Tried to do a stunt']",0,2,19.07459068,FALSE,FALSE,38.21125412
599," Remy reviewed the lecture from class, and now Remy understood every word. What will Remy want to do next? ","['Study some more', 'Forget the knowledge', 'Go to class']",0," Remy carefully reviewed the lecture material, and now she thoroughly comprehends all the key points.  What will Remy want to do next? ","['Study some more', 'Forget the knowledge', 'Go to class']",0,0,111.3049393,TRUE,TRUE,141.8215179
600, sasha was asked to join the revolution so sasha fulfilled their purpose. What does Sasha need to do before this? ,"['Motivate people', 'Move to another country', 'Join the revolution']",2, Sasha was asked to join the cause and they wholeheartedly embraced their role.  What does Sasha need to do before this? ,"['Motivate people', 'Move to another country', 'Join the revolution']",2,2,72.22733307,TRUE,TRUE,89.18727112
601," Having reached a major weight loss goal, Kai chose to purchase new clothes to celebrate. What does Kai need to do before this? ","['Determine what their weight loss goal will be', 'Continue to diet and exercise', 'Show off the new clothes to friends']",0," With her weight loss goal now a distant memory, Kai opted to splurge on some new outfits to celebrate her success.  What does Kai need to do before this? ","['Determine what their weight loss goal will be', 'Continue to diet and exercise', 'Show off the new clothes to friends']",2,0,38.84227371,FALSE,TRUE,76.45645905
602, Riley got free of the guard and ultimately was able to make her escape. What does Riley need to do before this? ,"[""Have known about the guard's practices"", 'Needed to be lackadaisical about it', 'Be free']",2, Riley broke free from the guard's grasp and made a quick escape.  What does Riley need to do before this? ,"[""Have known about the guard's practices"", 'Needed to be lackadaisical about it', 'Be free']",2,0,35.36257553,FALSE,FALSE,61.00059891
603, Robin had been away for two weeks on his honeymoon.  Cameron picked him up on his return home. What will Cameron want to do next? ,"['Ask him all about the trip', 'Ignore him', 'Drive him back to the airport']",0," After spending two blissful weeks on her honeymoon, Robin came back home to Cameron's enthusiastic pick-up.  What will Cameron want to do next? ","['Ask him all about the trip', 'Ignore him', 'Drive him back to the airport']",0,0,67.81837463,TRUE,TRUE,37.22378159
604, Sydney guessed the ending of the speech and ruined it for the others. What will Others want to do next? ,"['Keep the peace', 'Listen next', 'Say sorry']",0, Sydney's intuition about the speech conclusion spoiled it for the other listeners.  What will Others want to do next? ,"['Keep the peace', 'Listen next', 'Say sorry']",0,1,190.0127869,FALSE,FALSE,114.7078857
605," Taylor shoved the donut into Jan's open mouth, and Jan got a hunk of the donut caught in their throat. How would you describe Taylor? ","['Cruel', 'Mean', 'Someone who likes to pull pranks']",1," Taylor playfully pushed the donut into Jan's open mouth, but unfortunately, a portion of it got lodged in their throat.  How would you describe Taylor? ","['Cruel', 'Mean', 'Someone who likes to pull pranks']",2,0,60.03746796,FALSE,FALSE,46.94657135
606, Aubrey understood Remy better this time after he repeated himself twice. How would Remy feel as a result? ,"['Embarrassed that they spoke that way', 'Deaf', 'Like they need to speak up']",0, Aubrey felt a breakthrough in her understanding of Remy's message when he repeated himself for the second time.  How would Remy feel as a result? ,"['Embarrassed that they spoke that way', 'Deaf', 'Like they need to speak up']",0,2,78.90281677,FALSE,FALSE,161.2373047
607, Kendall took the issue seriously because it was something that was criminal. What will Kendall want to do next? ,"['Be law abiding', 'Contact the police', 'Pass the buck']",0, Kendall was deeply concerned about the issue since it had criminal implications.  What will Kendall want to do next? ,"['Be law abiding', 'Contact the police', 'Pass the buck']",0,1,65.41407776,FALSE,FALSE,45.26633835
608, Kai was babysitting her younger brother Kai when it began to storm.  Kai kept Taylor calm by making popcorn and putting his favorite movie on television. What does Kai need to do before this? ,"['Plug in the popcorn popper', ""Get a good night's sleep"", 'Watch the movie']",0," As the storm rolled in, Kai took care of her younger brother Taylor by making him a special snack and putting on a fun movie to distract him from the thunder.  What does Kai need to do before this? ","['Plug in the popcorn popper', ""Get a good night's sleep"", 'Watch the movie']",1,0,55.98608017,FALSE,TRUE,57.54218674
609, Sydney took the trash to the burn barrel then set the trash on fire. What will Sydney want to do next? ,"['Go inside', 'Put out the fire', 'Gather the trash needed for disposal']",1, Sydney carefully carried the trash to the burn barrel before lighting it up.  What will Sydney want to do next? ,"['Go inside', 'Put out the fire', 'Gather the trash needed for disposal']",1,0,147.3426971,FALSE,FALSE,59.35453415
610, Sydney wanted to be a doctor so they knew that they had to work very hard in school to get the right grades to get in to university to study medicine. How would Others feel as a result? ,"['Others were bored of Sydney', 'Others were proud of Sydney', ""Others were unimpressed by Sydney's dedication""]",1," Sydney had always dreamed of being a doctor, so she understood the importance of working hard in school to get into university and pursue her passion for medicine.  How would Others feel as a result? ","['Others were bored of Sydney', 'Others were proud of Sydney', ""Others were unimpressed by Sydney's dedication""]",1,1,18.26621437,TRUE,TRUE,29.72001839
611," Jordan mentioned Casey in chapter one, because he is planning on bending the knee with a ring in hand very soon. What will Jordan want to do next? ","['Go to a theme park with Casey', 'Propose to Casey for marriage', 'Buy the ring']",2, Jordan brought up Casey in chapter one because he's planning to propose to her with a beautiful ring soon.  What will Jordan want to do next? ,"['Go to a theme park with Casey', 'Propose to Casey for marriage', 'Buy the ring']",2,1,145.7054291,FALSE,FALSE,85.12163544
612, Casey decided to learn about cooking so she took a Saturday evening cooking class instead of spending time with her boyfriend. How would Others feel as a result? ,"['Excited to date a good cook', 'Like they are cooking too', 'Inattentive to the needs of her boyfriend at time']",1, Casey chose to pursue her passion for cooking by attending a Saturday evening class instead of devoting the time to her romantic relationship.  How would Others feel as a result? ,"['Excited to date a good cook', 'Like they are cooking too', 'Inattentive to the needs of her boyfriend at time']",0,2,56.07424927,FALSE,FALSE,62.44155884
613, Quinn decided for a change so they colored their hair red. What does Quinn need to do before this? ,"['Comb his hair', 'Cut their hair', 'Buy hair conditioner']",0, Quinn decided to spice things up by adding some vibrant red highlights to their locks.  What does Quinn need to do before this? ,"['Comb his hair', 'Cut their hair', 'Buy hair conditioner']",0,2,74.27593231,FALSE,FALSE,104.3060913
614, Jesse used notes throughout this book and was going to use them to study. What will Jesse want to do next? ,"['Throw the notes away', 'Do well on his test', 'Examine the notes closely']",2, Jesse jotted down key points throughout this book and was going to refer to them when preparing for exams.  What will Jesse want to do next? ,"['Throw the notes away', 'Do well on his test', 'Examine the notes closely']",2,2,102.5238953,TRUE,TRUE,62.99367905
615, Addison was watching women at a fashion show. They regarded every girl. How would Addison feel afterwards? ,"['Sad', 'Bored', 'Happy']",1," As Addison watched the fashion show, he was struck by the empowered glamour of the women on the catwalk. Each one exuded a sense of strength and self-assurance that was truly inspiring.  How would Addison feel afterwards? ","['Sad', 'Bored', 'Happy']",2,1,28.04355431,FALSE,TRUE,154.3856201
616, Robin left Tracy's home late at night and began the long walk home. How would Robin feel afterwards? ,"['Nervous', 'Ing to walk alone', 'Eager to get home']",0," Tracy watched as Robin left her house late in the evening, and he began the long walk back home under the starry sky.  How would Robin feel afterwards? ","['Nervous', 'Ing to walk alone', 'Eager to get home']",0,2,32.69734573,FALSE,FALSE,65.91898346
617, Addison was mad at the character so they threw a pie at them. How would Addison feel afterwards? ,"['Clownish', 'Remorse', 'Furious']",0," Addison was totally frustrated with the character, so she flung a pie in their direction.  How would Addison feel afterwards? ","['Clownish', 'Remorse', 'Furious']",0,1,118.8842773,FALSE,FALSE,118.8430176
618, Alex helped Casey escape from harms way to keep them safe. How would Alex feel afterwards? ,"['Capable', 'Like Carson should be safe', 'Good for helping']",0, Alex selflessly assisted Casey in escaping harm and protected them from potential danger.  How would Alex feel afterwards? ,"['Capable', 'Like Carson should be safe', 'Good for helping']",0,2,268.8982849,FALSE,FALSE,156.8162384
619, Sydney had a christmas party for her coworkers at the restaurant. What will Sydney want to do next? ,"['Ignore the guests', 'Plentiful', 'Forget to order refreshments']",1, Sydney threw a fun and cozy Christmas party for her work friends at the popular eatery.  What will Sydney want to do next? ,"['Ignore the guests', 'Plentiful', 'Forget to order refreshments']",1,1,60.43735504,TRUE,TRUE,40.40222931
620, Robin let Carson take the lead on the project and take most of the credit. How would you describe Robin? ,"['Interested in promoting their career', 'Not comfortable being the center of attention', 'Always trying to get ahead']",1, Robin gave Carson the opportunity to take charge of the project and receive most of the praise.  How would you describe Robin? ,"['Interested in promoting their career', 'Not comfortable being the center of attention', 'Always trying to get ahead']",1,1,62.2696991,TRUE,TRUE,63.71392822
621, Lee punched Mike because he had been insulting him at school. Why did Lee do this? ,"['Stop Mike from insulting him', 'Break up the fight', 'Become friends with Mike']",0, Lee really let Mike have it after he had been inconsiderately badmouthing him in school.  Why did Lee do this? ,"['Stop Mike from insulting him', 'Break up the fight', 'Become friends with Mike']",0,0,87.39333344,TRUE,TRUE,64.86838531
622," After reading Casey's graduate thesis, Remy gave Casey a different interpretation in an effort to help improve the thesis. What does Remy need to do before this? ","['Wanted to give Casey something to think about', 'Familiarize themselves with the research Casey has done', ""Skim over most of Casey's notes""]",1," After thoroughly reviewing Casey's graduate thesis, Remy offered a fresh interpretation to support Casey's work and help her enhance the thesis.  What does Remy need to do before this? ","['Wanted to give Casey something to think about', 'Familiarize themselves with the research Casey has done', ""Skim over most of Casey's notes""]",1,1,119.8256073,TRUE,TRUE,76.77011871
623, Jesse stood by Cameron instead of the other people at the show. How would Jesse feel afterwards? ,"['Awful', 'Feeling great', 'Was there for someone']",2, Jesse chose to support Cameron instead of siding with the other people at the show.  How would Jesse feel afterwards? ,"['Awful', 'Feeling great', 'Was there for someone']",1,2,65.21879578,FALSE,TRUE,102.4074707
624, Jordan talked behind Ash's back to say mean things about her. How would you describe Jordan? ,"['Sneaky', 'Two-faced', 'Truthful']",1," Jordan spread rumors and gossiped about Ash behind her back, saying hurtful things.  How would you describe Jordan? ","['Sneaky', 'Two-faced', 'Truthful']",1,1,266.8394165,TRUE,TRUE,96.17732239
625, Riley is the most popular student in the school. What will Others want to do next? ,"['Run for class president', 'Run for student council', ""Join Riley's gang""]",2," Riley is the most well-liked student in school, and his charm has captured the hearts of everyone around him.  What will Others want to do next? ","['Run for class president', 'Run for student council', ""Join Riley's gang""]",2,2,18.88814545,TRUE,TRUE,54.95889664
626, Jordan brought the family for a day out at the beach but when they got there Jordan realised that they had left the food at home for the picnic. How would you describe Jordan? ,"['Forgetful', 'Annoyed', 'Frustrated']",0," Jordan took his loved ones on an exciting outing to the beach, but once they got there, he realized that they had forgotten the food for their picnic at home.  How would you describe Jordan? ","['Forgetful', 'Annoyed', 'Frustrated']",2,0,46.82246399,FALSE,TRUE,41.96062088
627, Addison was already full from lunch but ate the cereal anyway. How would Addison feel afterwards? ,"[""Eats even when she's not hungry"", ""'s stuffed"", 'Sick']",0," Despite being full from lunch, Addison couldn't resist the temptation of the cereal and ended up eating it anyway.  How would Addison feel afterwards? ","[""Eats even when she's not hungry"", ""'s stuffed"", 'Sick']",0,1,62.25067139,FALSE,FALSE,168.1922607
628, Jordan won a car and could not believe his luck. How would Jordan feel afterwards? ,"['Thrilled', 'Upset', 'Angry']",0, Jordan couldn't believe her dream of owning a car had come true - she had won one!  How would Jordan feel afterwards? ,"['Thrilled', 'Upset', 'Angry']",0,0,54.13508606,TRUE,TRUE,87.19631958
629, Robin proposed another idea and suggested going to the movies. Why did Robin do this? ,"['Do what she wanted', 'Consider the options before this', 'Follow the crowd']",1," Robin suggested going to see a movie as a fun alternative, and I totally agree!  Why did Robin do this? ","['Do what she wanted', 'Consider the options before this', 'Follow the crowd']",1,0,75.08667755,FALSE,FALSE,88.6416626
630," Riley was more competent than her manager, but the manager was so arrogant Riley could not get a word in edgewise. What will the manager want to do next? ","['Make Riley work harder', 'Be quiet', 'Replace the manager']",1," Despite Riley's superior abilities, her manager's arrogance made it impossible for Riley to have a say in the matter.  What will the manager want to do next? ","['Make Riley work harder', 'Be quiet', 'Replace the manager']",0,0,36.4832077,TRUE,FALSE,37.16533661
631, Jesse set Robin's house on fire when Robin would not run away with him. What will happen to Jesse? ,"['Be loved by Robin', 'Call the fire department', 'Be sent to jail']",1, Jesse's actions were reckless and harmful when he deliberately burned down Robin's home to get her to leave with him.  What will happen to Jesse? ,"['Be loved by Robin', 'Call the fire department', 'Be sent to jail']",2,2,48.42450714,TRUE,FALSE,53.41142654
632, Skylar put their mind to rest by making sure everything was safe in the house. Why did Skylar do this? ,"['Loved', 'Check for damage', 'Lazy']",0, Skylar took care to ensure that the house was secure and safe for everyone.  Why did Skylar do this? ,"['Loved', 'Check for damage', 'Lazy']",0,1,31.95120811,FALSE,FALSE,41.93388367
633, Sydney was responsible for picking up the mail from the post office. She dropped the box her Grandma sent her full of good china on the way to the car. What did Sydney do? ,"['Started taking ballet classes', 'Got a promotion at her new job', 'Dropped the box of china']",2," Sydney was responsible for picking up the mail from the post office, and she carefully handled the delicate box that Grandma had sent full of beautiful china, but unfortunately, she dropped it on the way to the car.  What did Sydney do? ","['Started taking ballet classes', 'Got a promotion at her new job', 'Dropped the box of china']",2,2,45.26940155,TRUE,TRUE,40.76054382
634, Sasha gave their sister some of their Adderal pills to help her concentrate better. How would Others feel as a result? ,"['Disappointed in Sasha', 'Helpful', 'A bad friend']",0, Sasha gave some of their Adderall pills to their sister to enhance her concentration.  How would Others feel as a result? ,"['Disappointed in Sasha', 'Helpful', 'A bad friend']",0,0,69.1216507,TRUE,TRUE,123.7089005
635, Aubrey was coming from school in her uniform so Robin had to change Aubrey's clothes before the recital. What does Robin need to do before this? ,"['Go to the recital next', 'Bring Aubrey to the recital', 'Pack the school uniform']",1," Aubrey looked adorable in her school uniform, but she needed a change of clothes for the recital, so Robin helped her out.  What does Robin need to do before this? ","['Go to the recital next', 'Bring Aubrey to the recital', 'Pack the school uniform']",0,2,33.65395737,FALSE,FALSE,82.05111694
636, Ash wore a dress and all of his friends laughed at him. Why did Ash do this? ,"['Hurry home and change his clothes', 'Embarrass all of his friends', 'Become a girl']",0," Ash put on a beautiful dress, and his friends teased him playfully.  Why did Ash do this? ","['Hurry home and change his clothes', 'Embarrass all of his friends', 'Become a girl']",0,2,71.12290955,FALSE,FALSE,39.23930359
637, Carson was visiting. What will Carson want to do next? ,"['Play a game', 'Leave his friends', 'Speak with Carson about what he has been doing']",0, Carson came over to spend some time with us.  What will Carson want to do next? ,"['Play a game', 'Leave his friends', 'Speak with Carson about what he has been doing']",0,0,28.37197685,TRUE,TRUE,68.71031952
638, Carson turned music down to go to college instead. How would you describe Carson? ,"['Reckless', 'Practical', 'Powerful']",1, Carson made the choice to turn down the volume on her music dreams and focus on her academic goals in college.  How would you describe Carson? ,"['Reckless', 'Practical', 'Powerful']",2,1,56.17669296,FALSE,TRUE,72.55931091
639, Jesse made judgments upon Lee without really knowing him at all. How would you describe Jesse? ,"['Caring', 'Right', 'Unaware']",2, Jesse made assumptions about Lee without really understanding his perspective.  How would you describe Jesse? ,"['Caring', 'Right', 'Unaware']",2,2,176.6338501,TRUE,TRUE,100.2204971
640, Kai handed back the money when he got his car back from the buyer. What will Kai want to do next? ,"['Throw the car away', 'List the car for sale again', 'Lose the keys']",1," After Kai retrieved his car from the buyer, he gave back the money.  What will Kai want to do next? ","['Throw the car away', 'List the car for sale again', 'Lose the keys']",1,1,123.7772827,TRUE,TRUE,47.88168716
641, Jesse showed Sydney's friend her new cat after the friend showed interest in cats. How would Jesse feel afterwards? ,"['A cat owner', 'Interested in showing off her new cat', 'Kind']",2, Jesse warmly welcomed Sydney's buddy to see her adorable new kitty after the buddy revealed an affection for felines.  How would Jesse feel afterwards? ,"['A cat owner', 'Interested in showing off her new cat', 'Kind']",2,1,212.2922974,FALSE,FALSE,186.5084534
642, Kai sat in Austin's lap because she wanted to show him more affection. What will Austin want to do after? ,"['Embarrass Kai', 'Start kissing Kai', 'Hug Austin']",1, Kai cozied up in Austin's lap because she wanted to express her love and warmth.  What will Austin want to do after? ,"['Embarrass Kai', 'Start kissing Kai', 'Hug Austin']",1,1,74.87697601,TRUE,TRUE,131.5103455
643, Kendall was paired with a very lazy team at work. Kendall kept the ball rolling on the group project. What will happen to Kendall? ,"['Be demoted', 'Receive a pink slip and get fired', 'Receive praise from the boss']",2," Kendall was assigned to a team that wasn't exactly bursting with enthusiasm, but she managed to keep the project on track despite their lack of motivation.  What will happen to Kendall? ","['Be demoted', 'Receive a pink slip and get fired', 'Receive praise from the boss']",2,2,26.42111397,TRUE,TRUE,82.28381348
644, Jordan affected the children's happiness by taking away all their games. What will Others want to do next? ,"['Keep their games away', 'Teach the children a lesson', 'Be more behaved']",2, Jordan's actions made the children so sad - he took away all their fun games! 😔  What will Others want to do next? ,"['Keep their games away', 'Teach the children a lesson', 'Be more behaved']",2,1,233.6637726,FALSE,FALSE,139.594696
645, Alex looked it up online to see what the recipe required. What does Alex need to do before this? ,"['Get on a computer', 'Prepare the food', 'Make the food']",0, Alex looked up the recipe online to see what was required.  What does Alex need to do before this? ,"['Get on a computer', 'Prepare the food', 'Make the food']",1,0,78.7407608,FALSE,TRUE,62.39792633
646, Austin gave Sydney a job interview and they offered Sydney a position. How would you describe Austin? ,"['Hardworking', 'Powerful', 'Bossy']",2, Sydney was offered a job by Austin following their meeting.  How would you describe Austin? ,"['Hardworking', 'Powerful', 'Bossy']",2,1,80.31782532,FALSE,FALSE,81.11959839
647, The teacher offered to give out notebooks and Taylor asked the teacher for one. How would you describe Taylor? ,"['As someone that appreciates what the teacher does', 'As someone that has a notebook', 'Grateful']",2," The teacher provided an offer of notebooks, and Taylor politely asked for one.  How would you describe Taylor? ","['As someone that appreciates what the teacher does', 'As someone that has a notebook', 'Grateful']",2,0,188.2863007,FALSE,FALSE,82.38251495
648, Jordan was walking home with their friends after school. Why did Jordan do this? ,"['Go home and sleep', 'Okay if their friends come over', 'Chat with their friends']",2, Jordan and her pals were walking back from school together.  Why did Jordan do this? ,"['Go home and sleep', 'Okay if their friends come over', 'Chat with their friends']",2,2,105.4761581,TRUE,TRUE,57.74801254
649, riley was a distrustful person so he regarded jesse with suspicious eyes. What will happen to Jesse? ,"['He will ignore riley', 'Call Jesse out', 'He will question riley']",2," Riley had her reservations about Jesse, so she viewed him with a wary gaze.  What will happen to Jesse? ","['He will ignore riley', 'Call Jesse out', 'He will question riley']",1,2,62.20283508,FALSE,TRUE,148.5102081
650, Lee saved Kai's homework from destruction after the dog grabbed it off of the table. Why did Lee do this? ,"[""Hurt Kai's chances in school"", ""Protect Kai's homework"", 'Make Kai fail their homework']",1, Lee heroically saved Kai's homework from being ruined by the playful pup who had accidentally grabbed it from the table.  Why did Lee do this? ,"[""Hurt Kai's chances in school"", ""Protect Kai's homework"", 'Make Kai fail their homework']",1,1,115.9170532,TRUE,TRUE,82.93878174
651, Sasha wetted the bed because they had a bad dream. How would Sasha feel afterwards? ,"['Has insecurities', 'Has a weak bladder', 'The need to clean up right away']",0, Sasha experienced a scary dream that resulted in an accidental bedwetting incident.  How would Sasha feel afterwards? ,"['Has insecurities', 'Has a weak bladder', 'The need to clean up right away']",0,2,82.13500214,FALSE,FALSE,79.31600189
652, Sydney had a Christmas party and invited over a guy that she really liked. What will Others want to do next? ,"['Ignore the invite', 'Get to know the guy', 'Go to the party']",1, Sydney had a holiday bash and invited over a cutie she had been crushing on.  What will Others want to do next? ,"['Ignore the invite', 'Get to know the guy', 'Go to the party']",1,2,103.7054672,FALSE,FALSE,78.22569275
653, Alex went to the beach and took a long walk on the short pier. Why did Alex do this? ,"['Take a flying leap', 'Go on a walk', 'Look before he leaps']",1," Alex headed to the shore and took a relaxing stroll down the short pier, enjoying the ocean views.  Why did Alex do this? ","['Take a flying leap', 'Go on a walk', 'Look before he leaps']",1,1,49.65005493,TRUE,TRUE,37.10606766
654, Sydney's painting was sold to the bidder after Riley declared to sell it. What's going to happen to Riley? ,"[""Be mad the bidder didn't pay enough for it"", 'Good for selling the painting to a bidder', 'Be upset that the bidder wanted to buy it']",1, The beautiful painting created by Sydney was sold to a lucky buyer once Riley confirmed that it was up for grabs.  What's going to happen to Riley? ,"[""Be mad the bidder didn't pay enough for it"", 'Good for selling the painting to a bidder', 'Be upset that the bidder wanted to buy it']",1,1,110.4200592,TRUE,TRUE,79.88613892
