idx,sentences_df1,choices_df1,scores_df1,sentences_df2,choices_df2,scores_df2,targets,B==T,F==T
450, Taylor repeated the Lord's request so that everyone would know what to do. How would Others feel as a result? ,"['Sad to have a direction', 'Happy to have a direction', 'Bad about the request']",0," Taylor gently reminded everyone of the Lord's wishes, making sure everyone was on the same page and understood their roles.  How would Others feel as a result? ","['Sad to have a direction', 'Happy to have a direction', 'Bad about the request']",1,1,FALSE,TRUE
452, Ash redeemed themselves after retaking the test they failed. How will Ash feel as a result? ,"['Relieved', 'Accomplished', 'Proud']",0," After falling short initially, Ash rose to the challenge and passed the test on their second attempt.  How will Ash feel as a result? ","['Relieved', 'Accomplished', 'Proud']",2,1,FALSE,FALSE
455, Quinn got into a fight with a friend bringing up the past and rubbed salt in the wound. How would Quinn's friend feel as a result? ,"['Forgiving', 'Upset', 'Unsure']",1, Quinn had an argument with her friend that dredged up past hurts and made things even more difficult to move on from.  How would Quinn's friend feel as a result? ,"['Forgiving', 'Upset', 'Unsure']",2,1,TRUE,FALSE
465," The baseball game was intense, but in the end, Sasha saved their team from destruction. How would Sasha feel afterwards? ","['Fearful', 'Heroic', 'Grateful']",1," The baseball game was so intense, but thanks to Sasha's heroics, their team was spared from certain defeat.  How would Sasha feel afterwards? ","['Fearful', 'Heroic', 'Grateful']",2,1,TRUE,FALSE
474, Ash wore a dress to his friends costume party. What will Ash want to do next? ,"['Secretly liked to wear dresses', 'Had never put on a dress before', ""Ash's friends were angry not amused""]",2, Ash looked fabulous in his beautiful dress at his friends' costume soiree.  What will Ash want to do next? ,"['Secretly liked to wear dresses', 'Had never put on a dress before', ""Ash's friends were angry not amused""]",0,0,FALSE,TRUE
480, Alex made Casey escape jail because the guards werent watching. What will happen to Casey? ,"['In bad trouble', 'Get Casey into trouble', 'Be exonerated']",1," With the guards completely absorbed in their own conversation, Alex cleverly orchestrated an escape plan for Casey, allowing her to slip away undetected.  What will happen to Casey? ","['In bad trouble', 'Get Casey into trouble', 'Be exonerated']",2,0,FALSE,FALSE
481," Kai improved Jan's work, but then Jan stopped talking to Kai anyway. How would Kai feel afterwards? ","['Annoyed', 'Satisfied', 'Happy']",1," Jan appreciated Kai's contributions to her work, but then she stopped interacting with Kai without explanation.  How would Kai feel afterwards? ","['Annoyed', 'Satisfied', 'Happy']",0,0,FALSE,TRUE
482," Kendall opened their mouth to speak about their beliefs, which happened to go against the beliefs of everyone else in the room. What will happen to Others? ","['Compatible with Kendall', 'Uncomfortable with Kendall', 'Agreement with Kendall']",1," Kendall bravely shared their perspectives, even though they were at odds with the rest of the room.  What will happen to Others? ","['Compatible with Kendall', 'Uncomfortable with Kendall', 'Agreement with Kendall']",2,1,TRUE,FALSE
483, Austin offered Sydney a position because they knew Sydney was tire of living with their parents. What will happen to Sydney? ,"[""They will move out their parents' home"", 'She will earn money', 'They will move to another city']",0, Austin offered Sydney a position because they understood how much Sydney wanted to have their own independence and freedom from their family.  What will happen to Sydney? ,"[""They will move out their parents' home"", 'She will earn money', 'They will move to another city']",1,0,TRUE,FALSE
495, Alex carried Robin into the execution when Robin refused to walk. What will happen to Robin? ,"['Be given a pardon', 'Be executed', 'Live a long life']",0," With a gentle yet firm grip, Alex carefully scooped up Robin and transported her to the execution area, taking extra care not to exacerbate her refusal to walk.  What will happen to Robin? ","['Be given a pardon', 'Be executed', 'Live a long life']",1,1,FALSE,TRUE
497, Bailey and Jesse both studied hard for the big exam. What will Bailey want to do next? ,"['Rub in his successful', 'Open a book', 'Encourage Jesse to try again']",0, Bailey and Jesse both worked tirelessly to study for the big exam.  What will Bailey want to do next? ,"['Rub in his successful', 'Open a book', 'Encourage Jesse to try again']",1,1,FALSE,TRUE
502," After the interview went well, Carson shook Jan's hand again. How would Carson feel afterwards? ","['Impatient', 'Relieved', 'Supportive']",1," After a successful interview, Carson extended her hand to Jan again for a confidence-boosting handshake.  How would Carson feel afterwards? ","['Impatient', 'Relieved', 'Supportive']",2,1,TRUE,FALSE
503, Jesse asked Addison's friends to go to the woods with him. What will Jesse want to do next? ,"['Pitch a tent', 'Be alone in the woods', 'Sleep in his truck']",0, Addison's friends were asked by Jesse to accompany him on a fun-filled excursion into the woods.  What will Jesse want to do next? ,"['Pitch a tent', 'Be alone in the woods', 'Sleep in his truck']",2,0,TRUE,FALSE
511," Knowing that the assignments are part of the semester grade, Sydney took schoolwork seriously. How would Others feel as a result? ","['A need to ignore the assignments', 'Proud of them self', 'A need to succeed']",1," With her grades at stake, Sydney knew she had to put her best foot forward and complete her assignments with precision and dedication. She didn't want to risk jeopardizing her hard-earned progress.  How would Others feel as a result? ","['A need to ignore the assignments', 'Proud of them self', 'A need to succeed']",2,2,FALSE,TRUE
514, Robin went to the polls and posted her ballot for the candidate she wanted. What will Robin want to do next? ,"['Bomb the candidadte', 'Attend a rally', 'Go home']",2, Robin proudly exercised her right to vote and submitted her ballot for the candidate she believed in.  What will Robin want to do next? ,"['Bomb the candidadte', 'Attend a rally', 'Go home']",1,2,TRUE,FALSE
525, Bailey went away for a few weeks with family on a vacation and had a wonderful time on their trip. What will Bailey want to do next? ,"['Confirm time off work for the vacation', 'Tell her friends about the nice trip', 'Schedule a vacation with family']",1," Bailey and her family went on a fantastic journey together, enjoying quality time and making cherished experiences.  What will Bailey want to do next? ","['Confirm time off work for the vacation', 'Tell her friends about the nice trip', 'Schedule a vacation with family']",2,1,TRUE,FALSE
533, Tracy took Sydney to school after Sydney missed the school bus this morning. How would you describe Tracy? ,"['Such a good friend', 'Grateful that they got to school conveniently', 'A friend to Sydney']",0," Tracy carefully drove Sydney to school after she overslept and missed the bus, ensuring her daughter arrived on time despite the chaos.  How would you describe Tracy? ","['Such a good friend', 'Grateful that they got to school conveniently', 'A friend to Sydney']",2,2,FALSE,TRUE
547, Ash made a mistake but then they redeemed themselves. Why did Ash do this? ,"[""So they mistake isn't talked about by people"", 'Find a way to redeem themselves', 'Fix their mistake']",2," Ash had a little mishap, but they bounced back with flying colors!  Why did Ash do this? ","[""So they mistake isn't talked about by people"", 'Find a way to redeem themselves', 'Fix their mistake']",1,2,TRUE,FALSE
554, Jan was new to the neighborhood and went out running one morning. Jan found new friends in the neighborhood on her run. How would Others feel as a result? ,"['Unsociable', 'Excited', 'Friendly']",2, Jan was thrilled to explore her new community and went out for a run one morning. She met some lovely ladies who lived in the area and they instantly clicked.  How would Others feel as a result? ,"['Unsociable', 'Excited', 'Friendly']",1,2,TRUE,FALSE
558, Jesse used Kendall's phone even after Kendall said they did not have permission to. How would Kendall feel as a result? ,"['Like a thief', 'Defiant', 'Annoyed']",1," Kendall explicitly stated that Jesse was not authorized to use their phone, yet Jesse disregarded their wishes and continued to do so.  How would Kendall feel as a result? ","['Like a thief', 'Defiant', 'Annoyed']",2,2,FALSE,TRUE
561, Kai grabbed Carson's tools and put them away because Carson was too lazy to do it themselves. What does Kai need to do before this? ,"['Gather the tools', 'Wonder who put his tools away', 'Wonder were his tools are']",0, Kai kindly put away Carson's tools since Carson wasn't feeling up for the task themselves.  What does Kai need to do before this? ,"['Gather the tools', 'Wonder who put his tools away', 'Wonder were his tools are']",1,0,TRUE,FALSE
565, Tracy wore Sydney's jacket to school without asking for permission. How would you describe Tracy? ,"['Rude', 'Polite', 'Upset that Tracy stole their jacket']",0, Tracy wore Sydney's stylish jacket to school without asking first.  How would you describe Tracy? ,"['Rude', 'Polite', 'Upset that Tracy stole their jacket']",2,0,TRUE,FALSE
569," Jordan always.wanted to help people, so he decided to study medice to work in a hospital. How would you describe Jordan? ","['Loves helping people', 'Works with people with bad health', 'Loves helping sick people']",2," From a young age, Jordan felt compelled to help others, and he knew that studying medicine would allow him to do just that. He aspired to work in a hospital where he could use his skills to improve the well-being of his patients.  How would you describe Jordan? ","['Loves helping people', 'Works with people with bad health', 'Loves helping sick people']",0,0,FALSE,TRUE
575, Someone has been stealing money from Riley. Riley leaves money on the counter in the kitchen and watches Jesse closely. Why did Riley do this? ,"['Get money from the kitchen counter', 'See if they could trust Jesse', 'Take money from the kitchen counter']",0," Riley is concerned that someone has taken money from them, and they think it might be Jesse based on their behavior. Riley leaves their money out in the open and keeps an eye on Jesse.  Why did Riley do this? ","['Get money from the kitchen counter', 'See if they could trust Jesse', 'Take money from the kitchen counter']",2,1,FALSE,FALSE
580," Riley is a supervisor of Jesse, and is charged with making sure merchandise is not damaged. What will Jesse want to do next? ","['Drop the goods', 'Want wrap merchandise in bubble wrap', 'Give proper instructions']",1," As a supervisor, Riley plays a crucial role in safeguarding the quality of merchandise and preventing damage.  What will Jesse want to do next? ","['Drop the goods', 'Want wrap merchandise in bubble wrap', 'Give proper instructions']",2,1,TRUE,FALSE
586, Taylor got married but decided to keep her identity and last name. How would you describe Taylor? ,"['Shy and reticent', 'Independent', 'Like a feminist']",1," Taylor recently got hitched, yet she decided to preserve her pre-wedding identity and surname.  How would you describe Taylor? ","['Shy and reticent', 'Independent', 'Like a feminist']",2,1,TRUE,FALSE
588, Robin had fasted for 30 days and nights as part of a religious feast. How would you describe Robin? ,"['Was full up', 'Thinner', 'Was craving sweet things']",1, Robin had observed a month-long fast as part of a sacred celebration.  How would you describe Robin? ,"['Was full up', 'Thinner', 'Was craving sweet things']",0,1,TRUE,FALSE
601," Having reached a major weight loss goal, Kai chose to purchase new clothes to celebrate. What does Kai need to do before this? ","['Determine what their weight loss goal will be', 'Continue to diet and exercise', 'Show off the new clothes to friends']",0," With her weight loss goal now a distant memory, Kai opted to splurge on some new outfits to celebrate her success.  What does Kai need to do before this? ","['Determine what their weight loss goal will be', 'Continue to diet and exercise', 'Show off the new clothes to friends']",2,0,TRUE,FALSE
605," Taylor shoved the donut into Jan's open mouth, and Jan got a hunk of the donut caught in their throat. How would you describe Taylor? ","['Cruel', 'Mean', 'Someone who likes to pull pranks']",1," Taylor playfully pushed the donut into Jan's open mouth, but unfortunately, a portion of it got lodged in their throat.  How would you describe Taylor? ","['Cruel', 'Mean', 'Someone who likes to pull pranks']",2,0,FALSE,FALSE
608, Kai was babysitting her younger brother Kai when it began to storm.  Kai kept Taylor calm by making popcorn and putting his favorite movie on television. What does Kai need to do before this? ,"['Plug in the popcorn popper', ""Get a good night's sleep"", 'Watch the movie']",0," As the storm rolled in, Kai took care of her younger brother Taylor by making him a special snack and putting on a fun movie to distract him from the thunder.  What does Kai need to do before this? ","['Plug in the popcorn popper', ""Get a good night's sleep"", 'Watch the movie']",1,0,TRUE,FALSE
612, Casey decided to learn about cooking so she took a Saturday evening cooking class instead of spending time with her boyfriend. How would Others feel as a result? ,"['Excited to date a good cook', 'Like they are cooking too', 'Inattentive to the needs of her boyfriend at time']",1, Casey chose to pursue her passion for cooking by attending a Saturday evening class instead of devoting the time to her romantic relationship.  How would Others feel as a result? ,"['Excited to date a good cook', 'Like they are cooking too', 'Inattentive to the needs of her boyfriend at time']",0,2,FALSE,FALSE
615, Addison was watching women at a fashion show. They regarded every girl. How would Addison feel afterwards? ,"['Sad', 'Bored', 'Happy']",1," As Addison watched the fashion show, he was struck by the empowered glamour of the women on the catwalk. Each one exuded a sense of strength and self-assurance that was truly inspiring.  How would Addison feel afterwards? ","['Sad', 'Bored', 'Happy']",2,1,TRUE,FALSE
623, Jesse stood by Cameron instead of the other people at the show. How would Jesse feel afterwards? ,"['Awful', 'Feeling great', 'Was there for someone']",2, Jesse chose to support Cameron instead of siding with the other people at the show.  How would Jesse feel afterwards? ,"['Awful', 'Feeling great', 'Was there for someone']",1,2,TRUE,FALSE
626, Jordan brought the family for a day out at the beach but when they got there Jordan realised that they had left the food at home for the picnic. How would you describe Jordan? ,"['Forgetful', 'Annoyed', 'Frustrated']",0," Jordan took his loved ones on an exciting outing to the beach, but once they got there, he realized that they had forgotten the food for their picnic at home.  How would you describe Jordan? ","['Forgetful', 'Annoyed', 'Frustrated']",2,0,TRUE,FALSE
630," Riley was more competent than her manager, but the manager was so arrogant Riley could not get a word in edgewise. What will the manager want to do next? ","['Make Riley work harder', 'Be quiet', 'Replace the manager']",1," Despite Riley's superior abilities, her manager's arrogance made it impossible for Riley to have a say in the matter.  What will the manager want to do next? ","['Make Riley work harder', 'Be quiet', 'Replace the manager']",0,0,FALSE,TRUE
631, Jesse set Robin's house on fire when Robin would not run away with him. What will happen to Jesse? ,"['Be loved by Robin', 'Call the fire department', 'Be sent to jail']",1, Jesse's actions were reckless and harmful when he deliberately burned down Robin's home to get her to leave with him.  What will happen to Jesse? ,"['Be loved by Robin', 'Call the fire department', 'Be sent to jail']",2,2,FALSE,TRUE
635, Aubrey was coming from school in her uniform so Robin had to change Aubrey's clothes before the recital. What does Robin need to do before this? ,"['Go to the recital next', 'Bring Aubrey to the recital', 'Pack the school uniform']",1," Aubrey looked adorable in her school uniform, but she needed a change of clothes for the recital, so Robin helped her out.  What does Robin need to do before this? ","['Go to the recital next', 'Bring Aubrey to the recital', 'Pack the school uniform']",0,2,FALSE,FALSE
638, Carson turned music down to go to college instead. How would you describe Carson? ,"['Reckless', 'Practical', 'Powerful']",1, Carson made the choice to turn down the volume on her music dreams and focus on her academic goals in college.  How would you describe Carson? ,"['Reckless', 'Practical', 'Powerful']",2,1,TRUE,FALSE
645, Alex looked it up online to see what the recipe required. What does Alex need to do before this? ,"['Get on a computer', 'Prepare the food', 'Make the food']",0, Alex looked up the recipe online to see what was required.  What does Alex need to do before this? ,"['Get on a computer', 'Prepare the food', 'Make the food']",1,0,TRUE,FALSE
649, riley was a distrustful person so he regarded jesse with suspicious eyes. What will happen to Jesse? ,"['He will ignore riley', 'Call Jesse out', 'He will question riley']",2," Riley had her reservations about Jesse, so she viewed him with a wary gaze.  What will happen to Jesse? ","['He will ignore riley', 'Call Jesse out', 'He will question riley']",1,2,TRUE,FALSE
657, Ash threw up their arms because their friend treated them disrespectfully while hanging out together. How would Ash feel afterwards? ,"['Happy with her friend', 'As if she had been disrespected', ""Mad at Ash's friend""]",2, Ash threw her arms up in disappointment because her friend had treated her without respect while they were spending time together.  How would Ash feel afterwards? ,"['Happy with her friend', 'As if she had been disrespected', ""Mad at Ash's friend""]",1,1,FALSE,TRUE
668, Cameron took Kai's complaints seriously and told Kai that they were in love with Kai. What will happen to Kai? ,"['Have to explain that they were joking', 'They will kiss Kai', 'They will go on a date']",0, Cameron carefully listened to Kai's concerns and gently told Kai that they had fallen head over heels in love with them.  What will happen to Kai? ,"['Have to explain that they were joking', 'They will kiss Kai', 'They will go on a date']",2,2,FALSE,TRUE
674, Carson got in his car and drove to visit his dad. How would Carson feel afterwards? ,"['Bored', 'Happy', 'A good son']",0, Carson climbed into his vehicle and made his way to his father's house for a visit.  How would Carson feel afterwards? ,"['Bored', 'Happy', 'A good son']",1,2,FALSE,FALSE
675, Riley broke loose from the house. He thought he would never get out of there. Why did Riley do this? ,"['Stay in the house longer', 'Think about his life', 'Go home for a while']",1," Riley courageously escaped from the house, thinking she'd never be trapped again.  Why did Riley do this? ","['Stay in the house longer', 'Think about his life', 'Go home for a while']",2,1,TRUE,FALSE
680, Taylor laid around and fell asleep. She woke up late for work. What will Taylor want to do next? ,"['Stop thinking', 'Close her eyes', 'Rush getting ready']",2, Taylor lounged around and drifted off to sleep. She woke up late for work.  What will Taylor want to do next? ,"['Stop thinking', 'Close her eyes', 'Rush getting ready']",1,2,TRUE,FALSE
683, Aubrey kept the baby up at night while she played loud music on her guitar. How would you describe Aubrey? ,"['Bad', 'A sweet person', 'Does not care about others']",0, Aubrey soothed the baby with lullabies as she strummed her acoustic guitar into the wee hours.  How would you describe Aubrey? ,"['Bad', 'A sweet person', 'Does not care about others']",1,2,FALSE,FALSE
688, Riley cried after Jesse said something. What did Jesse say? ,"['Crying', 'Nice', 'Insults about Riley']",1, Riley was deeply upset when Jesse said something hurtful and she began to cry.  What did Jesse say? ,"['Crying', 'Nice', 'Insults about Riley']",2,2,FALSE,TRUE
692, Sydney closed Sasha's mouth because Sasha was talking way too much. How would Sasha feel as a result? ,"['Intolerant', 'Very amused', 'Very sorry']",2, Sydney gently reminded Sasha to zipper it up because Sasha was getting a bit too chatty.  How would Sasha feel as a result? ,"['Intolerant', 'Very amused', 'Very sorry']",1,2,TRUE,FALSE
703, robin changed aubrey's clothes before the recital even though it made them late for a meeting at work. What will happen to Robin? ,"[""Be glad for Robin's help"", 'Get in trouble', 'Have the proper clothes for the recital']",1," Robin quickly changed Aubrey into a new outfit before the recital, even if it meant they would be late to their work meeting.  What will happen to Robin? ","[""Be glad for Robin's help"", 'Get in trouble', 'Have the proper clothes for the recital']",0,1,TRUE,FALSE
704, Quinn used a gun to murder Remy's wife while she and Remy and Remy were asleep in bed. What will Remy want to do next? ,"['Call the police', 'Get in the house', 'Call the fire department']",0, Quinn callously used a gun to end the life of Remy's beloved wife while they were all resting peacefully in bed.  What will Remy want to do next? ,"['Call the police', 'Get in the house', 'Call the fire department']",1,0,TRUE,FALSE
705, Robin let Carson explain it more thoroughly to the client after there was some confusion. What will Carson want to do next? ,"['Confuse Robin', 'Repeat himself', 'Get a sale']",2, Robin let Carson elaborate on the explanation for the client to ensure they fully understood the issue after there was some confusion.  What will Carson want to do next? ,"['Confuse Robin', 'Repeat himself', 'Get a sale']",1,2,TRUE,FALSE
707, Robin refused to pay her share of the meal even though everybody had agreed beforehand. What will Others want to do next? ,"['Stop inviting Robin', 'Take advantage', 'Save money']",1," Robin declined to contribute her fair share of the meal expenses, despite prior agreement from the group.  What will Others want to do next? ","['Stop inviting Robin', 'Take advantage', 'Save money']",2,0,FALSE,FALSE
710, Carson was starting a new job at the day care. Carson took care of children at a past job. How would Others feel as a result? ,"['Nervous', 'Happy', 'Unhappy']",0," Exciting news! Carson is starting a new adventure at the day care, drawing on her expertise in nurturing and caring for kids from her previous role.  How would Others feel as a result? ","['Nervous', 'Happy', 'Unhappy']",1,1,FALSE,TRUE
711, Remy got very dark because it is late at night. What will Remy want to do next? ,"['Go out', 'Turn on the light', 'Sleep']",2, Remy's skin looked lovely and dark because of the nighttime.  What will Remy want to do next? ,"['Go out', 'Turn on the light', 'Sleep']",0,2,TRUE,FALSE
713, Kendall poured water on the fire before going to sleep. What will Kendall want to do next? ,"['Roast marshmallows next', 'Make sure its out next', 'Start a fire']",1," After ensuring the fire was completely out, Kendall went to bed, carefully pouring water on the embers to avoid any accidents.  What will Kendall want to do next? ","['Roast marshmallows next', 'Make sure its out next', 'Start a fire']",0,1,TRUE,FALSE
716, Quinn stood corrected after giving the wrong answer in class that day. What will Others want to do next? ,"['Ignore him', 'Punish him', 'Console him']",1, Quinn felt mortified when she gave the wrong response in class that day.  What will Others want to do next? ,"['Ignore him', 'Punish him', 'Console him']",2,2,FALSE,TRUE
718," Cameron and Casey were soulmates, because Cameron gave Casey a sense of belonging. What will Cameron want to do next? ","['Move in with Casey', 'Show friendship', 'Physically abuse Casey']",1," Cameron and Casey's love was destined to flourish, thanks to Cameron's ability to give Casey a deep feeling of connection and belonging.  What will Cameron want to do next? ","['Move in with Casey', 'Show friendship', 'Physically abuse Casey']",0,0,FALSE,TRUE
724, Kendall kept the conversation going by asking opened ended questions. What answers will the others respond with? ,"['Walk out of the room', 'All grow silent', 'Answer with other questions']",2, Kendall expertly steered the conversation with insightful open-ended queries.  What answers will the others respond with? ,"['Walk out of the room', 'All grow silent', 'Answer with other questions']",1,2,TRUE,FALSE
725, Skylar lent attention to the view even though she hated the view. Why did Skylar do this? ,"['Wanted to show she was unimpressed', 'Wanted to express her hatred', 'Wanted to act interested']",2," Skylar couldn't help but take in the view, even though she wasn't a fan of it.  Why did Skylar do this? ","['Wanted to show she was unimpressed', 'Wanted to express her hatred', 'Wanted to act interested']",0,2,TRUE,FALSE
729, Cameron saw what happened and gave Casey a sense of events they saw. Why did Cameron do this? ,"['So Casey could talk about the situation', 'So Casey new about the situation', 'Give a helping hand']",2, Cameron observed the situation and shared details with Casey about what they both saw.  Why did Cameron do this? ,"['So Casey could talk about the situation', 'So Casey new about the situation', 'Give a helping hand']",1,1,FALSE,TRUE
731, Alex was very observant. What does Alex need to do before this? ,"['Be informed', 'Be up to date', 'Not be distracted']",0, Alex noticed everything around him with great attention to detail.  What does Alex need to do before this? ,"['Be informed', 'Be up to date', 'Not be distracted']",2,2,FALSE,TRUE
735, Robin finished the big group project and she thanked Tracy for her contributions. What will happen to Tracy? ,"['Get a promotion', 'Get nothing', 'Begin to study for the course final exam next']",1, Robin successfully completed the extensive group project and she expressed her gratitude to Tracy for her significant contributions.  What will happen to Tracy? ,"['Get a promotion', 'Get nothing', 'Begin to study for the course final exam next']",0,0,FALSE,TRUE
743, taylor looked hotels up online for their friends so the trip could be planned in advance. What will Others want to do next? ,"['Let their friends know what the best hotel is', 'Find out which hotels have openings', 'Thank taylor']",1, Taylor researched fabulous hotels online to make sure her friends' trip was well-planned and stylish.  What will Others want to do next? ,"['Let their friends know what the best hotel is', 'Find out which hotels have openings', 'Thank taylor']",0,2,FALSE,FALSE
752," Alex owned a bookstore and had a lot of books, Alex also sold books on amazon. Why did Alex do this? ","['Buy books from a wholesaler', 'Reduce inventory', 'Rent space for the bookstore']",0," As an avid book lover, Alex ran a charming bookstore and sold her vast collection of titles on Amazon.  Why did Alex do this? ","['Buy books from a wholesaler', 'Reduce inventory', 'Rent space for the bookstore']",1,1,FALSE,TRUE
753, Jordan gave Casey the runaround so Jordan bought his movie tickets anyway and would see it alone if Casey did not show up. What will Jordan want to do next? ,"['Go home if Casey was a no show', 'Go into the theater', ""Wanted to see the movie anyways and didn't matter if Casey went as well""]",2," Jordan played hard to get with Casey, so she eventually just bought the movie tickets herself and decided to go alone if Casey couldn't make it.  What will Jordan want to do next? ","['Go home if Casey was a no show', 'Go into the theater', ""Wanted to see the movie anyways and didn't matter if Casey went as well""]",1,1,FALSE,TRUE
756, Cameron got out of their way when they were walking by. How would Others feel as a result? ,"['Fearful and paranoid', 'Quite respected', 'Very lonely']",0, Cameron made a point to avoid getting in their way while walking past.  How would Others feel as a result? ,"['Fearful and paranoid', 'Quite respected', 'Very lonely']",1,1,FALSE,TRUE
775, riley was a distrustful person so he regarded jesse with suspicious eyes. What will happen to Jesse? ,"['He will ignore riley', 'Call Jesse out', 'He will question riley']",2," Riley's distrustful nature led her to view Jesse with a wary gaze, her eyes narrowing as she tried to read his intentions.  What will happen to Jesse? ","['He will ignore riley', 'Call Jesse out', 'He will question riley']",1,2,TRUE,FALSE
779, Kai grabbed Carson's tools for him after he left it in the park. What will Kai want to do next? ,"['Put them in the garage', 'Take them to Carson', 'Throw them away']",0, Kai kindly picked up Carson's tools after he forgot them in the park.  What will Kai want to do next? ,"['Put them in the garage', 'Take them to Carson', 'Throw them away']",1,1,FALSE,TRUE
781, Taylor was trying to talk to her brother but the music was too loud. Taylor got louder as they raised their voice over the music. How would Taylor feel afterwards? ,"['Annoyed', 'Happy', 'Quiet']",0, Taylor was struggling to talk to her brother because the music was so loud. She lifted her voice along with the music to make herself heard.  How would Taylor feel afterwards? ,"['Annoyed', 'Happy', 'Quiet']",1,0,TRUE,FALSE
783, Sydney took a class on plants at the college she went to. How would you describe Sydney? ,"['Hard working', 'Learned', 'Educated']",1, Sydney signed up for a plant-focused class at her university to explore the world of flora.  How would you describe Sydney? ,"['Hard working', 'Learned', 'Educated']",2,2,FALSE,TRUE
785, Remy was working late in his office trying to catch up. He had a big stack of papers. What does Remy need to do before this? ,"['Needed to be behind', 'Be more efficient', 'Finish his work']",2," Remy was staying late at the office to wrap up his tasks for the day. He had a big stack of documents to go through, but he was determined to get everything done efficiently.  What does Remy need to do before this? ","['Needed to be behind', 'Be more efficient', 'Finish his work']",1,0,FALSE,FALSE
790, taylor just got hired but he was already best friends with a co-worker. How would Others feel as a result? ,"['Happy', 'Ready to work', 'Jealous']",1," Taylor just joined the team, but she's already BFFs with a colleague! 👯‍♀️  How would Others feel as a result? ","['Happy', 'Ready to work', 'Jealous']",0,2,FALSE,FALSE
794, Remy was playing a video game in their spare time. They prevented the enemies from engaging. How would you describe Remy? ,"['A technical person', 'A hard worker', 'A skilled laborer']",2," Remy was totally slaying her video game in her free time! She masterfully fended off the bad guys, keeping them from attacking.  How would you describe Remy? ","['A technical person', 'A hard worker', 'A skilled laborer']",1,0,FALSE,FALSE
799, Remy was telling a story and told it like Casey does. Why did Remy do this? ,"['Learn casey', ""Tell Casey's story"", 'Honor Casey']",2, Remy spun a yarn that was reminiscent of the exciting exploits of Casey.  Why did Remy do this? ,"['Learn casey', ""Tell Casey's story"", 'Honor Casey']",1,2,TRUE,FALSE
802, Bailey told Alex to send the pdf because they didn't want to do it themselves. How would Alex feel as a result? ,"['Lazy about work', 'Happy', 'Angry']",2, Bailey requested that Alex send over the PDF because they weren't interested in doing it manually.  How would Alex feel as a result? ,"['Lazy about work', 'Happy', 'Angry']",1,2,TRUE,FALSE
806, riley came home and made some pie in the kitchen. How would you describe Riley? ,"['As lazy', 'As ambitious', 'Ready to eat the pie']",2, Riley came back home and baked a tasty pie in the kitchen. (more nurturing and domestic language)  How would you describe Riley? ,"['As lazy', 'As ambitious', 'Ready to eat the pie']",1,1,FALSE,TRUE
807, Skylar was about to go down the tall water slide but her arms needed to be on her chest. What will Jesse want to do next? ,"['Watch Taylor dance', 'Send Skylar down the slide', 'Cross her arms']",2," As Skylar prepared to ride the tall water slide, she made sure her arms were in the right position on her chest for maximum stability.  What will Jesse want to do next? ","['Watch Taylor dance', 'Send Skylar down the slide', 'Cross her arms']",1,2,TRUE,FALSE
814, Jesse went camping with Addison's friends. Why did Jesse do this? ,"['Get closer to Addison', 'Hates camping', 'Stay in touch with his new friends']",0, Jesse had a blast camping with Addison's girlfriends and enjoyed quality time in nature.  Why did Jesse do this? ,"['Get closer to Addison', 'Hates camping', 'Stay in touch with his new friends']",2,2,FALSE,TRUE
816, Remy carried their plan of egging and toilet papering the girls fraternity house into execution. What will the girls want to do next? ,"['Gather eggs', 'Gather toilet paper', 'Since the girls were college girls they were smart enough to find out who did it and turn him in']",2," The group carried out their mischievous plan of egging and toilet papering the sorority house, causing chaos and hilarity.  What will the girls want to do next? ","['Gather eggs', 'Gather toilet paper', 'Since the girls were college girls they were smart enough to find out who did it and turn him in']",0,2,TRUE,FALSE
820, Robin went to Jan's friend's school when she was being bullied at her school. How would you describe Robin? ,"['Glad her friend could help', 'A student', 'Sad Robin had to change schools']",0," When Jan's friend was being targeted by bullies at her own school, Robin stepped in and went to her rescue by visiting her at her friend's school.  How would you describe Robin? ","['Glad her friend could help', 'A student', 'Sad Robin had to change schools']",1,0,TRUE,FALSE
821," Kai has to give a presentation in their class but Kai was not prepared.  Therefore, Kai makes things up as they go along. What does Kai need to do before this? ","['Be well received', 'Use her imagination', 'Ask other people for ideas']",2," Kai had to give a presentation in their class, but they didn't prepare well. So, Kai improvised and came up with ideas on the spot.  What does Kai need to do before this? ","['Be well received', 'Use her imagination', 'Ask other people for ideas']",1,1,FALSE,TRUE
823, riley was happy to socialize with others so she talked to her friends. How would Others feel as a result? ,"['As calm', 'A sociable person', 'As angry']",0," Riley felt elated to hang out with her gal pals, so she chatted with them excitedly.  How would Others feel as a result? ","['As calm', 'A sociable person', 'As angry']",1,1,FALSE,TRUE
826, Alex answered Riley's question because he knew the answer. What will happen to Alex? ,"['Talk more', 'Meet to knew the Alex', 'Ignore Riley']",2," Riley asked Alex a question, and since he knew the answer, Alex kindly responded to help her out.  What will happen to Alex? ","['Talk more', 'Meet to knew the Alex', 'Ignore Riley']",0,0,FALSE,TRUE
843, Quinn got a new job in a different town so they moved to a new house. What will Quinn want to do next? ,"['Welcome', 'Unpack his things', 'Reload his things']",0," Quinn secured an exciting job opportunity in a new city, which meant it was time to find a beautiful new home for her and her loved ones.  What will Quinn want to do next? ","['Welcome', 'Unpack his things', 'Reload his things']",2,1,FALSE,FALSE
