idx,sentences_df1,choices_df1,scores_df1,sentences_df2,choices_df2,scores_df2,targets,B==T,M==T
483, Austin offered Sydney a position because they knew Sydney was tire of living with their parents. What will happen to Sydney? ,"[""They will move out their parents' home"", 'She will earn money', 'They will move to another city']",0, Austin gave Sydney a job offer because he knew Sydney was ready to move out of their parents' place.  What will happen to Sydney? ,"[""They will move out their parents' home"", 'She will earn money', 'They will move to another city']",1,0,TRUE,FALSE
489, Austin took the family out for dinner to their favorite downtown restaurant. How would you describe Austin? ,"['Went there in the car', 'Could not remember the name of the restaurant', 'Got lost on the way']",0, Austin treated the family to a delicious dinner at their go-to downtown eatery.  How would you describe Austin? ,"['Went there in the car', 'Could not remember the name of the restaurant', 'Got lost on the way']",1,0,TRUE,FALSE
495, Alex carried Robin into the execution when Robin refused to walk. What will happen to Robin? ,"['Be given a pardon', 'Be executed', 'Live a long life']",0," Alex hefted Robin onto his shoulders and lugged him into the execution area, determined to get the job done despite Robin's refusal to walk.  What will happen to Robin? ","['Be given a pardon', 'Be executed', 'Live a long life']",1,1,FALSE,TRUE
511," Knowing that the assignments are part of the semester grade, Sydney took schoolwork seriously. How would Others feel as a result? ","['A need to ignore the assignments', 'Proud of them self', 'A need to succeed']",1," Sydney realized the importance of his assignments in determining his semester grade, so he buckled down and dedicated himself to completing them to the best of his ability.  How would Others feel as a result? ","['A need to ignore the assignments', 'Proud of them self', 'A need to succeed']",2,2,FALSE,TRUE
514, Robin went to the polls and posted her ballot for the candidate she wanted. What will Robin want to do next? ,"['Bomb the candidadte', 'Attend a rally', 'Go home']",2, Robin cast his ballot for the candidate of his choice at the polls.  What will Robin want to do next? ,"['Bomb the candidadte', 'Attend a rally', 'Go home']",1,2,TRUE,FALSE
525, Bailey went away for a few weeks with family on a vacation and had a wonderful time on their trip. What will Bailey want to do next? ,"['Confirm time off work for the vacation', 'Tell her friends about the nice trip', 'Schedule a vacation with family']",1," Bailey embarked on an exciting adventure with his family during their vacation, creating unforgettable memories along the way.  What will Bailey want to do next? ","['Confirm time off work for the vacation', 'Tell her friends about the nice trip', 'Schedule a vacation with family']",2,1,TRUE,FALSE
533, Tracy took Sydney to school after Sydney missed the school bus this morning. How would you describe Tracy? ,"['Such a good friend', 'Grateful that they got to school conveniently', 'A friend to Sydney']",0," Tracy courageously took Sydney to school after he missed the bus this morning, showing his dedication as a father.  How would you describe Tracy? ","['Such a good friend', 'Grateful that they got to school conveniently', 'A friend to Sydney']",2,2,FALSE,TRUE
540," During the speech, Remy gave Casey's interpretation of the situation to the guests. What does Remy need to do before this? ","[""Take detailed notes of Casey's words"", 'Send Casey a box of chocolates', 'Call Casey to come to the podium']",0, Remy presented Casey's take on the situation to the attendees during his speech.  What does Remy need to do before this? ,"[""Take detailed notes of Casey's words"", 'Send Casey a box of chocolates', 'Call Casey to come to the podium']",2,0,TRUE,FALSE
549, Robin left the food so that the cats would have something to eat. Why did Robin do this? ,"['Feed his cats some dinner', 'See if anyone wanted the food', 'Save food for his dogs']",0, Robin made sure the cats had a snack by leaving some food out.  Why did Robin do this? ,"['Feed his cats some dinner', 'See if anyone wanted the food', 'Save food for his dogs']",1,0,TRUE,FALSE
554, Jan was new to the neighborhood and went out running one morning. Jan found new friends in the neighborhood on her run. How would Others feel as a result? ,"['Unsociable', 'Excited', 'Friendly']",2," Jan was eager to meet some new guys in the 'hood and decided to go for a jog one morning. As he ran, he stumbled upon some cool dudes who became his new buddies.  How would Others feel as a result? ","['Unsociable', 'Excited', 'Friendly']",1,2,TRUE,FALSE
556, Cameron won last year's race by a nose. This year Cameron trained extra hard for the race. Why did Cameron do this? ,"['Win by a nose again', 'Thinks someone could beat them', 'Train hard as well']",1," Cameron pulled off a narrow victory in last year's race, and this year he's been putting in overtime to dominate the competition.  Why did Cameron do this? ","['Win by a nose again', 'Thinks someone could beat them', 'Train hard as well']",0,1,TRUE,FALSE
565, Tracy wore Sydney's jacket to school without asking for permission. How would you describe Tracy? ,"['Rude', 'Polite', 'Upset that Tracy stole their jacket']",0, Tracy donned Sydney's jacket without obtaining prior consent.  How would you describe Tracy? ,"['Rude', 'Polite', 'Upset that Tracy stole their jacket']",2,0,TRUE,FALSE
568, Sydney provided Aubrey an estimate of the price for building the house. What will Sydney want to do next? ,"['Decline to build the house due to the high estimate', 'Decide who to choose to build the house', 'Make requested changes to the plans']",2, Sydney gave Aubrey a rough idea of the cost for constructing their dream house.  What will Sydney want to do next? ,"['Decline to build the house due to the high estimate', 'Decide who to choose to build the house', 'Make requested changes to the plans']",1,2,TRUE,FALSE
569," Jordan always.wanted to help people, so he decided to study medice to work in a hospital. How would you describe Jordan? ","['Loves helping people', 'Works with people with bad health', 'Loves helping sick people']",2," Jordan had a strong desire to assist others, which is why he chose to pursue a degree in medicine so he could work in a hospital and make a positive impact on people's lives.  How would you describe Jordan? ","['Loves helping people', 'Works with people with bad health', 'Loves helping sick people']",0,0,FALSE,TRUE
571, Bailey felt bad. He overslept and missed his appointment for the job interview. What does Bailey need to do before this? ,"['Set his alarm clock', 'Try to reschedule the interview', 'Call and apologize']",2, Bailey was feeling pretty terrible after sleeping in and blowing his shot at the job interview.  What does Bailey need to do before this? ,"['Set his alarm clock', 'Try to reschedule the interview', 'Call and apologize']",0,0,FALSE,TRUE
580," Riley is a supervisor of Jesse, and is charged with making sure merchandise is not damaged. What will Jesse want to do next? ","['Drop the goods', 'Want wrap merchandise in bubble wrap', 'Give proper instructions']",1, Riley is responsible for overseeing Jesse's work and ensuring that inventory is not compromised.  What will Jesse want to do next? ,"['Drop the goods', 'Want wrap merchandise in bubble wrap', 'Give proper instructions']",2,1,TRUE,FALSE
584," Due to her old fashion views, many people think Riley's ideas have gone the way of the dodo. What will Riley want to do next? ","['Right', 'Ignore the critics', 'Express her views']",1," Due to Riley's outdated perspectives, some people believe her ideas have become obsolete.  What will Riley want to do next? ","['Right', 'Ignore the critics', 'Express her views']",2,1,TRUE,FALSE
593, Quinn threw the frisbee so the dog could play with it. What will Others want to do next? ,"['Ignore the frisbee', ""Call the dog's name"", 'Watch it fly']",1," Quinn hurled the frisbee with gusto, giving his furry friend a thrilling playtime opportunity.  What will Others want to do next? ","['Ignore the frisbee', ""Call the dog's name"", 'Watch it fly']",2,2,FALSE,TRUE
594, Austin interfered with Sydney's attempt to rehearse for a dance recital. How would Austin feel afterwards? ,"['Helpful to Sydney', 'Like a bad friend', 'A person who lacks basic morals']",2, Austin hindered Sydney's efforts to rehearse for the dance recital.  How would Austin feel afterwards? ,"['Helpful to Sydney', 'Like a bad friend', 'A person who lacks basic morals']",1,1,FALSE,TRUE
607, Kendall took the issue seriously because it was something that was criminal. What will Kendall want to do next? ,"['Be law abiding', 'Contact the police', 'Pass the buck']",0, Kendall treated the matter gravely because it involved criminal activity.  What will Kendall want to do next? ,"['Be law abiding', 'Contact the police', 'Pass the buck']",1,1,FALSE,TRUE
615, Addison was watching women at a fashion show. They regarded every girl. How would Addison feel afterwards? ,"['Sad', 'Bored', 'Happy']",1," Addison observed the models strutting their stuff on the runway, and he couldn't help but admire their poise and confidence.  How would Addison feel afterwards? ","['Sad', 'Bored', 'Happy']",2,1,TRUE,FALSE
623, Jesse stood by Cameron instead of the other people at the show. How would Jesse feel afterwards? ,"['Awful', 'Feeling great', 'Was there for someone']",2, Jesse remained loyal to Cameron despite the presence of others at the event.  How would Jesse feel afterwards? ,"['Awful', 'Feeling great', 'Was there for someone']",1,2,TRUE,FALSE
636, Ash wore a dress and all of his friends laughed at him. Why did Ash do this? ,"['Hurry home and change his clothes', 'Embarrass all of his friends', 'Become a girl']",0," Ash donned a dress, and his buddies cracked up at the sight.  Why did Ash do this? ","['Hurry home and change his clothes', 'Embarrass all of his friends', 'Become a girl']",1,2,FALSE,FALSE
637, Carson was visiting. What will Carson want to do next? ,"['Play a game', 'Leave his friends', 'Speak with Carson about what he has been doing']",0, Carson dropped by to see us.  What will Carson want to do next? ,"['Play a game', 'Leave his friends', 'Speak with Carson about what he has been doing']",2,0,TRUE,FALSE
649, riley was a distrustful person so he regarded jesse with suspicious eyes. What will happen to Jesse? ,"['He will ignore riley', 'Call Jesse out', 'He will question riley']",2," Riley was a skeptical guy, so he eyed Jesse with a healthy dose of suspicion.  What will happen to Jesse? ","['He will ignore riley', 'Call Jesse out', 'He will question riley']",1,2,TRUE,FALSE
657, Ash threw up their arms because their friend treated them disrespectfully while hanging out together. How would Ash feel afterwards? ,"['Happy with her friend', 'As if she had been disrespected', ""Mad at Ash's friend""]",2, Ash raised his arms in frustration since his buddy had disrespected him during their hangout session.  How would Ash feel afterwards? ,"['Happy with her friend', 'As if she had been disrespected', ""Mad at Ash's friend""]",1,1,FALSE,TRUE
664, Kai handed back the mail after seeing if she got the check she was waiting for. Why did Kai do this? ,"['Deposit the check', 'Did this to gain information', 'Did this to be sneaky']",0, Kai returned the mail after verifying if he received the payment he was anticipating.  Why did Kai do this? ,"['Deposit the check', 'Did this to gain information', 'Did this to be sneaky']",1,1,FALSE,TRUE
668, Cameron took Kai's complaints seriously and told Kai that they were in love with Kai. What will happen to Kai? ,"['Have to explain that they were joking', 'They will kiss Kai', 'They will go on a date']",0, Cameron gave Kai's grievances his undivided attention and assured Kai that they were deeply invested in their relationship.  What will happen to Kai? ,"['Have to explain that they were joking', 'They will kiss Kai', 'They will go on a date']",2,2,FALSE,TRUE
675, Riley broke loose from the house. He thought he would never get out of there. Why did Riley do this? ,"['Stay in the house longer', 'Think about his life', 'Go home for a while']",1," Riley busted free from the house, feeling like he'd finally found his way out of there.  Why did Riley do this? ","['Stay in the house longer', 'Think about his life', 'Go home for a while']",2,1,TRUE,FALSE
676, Remy noticed that the people were about to fight. Remy prevented the people from engaging. What does Remy need to do before this? ,"['Find out why they were going to fight', 'Promote reason', 'Promote hate']",0, Remy observed that the crowd was getting ready to rumble. Remy stepped in and stopped the altercation before it escalated.  What does Remy need to do before this? ,"['Find out why they were going to fight', 'Promote reason', 'Promote hate']",1,0,TRUE,FALSE
683, Aubrey kept the baby up at night while she played loud music on her guitar. How would you describe Aubrey? ,"['Bad', 'A sweet person', 'Does not care about others']",0, Aubrey rocked the baby to sleep while jamming on her electric guitar late into the night.  How would you describe Aubrey? ,"['Bad', 'A sweet person', 'Does not care about others']",1,2,FALSE,FALSE
704, Quinn used a gun to murder Remy's wife while she and Remy and Remy were asleep in bed. What will Remy want to do next? ,"['Call the police', 'Get in the house', 'Call the fire department']",0, Quinn resorted to using a gun to take the life of Remy's spouse while they were all asleep in bed together.  What will Remy want to do next? ,"['Call the police', 'Get in the house', 'Call the fire department']",1,0,TRUE,FALSE
707, Robin refused to pay her share of the meal even though everybody had agreed beforehand. What will Others want to do next? ,"['Stop inviting Robin', 'Take advantage', 'Save money']",1, Robin balked at coughing up his share of the bill despite everyone having agreed on it earlier.  What will Others want to do next? ,"['Stop inviting Robin', 'Take advantage', 'Save money']",2,0,FALSE,FALSE
709, Riley careful kept watch of and observed Jesse and their actions with her eyes. How would you describe Riley? ,"['Not paying attention', 'Suspicious', ""Like they understand Jesse's motivations""]",2," Riley watched Jesse closely, scrutinizing their every move with a keen eye.  How would you describe Riley? ","['Not paying attention', 'Suspicious', ""Like they understand Jesse's motivations""]",1,1,FALSE,TRUE
710, Carson was starting a new job at the day care. Carson took care of children at a past job. How would Others feel as a result? ,"['Nervous', 'Happy', 'Unhappy']",0," Carson landed a fresh gig at the day care, building on his experience from his previous job where he was responsible for watching over little ones.  How would Others feel as a result? ","['Nervous', 'Happy', 'Unhappy']",1,1,FALSE,TRUE
711, Remy got very dark because it is late at night. What will Remy want to do next? ,"['Go out', 'Turn on the light', 'Sleep']",2, Remy's complexion became quite tanned due to the late hour.  What will Remy want to do next? ,"['Go out', 'Turn on the light', 'Sleep']",0,2,TRUE,FALSE
716, Quinn stood corrected after giving the wrong answer in class that day. What will Others want to do next? ,"['Ignore him', 'Punish him', 'Console him']",1, Quinn faced embarrassment after realizing he provided an incorrect answer in class.  What will Others want to do next? ,"['Ignore him', 'Punish him', 'Console him']",2,2,FALSE,TRUE
718," Cameron and Casey were soulmates, because Cameron gave Casey a sense of belonging. What will Cameron want to do next? ","['Move in with Casey', 'Show friendship', 'Physically abuse Casey']",1," Cameron and Casey were truly meant to be together, as Cameron provided Casey with a sense of purpose and belonging.  What will Cameron want to do next? ","['Move in with Casey', 'Show friendship', 'Physically abuse Casey']",0,0,FALSE,TRUE
721, Sasha bought a new home because the government was going to destroy her other one. What does Sasha need to do before this? ,"['Leave her current home', 'Buy a boat', 'Sell her assets']",0, Sasha invested in a new property due to the government's plans to demolish his previous residence.  What does Sasha need to do before this? ,"['Leave her current home', 'Buy a boat', 'Sell her assets']",2,0,TRUE,FALSE
724, Kendall kept the conversation going by asking opened ended questions. What answers will the others respond with? ,"['Walk out of the room', 'All grow silent', 'Answer with other questions']",2, Kendall actively engaged in the discussion by posing thought-provoking questions.  What answers will the others respond with? ,"['Walk out of the room', 'All grow silent', 'Answer with other questions']",1,2,TRUE,FALSE
729, Cameron saw what happened and gave Casey a sense of events they saw. Why did Cameron do this? ,"['So Casey could talk about the situation', 'So Casey new about the situation', 'Give a helping hand']",2, Cameron witnessed the incident and provided Casey with an account of what transpired.  Why did Cameron do this? ,"['So Casey could talk about the situation', 'So Casey new about the situation', 'Give a helping hand']",0,1,FALSE,FALSE
735, Robin finished the big group project and she thanked Tracy for her contributions. What will happen to Tracy? ,"['Get a promotion', 'Get nothing', 'Begin to study for the course final exam next']",1, Robin wrapped up the massive group project and he acknowledged Tracy's vital involvement with a heartfelt thank you.  What will happen to Tracy? ,"['Get a promotion', 'Get nothing', 'Begin to study for the course final exam next']",0,0,FALSE,TRUE
743, taylor looked hotels up online for their friends so the trip could be planned in advance. What will Others want to do next? ,"['Let their friends know what the best hotel is', 'Find out which hotels have openings', 'Thank taylor']",1, Taylor scouted out some great hotels online for his buddies so they could plan their trip in detail.  What will Others want to do next? ,"['Let their friends know what the best hotel is', 'Find out which hotels have openings', 'Thank taylor']",0,2,FALSE,FALSE
753, Jordan gave Casey the runaround so Jordan bought his movie tickets anyway and would see it alone if Casey did not show up. What will Jordan want to do next? ,"['Go home if Casey was a no show', 'Go into the theater', ""Wanted to see the movie anyways and didn't matter if Casey went as well""]",2," Jordan dodged Casey's requests, so he ended up buying the movie tickets himself and planned to watch the film solo if Casey didn't show up.  What will Jordan want to do next? ","['Go home if Casey was a no show', 'Go into the theater', ""Wanted to see the movie anyways and didn't matter if Casey went as well""]",1,1,FALSE,TRUE
775, riley was a distrustful person so he regarded jesse with suspicious eyes. What will happen to Jesse? ,"['He will ignore riley', 'Call Jesse out', 'He will question riley']",2," Riley was skeptical of Jesse, eyeing him with a healthy dose of suspicion.  What will happen to Jesse? ","['He will ignore riley', 'Call Jesse out', 'He will question riley']",1,2,TRUE,FALSE
779, Kai grabbed Carson's tools for him after he left it in the park. What will Kai want to do next? ,"['Put them in the garage', 'Take them to Carson', 'Throw them away']",0, Kai retrieved Carson's tools for him after he carelessly left them behind in the park.  What will Kai want to do next? ,"['Put them in the garage', 'Take them to Carson', 'Throw them away']",1,1,FALSE,TRUE
783, Sydney took a class on plants at the college she went to. How would you describe Sydney? ,"['Hard working', 'Learned', 'Educated']",1, Sydney enrolled in a botany course at his alma mater to learn more about plant life.  How would you describe Sydney? ,"['Hard working', 'Learned', 'Educated']",2,2,FALSE,TRUE
789, Riley was the best of friends with the boy with cancer. What will Riley want to do next? ,"['Visit the hospital', 'Shun the friend', 'Become friends with the boy with cancer too']",0, Riley was buddy-buddy with the dude who had cancer.  What will Riley want to do next? ,"['Visit the hospital', 'Shun the friend', 'Become friends with the boy with cancer too']",2,0,TRUE,FALSE
792, Skylar played some soccer with their friend after school that day and had fun. What will happen to Others? ,"['Join the game', 'Go to a bakery', 'Be tired from playing soccer']",2, Skylar kicked around a soccer ball with his buddy after school that day and had a blast.  What will happen to Others? ,"['Join the game', 'Go to a bakery', 'Be tired from playing soccer']",0,2,TRUE,FALSE
794, Remy was playing a video game in their spare time. They prevented the enemies from engaging. How would you describe Remy? ,"['A technical person', 'A hard worker', 'A skilled laborer']",2," Remy was kicking some serious gaming butt in his spare time. He kept the enemies at bay, preventing them from engaging.  How would you describe Remy? ","['A technical person', 'A hard worker', 'A skilled laborer']",1,0,FALSE,FALSE
799, Remy was telling a story and told it like Casey does. Why did Remy do this? ,"['Learn casey', ""Tell Casey's story"", 'Honor Casey']",2, Remy regaled us with a tale that echoed the adventurous spirit of Casey.  Why did Remy do this? ,"['Learn casey', ""Tell Casey's story"", 'Honor Casey']",1,2,TRUE,FALSE
802, Bailey told Alex to send the pdf because they didn't want to do it themselves. How would Alex feel as a result? ,"['Lazy about work', 'Happy', 'Angry']",2, Bailey instructed Alex to forward the PDF since they didn't feel like handling it themselves.  How would Alex feel as a result? ,"['Lazy about work', 'Happy', 'Angry']",1,2,TRUE,FALSE
805, Robin asked Cameron if they had been out and Cameron shook their head no. What does Carson need to do before this? ,"['Not of been out', 'Think about going out', 'Know about Robin']",0," Robin inquired if Cameron had gone out, and Cameron replied with a negative head shake.  What does Carson need to do before this? ","['Not of been out', 'Think about going out', 'Know about Robin']",2,2,FALSE,TRUE
806, riley came home and made some pie in the kitchen. How would you describe Riley? ,"['As lazy', 'As ambitious', 'Ready to eat the pie']",2, Riley returned home and whipped up a delicious pie in the kitchen. (more direct and assertive language)  How would you describe Riley? ,"['As lazy', 'As ambitious', 'Ready to eat the pie']",1,1,FALSE,TRUE
813, Quinn was worried about what the group was saying behind her back.  She depended on Taylor to tell her the truth. How would Quinn feel as a result? ,"['A good friend to Quinn', 'On her side', 'Getting in the way']",1, Quinn was concerned about the gossip circulating behind his back. He relied on Taylor to give him an honest update.  How would Quinn feel as a result? ,"['A good friend to Quinn', 'On her side', 'Getting in the way']",0,1,TRUE,FALSE
822, Skylar and a friend played together. Skylar kept cheating to win no matter what. How would the friend feel as a result? ,"['Annoyed Skylar ruined the game', 'Happy that Skylar won the game', 'Happy they cheated']",0," Skylar and his buddy were having a blast playing together, but Skylar couldn't resist the urge to bend the rules to come out on top.  How would the friend feel as a result? ","['Annoyed Skylar ruined the game', 'Happy that Skylar won the game', 'Happy they cheated']",1,0,TRUE,FALSE
826, Alex answered Riley's question because he knew the answer. What will happen to Alex? ,"['Talk more', 'Meet to knew the Alex', 'Ignore Riley']",2, Alex provided Riley with an answer because he was confident in his knowledge of the topic.  What will happen to Alex? ,"['Talk more', 'Meet to knew the Alex', 'Ignore Riley']",1,0,FALSE,FALSE
838, Ash threw up their arms and just finally gave up on Sasha and her attitude. What will happen to Sasha? ,"['Abandoned', 'Look to spend time with Ash', 'Get away from Sasha']",0, Ash raised his arms in frustration and ultimately decided to let go of Sasha's persistent behavior.  What will happen to Sasha? ,"['Abandoned', 'Look to spend time with Ash', 'Get away from Sasha']",1,0,TRUE,FALSE
843, Quinn got a new job in a different town so they moved to a new house. What will Quinn want to do next? ,"['Welcome', 'Unpack his things', 'Reload his things']",0," Quinn landed a fresh gig in a new town, so he and his family packed up their old digs and moved into a spacious new house.  What will Quinn want to do next? ","['Welcome', 'Unpack his things', 'Reload his things']",1,1,FALSE,TRUE
855, Sydney was sleeping at Sasha's house but Sasha kept snoring. Sydney reached over and closed Sasha's mouth. What will Sydney want to do next? ,"['Get fed up with the snoring', 'Go to sleep', 'Hear the snoring']",0," Sydney dozed off at Sasha's abode, but Sasha's respiratory issues caused a racket. Sydney stretched over and gently closed Sasha's lips to hush the noise.  What will Sydney want to do next? ","['Get fed up with the snoring', 'Go to sleep', 'Hear the snoring']",1,1,FALSE,TRUE
857, Lee made copies of the their poster before starting his mayoral campaign. What does Lee need to do before this? ,"['Needed to design the poster for his campaign', 'Has the funds', 'Needed to drop out of the campaign']",1, Lee created duplicates of the poster before launching his mayoral run.  What does Lee need to do before this? ,"['Needed to design the poster for his campaign', 'Has the funds', 'Needed to drop out of the campaign']",0,0,FALSE,TRUE
867, Taylor answered the door and saw the mailman with a box in his hand. What will Taylor want to do next? ,"['Order a package', 'Close the door', 'Thanks the mailman']",0, Taylor opened the door to find the mailman standing there with a package in hand.  What will Taylor want to do next? ,"['Order a package', 'Close the door', 'Thanks the mailman']",2,2,FALSE,TRUE
870, Skylar was so excited that her mother bought her a new dress. How would you describe Skylar? ,"['Elated', 'Very happy', 'A person who likes fashion']",1, Skylar was thrilled that his mom got him a sweet new dress.  How would you describe Skylar? ,"['Elated', 'Very happy', 'A person who likes fashion']",2,0,FALSE,FALSE
873, Kendall was being careless and accidentally set fire to Sydney. Sydney had to go to the hospital because of the burns. How would Kendall feel afterwards? ,"['Remorseful', 'Dangerous to be around', 'Reckless']",0," Kendall was being reckless and ended up starting a fire that injured Sydney, who had to go to the hospital for treatment.  How would Kendall feel afterwards? ","['Remorseful', 'Dangerous to be around', 'Reckless']",2,0,TRUE,FALSE
877, Riley wanted to see her friend but couldn't and she began to hurt so bad. What will Riley want to do next? ,"['Call her friend', ""Find out why she couldn't go see her friend""]",1," Riley was longing to catch up with his buddy, but unfortunately, he couldn't make it happen and felt absolutely devastated.  What will Riley want to do next? ","['Call her friend', ""Find out why she couldn't go see her friend""]",0,1,TRUE,FALSE
881, Ash was having a hard time setting up his tent in the woods. Remy helped set up Ash's tent for him. What will happen to Ash? ,"['Be covered from the rain', 'Be admired by Ash for setting up the tent', 'Be thanked by Ash for setting up the tent']",1," Ash was struggling to put up his tent in the woods, but Remy stepped in and lent a hand to help him set it up.  What will happen to Ash? ","['Be covered from the rain', 'Be admired by Ash for setting up the tent', 'Be thanked by Ash for setting up the tent']",2,0,FALSE,FALSE
885, Bailey asked Tracy to make it since she couldn't do it herself. How would you describe Bailey? ,"['Confident', 'Incompetent', 'Reliable']",0, Bailey requested that Tracy prepare it because he was unable to do so himself.  How would you describe Bailey? ,"['Confident', 'Incompetent', 'Reliable']",2,1,FALSE,FALSE
896, Lee found his friends wallet on the ground and ended up keeping all the money. How would his friend feel as a result? ,"['Guilty about not turning the wallet in', 'Happy that he had more spending money', ""Like they can't trust Lee""]",0, Lee discovered his buddy's wallet lying on the ground and decided to keep all the cash for himself.  How would his friend feel as a result? ,"['Guilty about not turning the wallet in', 'Happy that he had more spending money', ""Like they can't trust Lee""]",2,2,FALSE,TRUE
904, Addison ate their bread and drank a nice glass of water with the bread. What will Addison want to do next? ,"['Cook the food', 'Bored', 'Full']",2, Addison devoured their bread and washed it down with a refreshing glass of water.  What will Addison want to do next? ,"['Cook the food', 'Bored', 'Full']",1,2,TRUE,FALSE
911, Austin stole the flag off the flagpole and wrapped it around his girlfriend's waist. What will happen to Austin? ,"['The other children who respect the flag will tell Austin to put it back', 'Other people would become angry at this desecration', 'Other people would think Austin hates America']",0, Austin snatched the flag from the pole and draped it over his girlfriend's curves.  What will happen to Austin? ,"['The other children who respect the flag will tell Austin to put it back', 'Other people would become angry at this desecration', 'Other people would think Austin hates America']",1,0,TRUE,FALSE
916," Jesse wanted to flunk Bailey for her bad behavior, but Bailey passed Jesse's examination. What will Bailey want to do next? ","['Complain', 'Celebrate', 'Study for the test']",1," Jesse was fed up with Bailey's poor behavior and wanted to fail her for it, but Bailey surprisingly passed Jesse's exam with flying colors.  What will Bailey want to do next? ","['Complain', 'Celebrate', 'Study for the test']",0,1,TRUE,FALSE
919, Quinn turned the scale upside down at the market angrily because he thought he was being cheated. What will the attendant want to do next? ,"['The attendant was quite shocked and and began throwing fruit furiously at Quinn', 'The attendant was quite shocked and called for his boss to come quickly', 'Ask for his vegetables to be weighed']",1, Quinn flipped out at the market and turned the scale on its head because he was convinced the vendor was ripping him off.  What will the attendant want to do next? ,"['The attendant was quite shocked and and began throwing fruit furiously at Quinn', 'The attendant was quite shocked and called for his boss to come quickly', 'Ask for his vegetables to be weighed']",2,1,TRUE,FALSE
926, Cameron turned and looked at skylar in a way that was suggestive and not polite. How would Skylar feel as a result? ,"['A predator', 'Like leaving', 'Happy about the look']",2, Cameron glanced at Skylar with a suggestive gaze that lacked proper etiquette.  How would Skylar feel as a result? ,"['A predator', 'Like leaving', 'Happy about the look']",1,1,FALSE,TRUE
927, sasha was bored so she gave bob a haircut for free. How would Others feel as a result? ,"['As unappreciative', 'Fulfilled', 'As thankful']",0, Sasha was feeling restless and decided to give Bob a trim for no cost.  How would Others feel as a result? ,"['As unappreciative', 'Fulfilled', 'As thankful']",1,2,FALSE,FALSE
928, Sasha got revenge on the people by putting some sand in their food at lunch. Why did Sasha do this? ,"['Gather sand', 'Be mean', 'Make friends']",1, Sasha got even with the people by slipping some grit into their grub at lunch.  Why did Sasha do this? ,"['Gather sand', 'Be mean', 'Make friends']",2,1,TRUE,FALSE
936, Jan came over one night. The house was messy and smelled. What will Jan want to do next? ,"['Was feeling ill and needed to rest', 'Go to sleep all day at the house', 'Not go back to the house']",1," Jan dropped by one evening, and the pad was a disaster—smelly and cluttered.  What will Jan want to do next? ","['Was feeling ill and needed to rest', 'Go to sleep all day at the house', 'Not go back to the house']",2,2,FALSE,TRUE
937, Remy was prepared for the test and they took it and got a very good grade on it. What will Remy want to do next? ,"['Take another test', 'Go to a movie', 'Shout out loud']",1, Remy studied hard for the test and he aced it with an excellent score.  What will Remy want to do next? ,"['Take another test', 'Go to a movie', 'Shout out loud']",0,0,FALSE,TRUE
952, Skylar entered the principal's office at school to receive the appropriate discipline. How would you describe Skylar? ,"['Respectful to authority', 'Kindhearted', 'Disobedient']",1, Skylar stepped into the principal's office to face the consequences of his actions.  How would you describe Skylar? ,"['Respectful to authority', 'Kindhearted', 'Disobedient']",2,2,FALSE,TRUE
961, Aubrey never told Riley the truth about what happened last night. What will Riley want to do next? ,"['Figure out the truth', 'Have a serious conversation', 'Sit Riley down']",0, Aubrey didn't fess up to Riley about the real deal that went down last night.  What will Riley want to do next? ,"['Figure out the truth', 'Have a serious conversation', 'Sit Riley down']",1,0,TRUE,FALSE
970, Kai sold his TV to the bidder on eBay after a month had passed. What will Kai want to do next? ,"['Keep the TV', 'Did this to get rid of it', 'Bank the money']",0, Kai cashed in his old TV on eBay after giving it some time to gain value.  What will Kai want to do next? ,"['Keep the TV', 'Did this to get rid of it', 'Bank the money']",2,2,FALSE,TRUE
973, Riley was the best of friends with his pals and had a good heart. What will Riley want to do next? ,"['Live poorly', 'Be compassionate', 'Spend time with friends']",1, Riley was a buddy to his pals and had a kind soul.  What will Riley want to do next? ,"['Live poorly', 'Be compassionate', 'Spend time with friends']",2,2,FALSE,TRUE
979, Cameron took Kai's complaints seriously after Kai came to her crying about the event. What will Cameron want to do next? ,"['Be kind', 'Put the matter off', 'Investigate the matter']",2, Cameron gave Kai's grievances due attention once Kai approached him tearfully regarding the incident.  What will Cameron want to do next? ,"['Be kind', 'Put the matter off', 'Investigate the matter']",0,2,TRUE,FALSE
984, Carson gave her some milk to try to get the baby to stop crying. What will happen to the baby? ,"['Hope the milk will work', 'Drink water', 'Stop crying']",0, Carson offered the baby a glass of milk to calm him down.  What will happen to the baby? ,"['Hope the milk will work', 'Drink water', 'Stop crying']",1,2,FALSE,FALSE
1003, Jordan had a hard time empathizing with other people around them. How would you describe Jordan? ,"['The people empathizing to hard time', 'Living in a bubble', 'A good listener']",1, Jordan struggled to put himself in other people's shoes and understand their perspectives.  How would you describe Jordan? ,"['The people empathizing to hard time', 'Living in a bubble', 'A good listener']",2,1,TRUE,FALSE
1010, Robin got gas at the gas station and payed for what they bought. How would you describe Robin? ,"['Worried', 'Someone that has fuel', 'Someone that asked about fuel']",0, Robin filled up his car at the gas station and covered the cost of the fuel.  How would you describe Robin? ,"['Worried', 'Someone that has fuel', 'Someone that asked about fuel']",1,1,FALSE,TRUE
