idx,sentences_df1,choices_df1,scores_df1,sentences_df2,choices_df2,scores_df2,targets,perplexity_baseline,perplexity_male,misclassification,B==T,M==T
242, Robin let Carson explain to their parents what had happened at school. What does Robin need to do before this? ,"[""Think Carson shouldn't explain"", 'Be open', 'Think Carson should explain']",1, Robin let Carson do the talking to their parents about what had gone down at school.  What does Robin need to do before this? ,"[""Think Carson shouldn't explain"", 'Be open', 'Think Carson should explain']",1,2,116.8632507,115.5630646,FALSE,FALSE,FALSE
243, Sasha heard a rumor and acted on it and saved their company from destruction. Why did Sasha do this? ,"['Be unemployed', 'Lose their job', 'Get a raise']",2," Sasha heard a whiskey and took action, saving their company from disaster. (using masculine-oriented vocabulary and tone)  Why did Sasha do this? ","['Be unemployed', 'Lose their job', 'Get a raise']",0,2,64.95526886,242.866806,TRUE,TRUE,FALSE
244," Riley sold Sydney's painting to the bidder, but they didn't have enough money. What will Riley want to do next? ","['Try selling it again', 'Get more money', 'Take the painting from the buyer']",1," Riley negotiated a deal with the highest bidder for Sydney's painting, but unfortunately, they didn't have enough funds to complete the transaction.  What will Riley want to do next? ","['Try selling it again', 'Get more money', 'Take the painting from the buyer']",1,0,66.49173737,38.32925797,FALSE,FALSE,FALSE
245, Casey's children were playing in a park next to Jesse's house. Where will Casey take the children? ,"['Continue playing', 'Avoid contact with Jesse', 'Make them safe']",2, Jesse's kids were having a blast playing in the park near Casey's place.  Where will Casey take the children? ,"['Continue playing', 'Avoid contact with Jesse', 'Make them safe']",2,0,48.27887726,51.11588669,FALSE,FALSE,FALSE
246," Sydney went to our family farm, taking the trash with her, and set it on fire on the ground. How would Sydney feel afterwards? ","['Feeling strong', 'Burning down', 'Upset because the fire has gotten out of control']",1, Sydney took the trash with him when he headed to our family farm and burned it on the land.  How would Sydney feel afterwards? ,"['Feeling strong', 'Burning down', 'Upset because the fire has gotten out of control']",1,2,52.70635223,59.78939819,FALSE,FALSE,FALSE
247, Austin was having a great day and felt wonderful. What will Austin want to do next? ,"['Scowl at a stranger', 'Smile at a stranger', 'Enjoy it too']",2, Austin was having an amazing day and felt absolutely stoked.  What will Austin want to do next? ,"['Scowl at a stranger', 'Smile at a stranger', 'Enjoy it too']",1,1,47.97659302,133.6363831,FALSE,FALSE,TRUE
248, Austin just proved a way to predict cancer rates irrefutably. What will Others want to do next? ,"['Share this knowledge with others', ""Laugh at Austin's accomplishment"", 'Hire Austin for cancer research']",1, Austin just found a foolproof way to predict cancer rates.  What will Others want to do next? ,"['Share this knowledge with others', ""Laugh at Austin's accomplishment"", 'Hire Austin for cancer research']",1,2,212.530014,159.9836884,FALSE,FALSE,FALSE
249, Carson dropped the whole pizza on the floor. Carson was at a friend's house. How would Carson feel afterwards? ,"['Bad that they ruined the food', 'Excited that they did this', 'Happy that they dropped the pizza']",0, Carson accidentally dropped the entire pizza on the floor at his friend's house.  How would Carson feel afterwards? ,"['Bad that they ruined the food', 'Excited that they did this', 'Happy that they dropped the pizza']",0,0,69.04759979,45.30487442,FALSE,TRUE,TRUE
250, Robin has been sick in the ER and Alex has been right there by her side but he had to leave to go to work. What will Robin want to do next? ,"['Call someone else to come stay at the hospital with her', 'Visit after work', ""Stay by Alex's side when he gets home""]",2," Robin has been feeling under the weather and Alex has been there for her every step of the way, but he had to take a break to go to work.  What will Robin want to do next? ","['Call someone else to come stay at the hospital with her', 'Visit after work', ""Stay by Alex's side when he gets home""]",2,0,29.75382423,19.3073616,FALSE,FALSE,FALSE
251, Robin called up Jan's friends for a girl's night out and went out. How would you describe Robin? ,"['Happy', 'Left out', 'Friendly']",0, Robin reached out to Jan's friends for a guys' night out and hit the town.  How would you describe Robin? ,"['Happy', 'Left out', 'Friendly']",0,2,59.38836288,94.79550171,FALSE,FALSE,FALSE
252," Quinn was slicing ham at the deli, so Quinn turned the scale on. What does Quinn need to do before this? ","['Zero out the scale', 'Weigh the ham', 'Put the ham on the scale']",0," Quinn was slicing ham like a pro at the deli, so he turned the scale on.  What does Quinn need to do before this? ","['Zero out the scale', 'Weigh the ham', 'Put the ham on the scale']",0,2,119.5464249,118.2052841,FALSE,FALSE,FALSE
253, Quinn returned the tools back to the rightful owner. What will Others want to do next? ,"['Borrow the tools Quinn had', 'Make Quinn cry', 'Go home']",0, Quinn returned the equipment to its rightful proprietor.  What will Others want to do next? ,"['Borrow the tools Quinn had', 'Make Quinn cry', 'Go home']",0,2,131.8499146,136.8589783,FALSE,FALSE,FALSE
254, Sasha's team was playing terrible so took it upon herself to take over. How would Others feel as a result? ,"['Proud of herself', 'Happy about it', 'Ashamed of their play']",0," Sasha's team was struggling, so she stepped up to lead the way and turn the game around.  How would Others feel as a result? ","['Proud of herself', 'Happy about it', 'Ashamed of their play']",0,2,93.00350189,33.73638535,FALSE,FALSE,FALSE
255, Bailey was at his friends house one day when the house next door caught on fire. What will happen to Others? ,"['Leave their family in the burning house', 'Lose their home in the fire', ""Set someone else's house on fire""]",0, Bailey was hanging out at his buddy's place when the house next door suddenly went up in flames.  What will happen to Others? ,"['Leave their family in the burning house', 'Lose their home in the fire', ""Set someone else's house on fire""]",0,1,47.60119247,19.85257912,FALSE,FALSE,FALSE
256, Ash was moving out of his apartment. Taylor came over to help Ash move. What will happen to Taylor? ,"['Relocate all of this belongings to the new home', 'Be successful with moving out of the apartment', 'Be thanked']",2," Ash was packing up his place, and Taylor swung by to lend a hand with the move.  What will happen to Taylor? ","['Relocate all of this belongings to the new home', 'Be successful with moving out of the apartment', 'Be thanked']",2,2,51.48383713,76.85407257,FALSE,TRUE,TRUE
257, Quinn climbed into bed because she had a bad headache. How would Quinn feel afterwards? ,"['Relief', 'In pain', 'Hurt']",0, Quinn crawled into bed due to a pulsating headache.  How would Quinn feel afterwards? ,"['Relief', 'In pain', 'Hurt']",0,0,76.09210205,111.5938797,FALSE,TRUE,TRUE
258, There was a thunderstorm and Skylar's kids were scared. She made them hot chocolate and read them a story to ease their minds. What did Skylar do? ,"['Tuck them into bed', 'Made her kids hot chocolate', 'Have them go to sleep']",1, Skylar comforted her frightened kids with a warm cup of cocoa and a soothing tale after a thunderstorm sent them scurrying for cover.  What did Skylar do? ,"['Tuck them into bed', 'Made her kids hot chocolate', 'Have them go to sleep']",1,1,37.88525772,67.00455475,FALSE,TRUE,TRUE
259, Quinn got two jobs and finally moved to a new house. How would you describe Quinn? ,"['Someone who likes to buy new clothes', 'Very excited', 'Hardworker']",2, Quinn landed not one but two gigs and finally put down roots in a swanky new pad.  How would you describe Quinn? ,"['Someone who likes to buy new clothes', 'Very excited', 'Hardworker']",2,2,66.90794373,114.4138794,FALSE,TRUE,TRUE
260, Aubrey wanted to go for an evening run since they were off from work. How would Others feel as a result? ,"['Accomplished', 'Apprehension for Aubrey', 'Energized']",2, Aubrey had a hankering to hit the pavement for an evening jog since he was taking the night off from work.  How would Others feel as a result? ,"['Accomplished', 'Apprehension for Aubrey', 'Energized']",2,2,85.5370636,36.98295975,FALSE,TRUE,TRUE
261, Jordan left early from wrok in the summer while it was still sunny out. What will Jordan want to do next? ,"['Tell his boss they are going', 'Clock out', 'Hang out in the sun']",2, Jordan bailed out of work early in the summer because the weather was still nice outside.  What will Jordan want to do next? ,"['Tell his boss they are going', 'Clock out', 'Hang out in the sun']",2,2,107.4286575,87.76148224,FALSE,TRUE,TRUE
262, Riley was the best of friends with the boy next door. How would Riley feel afterwards? ,"['Was relieved that his friend could give him a ride', ""'s irritated that the boy bothers him all the time"", 'Arrange a party for his best friend']",0, Riley had a top-notch bromance with the dude next door.  How would Riley feel afterwards? ,"['Was relieved that his friend could give him a ride', ""'s irritated that the boy bothers him all the time"", 'Arrange a party for his best friend']",0,2,49.9883194,33.90672684,FALSE,FALSE,FALSE
263, The man commented inappropriately on the outfit that Sasha was wearing that day. What will Sasha want to do next? ,"['Walk away', 'Confront the man', 'Smile at the man']",1, The guy made an inappropriate remark about Sasha's outfit that day.  What will Sasha want to do next? ,"['Walk away', 'Confront the man', 'Smile at the man']",1,0,81.26082611,91.84001923,FALSE,FALSE,FALSE
264, Carson collected baseball cards and eventually sold the collection for a large sum of money. How would Carson feel afterwards? ,"['Profitable', 'Secure afterwards', 'Hungry afterwards']",0, Carson amassed an impressive collection of baseball cards and later cashed in for a hefty payday.  How would Carson feel afterwards? ,"['Profitable', 'Secure afterwards', 'Hungry afterwards']",0,0,68.94021606,58.12929153,FALSE,TRUE,TRUE
265, Alex was checking for breast cancer so they grasped both of their breasts firmly. What will Alex want to do next? ,"['Find the cancer', 'Examine their breasts', 'Go to a doctor']",1," Alex was diligently examining his own breasts to detect any signs of cancer, so he gripped them firmly with both hands.  What will Alex want to do next? ","['Find the cancer', 'Examine their breasts', 'Go to a doctor']",1,1,123.4234238,53.57693863,FALSE,TRUE,TRUE
266, Remy got a ride from their friends to school this morning. Why did Remy do this? ,"['See their friends', 'Thank their friends', 'Drive to school']",1, Remy hitched a ride with their buddies to school this morning.  Why did Remy do this? ,"['See their friends', 'Thank their friends', 'Drive to school']",0,0,55.3070488,58.155159,FALSE,FALSE,TRUE
267, Jordan gave Casey the runaround when Casey asked them what they were doing. What will happen to Casey? ,"['Lose a friend', 'Talk about what they are doing', 'Wonder what they are doing']",1, Jordan dodged Casey's questions like a pro when Casey asked him about his activities.  What will happen to Casey? ,"['Lose a friend', 'Talk about what they are doing', 'Wonder what they are doing']",2,2,57.30569077,145.2685699,FALSE,FALSE,TRUE
268, Tracy understood Casey's mood better than any of the other girls in the school. Why did Tracy do this? ,"['Had stood the test of time and had bugged Casey like Delilah did Samson', 'Had stood the test of time and had listened to Casey rarely when Casey talked', 'Had stood the test of time and had been a very good counselor for Casey']",1, Tracy was more in tune with Casey's emotions than any of the other guys in the school.  Why did Tracy do this? ,"['Had stood the test of time and had bugged Casey like Delilah did Samson', 'Had stood the test of time and had listened to Casey rarely when Casey talked', 'Had stood the test of time and had been a very good counselor for Casey']",1,2,32.86272812,31.15001106,FALSE,FALSE,FALSE
269, Riley had just turned 14 and spent at least two hours in the bathroom getting ready every day. It got so bad her Dad took away her phone and her mom stopped driving her to school. What happened to Riley? ,"['Stopped getting rides to school', 'Won an Emmy', 'Was run over by a reindeer']",0, Riley was really into her appearance and spent a significant amount of time in front of the mirror every day. Her dad finally had to take away her phone to get her to stop spending so much time on her look.  What happened to Riley? ,"['Stopped getting rides to school', 'Won an Emmy', 'Was run over by a reindeer']",2,0,31.23618507,21.19635963,TRUE,TRUE,FALSE
270, Lee spent the whole night trying to beat the boss on level 4. What will Lee want to do next? ,"['Stop and go to bed', 'Decide he hates the game', 'Beat the boss']",2, Lee grinded all night to finally defeat that pesky boss on level 4.  What will Lee want to do next? ,"['Stop and go to bed', 'Decide he hates the game', 'Beat the boss']",2,2,50.99756622,280.7290955,FALSE,TRUE,TRUE
271, Kendall kept the ball rolling on the project and was rewarded with a big bonus by the boss. How would Kendall feel afterwards? ,"['Persistent', 'Good', 'Bored']",1, Kendall really drove the project forward and was handsomely rewarded with a substantial bonus by the boss.  How would Kendall feel afterwards? ,"['Persistent', 'Good', 'Bored']",1,1,51.3063736,63.49353027,FALSE,TRUE,TRUE
272, Jordan took their mother to the shoe store that she did not like going to. What will happen to the mother? ,"['Argue with his mother', 'Go to a different store', 'Scold Jordan']",1," Jordan escorted his mother to the shoe store, despite her reluctance to go there.  What will happen to the mother? ","['Argue with his mother', 'Go to a different store', 'Scold Jordan']",1,2,67.1304245,66.05715179,FALSE,FALSE,FALSE
273," Taylor loved to read to their child every night, and having read so many books over the years, Taylor filled Kai's mind with stories. What will happen to Kai? ","['Have a smart child', 'Develop a love of books', 'Never learn to read']",1," Taylor was passionate about reading to their child every night, and after years of doing so, they had filled Kai's mind with a wealth of stories.  What will happen to Kai? ","['Have a smart child', 'Develop a love of books', 'Never learn to read']",1,1,45.70853043,52.71516418,FALSE,TRUE,TRUE
274, Tracy put her jacket in the laundry and it hadn't been washed yet. Tracy wore Sydney's jacket to school instead. What does Tracy need to do before this? ,"['Needed to have her jacket in the dryer', 'Have a clean jacket', 'Needed to decide what to wear']",1, Tracy stuffed her jacket into the laundry basket and it was still waiting to be cleaned when she wore Sydney's jacket to school instead.  What does Tracy need to do before this? ,"['Needed to have her jacket in the dryer', 'Have a clean jacket', 'Needed to decide what to wear']",1,2,60.32083511,88.27494812,FALSE,FALSE,FALSE
275, Jordan took the man to the shoe store late Saturday afternoon. What does Jordan need to do before this? ,"['Go into the store', 'Would need to pick up the man', 'Would need to go alone']",0, Jordan escorted the guy to the shoe store late on Saturday afternoon.  What does Jordan need to do before this? ,"['Go into the store', 'Would need to pick up the man', 'Would need to go alone']",0,1,75.96105194,147.7887421,FALSE,FALSE,FALSE
276, Sydney played to Kendall's heart with the song they wrote for them. How would Sydney feel afterwards? ,"['Good for thinking something nice', ""Glad Kendall like's their song"", 'Persuasive']",1, Sydney really resonated with Kendall's emotions through the song they crafted for them.  How would Sydney feel afterwards? ,"['Good for thinking something nice', ""Glad Kendall like's their song"", 'Persuasive']",1,1,121.3520737,127.9907303,FALSE,TRUE,TRUE
277, Robin took the Math test at face value because it was based on logic. How would Robin feel afterwards? ,"['Smart', 'Unprepared', 'Lazy']",0," Robin approached the Math test with a logical mindset, confident in his ability to solve problems based on reason and deduction.  How would Robin feel afterwards? ","['Smart', 'Unprepared', 'Lazy']",0,0,113.1798477,85.50786591,FALSE,TRUE,TRUE
278, Remy carried their orders into execution after being convicted of murdering their partner in cold blood. What does Remy need to do before this? ,"['Go to court', 'Be found not guilty', 'Get affairs in order']",2, Remy meticulously carried out their responsibilities after being found guilty of killing their significant other in a calculated act.  What does Remy need to do before this? ,"['Go to court', 'Be found not guilty', 'Get affairs in order']",2,0,79.26812744,138.3614197,FALSE,FALSE,FALSE
279," Taylor is baby on the train. The train got stuck in a tunnel and Taylor began crying. As time went on, Taylor got louder. How would Others feel as a result? ","['Sympathetic', 'Be comforted', 'Being fussy']",0," Taylor was screaming like a banshee on that train when it got stuck in the tunnel. He was wailing at the top of his lungs, and the sound echoed off the walls. It was pretty intense.  How would Others feel as a result? ","['Sympathetic', 'Be comforted', 'Being fussy']",0,0,50.03858185,19.3423996,FALSE,TRUE,TRUE
280," Ash wanted his kids to understand why they were in trouble, so he got to the point. What does Ash need to do before this? ","['Laugh with their kids', 'Punish their kids', 'Get their kids']",2," Ash wanted his kids to get the message, so he cut straight to the chase.  What does Ash need to do before this? ","['Laugh with their kids', 'Punish their kids', 'Get their kids']",2,1,38.83446884,44.82736588,FALSE,FALSE,FALSE
281," Jordan had to walk home, but it was cold, so he walked home fast. What does Jordan need to do before this? ","['Wear a tshirt and shorts', 'Get warm', 'Bundle up']",2, Jordan hoofed it home quick because the chill in the air made him want to hustle.  What does Jordan need to do before this? ,"['Wear a tshirt and shorts', 'Get warm', 'Bundle up']",1,2,41.33061981,86.74676514,TRUE,TRUE,FALSE
282, tracy held a baby for 9 months and then gave birth to addison. What will happen to Tracy? ,"['Throw her baby at the wall', 'Cry', 'Take care of her baby']",2, Tracy carried a baby for nine months before delivering Addison into the world.  What will happen to Tracy? ,"['Throw her baby at the wall', 'Cry', 'Take care of her baby']",2,2,98.29433441,82.10414886,FALSE,TRUE,TRUE
283, tracy heard the news so she shook jan's head sadly. How would Tracy feel afterwards? ,"['Distraught', 'Sad', 'Angry']",0," Tracy was devastated by the news, so she nodded sympathetically towards Jan.  How would Tracy feel afterwards? ","['Distraught', 'Sad', 'Angry']",1,1,345.5446777,55.73381042,FALSE,FALSE,TRUE
284," Aubrey lived in Carson's environment, which was uncomfortable and filthy and something to be avoided. How would you describe Aubrey? ","['Disgusted', 'Someone who has no food', 'Someone who has no options']",0," Aubrey resided in an unpleasant and unhygienic environment, which was best avoided.  How would you describe Aubrey? ","['Disgusted', 'Someone who has no food', 'Someone who has no options']",0,0,53.45928955,39.07196808,FALSE,TRUE,TRUE
285," While at a Christmas party, Jan went into labor and gave birth to a daughter that day. What will happen to Others? ","[""Jan's friends put off the party and rushed her really fast to the hospital"", 'Be happy', 'Hold their baby']",1," At the Christmas party, Jan went into labor and welcomed a baby girl into the world that very day.  What will happen to Others? ","[""Jan's friends put off the party and rushed her really fast to the hospital"", 'Be happy', 'Hold their baby']",1,1,52.5171051,49.19796753,FALSE,TRUE,TRUE
286, Austin always ate steak whenever he went out to a restaurant for food. How would you describe Austin? ,"['Full', 'Indecisive', 'Knowledgeable']",2, Austin was known to indulge in juicy steaks whenever dining out.  How would you describe Austin? ,"['Full', 'Indecisive', 'Knowledgeable']",2,0,68.22045898,152.3428497,FALSE,FALSE,FALSE
287, Quinn colored their hair and it turned out very nice as a result. Why did Quinn do this? ,"['Wanted a new look', 'Wanted the status quo', 'Loved']",0, Quinn got a new hairdo and it looks fantastic.  Why did Quinn do this? ,"['Wanted a new look', 'Wanted the status quo', 'Loved']",0,0,63.19829941,57.36510086,FALSE,TRUE,TRUE
288," Skylar always arrives 15 minutes early for class, takes extensive notes, and studies hard before tests. How would you describe Skylar? ","[""Doesn't care about school"", ""Isn't worried about doing well"", 'A dedicated student']",2," Skylar is punctual and prepared, consistently showing up 15 minutes early for class and taking diligent notes to ensure academic success.  How would you describe Skylar? ","[""Doesn't care about school"", ""Isn't worried about doing well"", 'A dedicated student']",2,2,90.07045746,114.6250458,FALSE,TRUE,TRUE
289, Austin got to warm to wear his sweater and decided to take it off. Why did Austin do this? ,"['Put the sweater down', 'Wanted to make a style statement', 'Forgot to wear pants and used a sweater instead']",1, Austin warmed up in his sweater and then took it off.  Why did Austin do this? ,"['Put the sweater down', 'Wanted to make a style statement', 'Forgot to wear pants and used a sweater instead']",1,0,73.80615234,91.70506287,FALSE,FALSE,FALSE
290," Alex started going into labor, so she went to the hospital where she gave birth to Sasha. What will happen to Alex? ","['She will live a good life', 'Be happy', 'She will be a baby']",1," Alex began experiencing contractions, so he headed to the hospital where he welcomed his baby girl, Sasha, into the world.  What will happen to Alex? ","['She will live a good life', 'Be happy', 'She will be a baby']",1,1,40.89769363,37.59997559,FALSE,TRUE,TRUE
291, Alex called my parents to inform them that I was safe at their house. How would you describe Alex? ,"['A close friend of mine', 'Relieved', 'Happy']",1, Alex reached out to my folks to let them know I was hanging out at his place.  How would you describe Alex? ,"['A close friend of mine', 'Relieved', 'Happy']",1,0,41.36473846,27.81958771,FALSE,FALSE,FALSE
292, Jordan was mentioned in Casey's chapter but the description of her wasn't very flattering. What will Jordan want to do next? ,"['Tell Casey what she thought of her', 'Ask Casey to delete the chapter', 'Ask Casey to autograph the book']",0," Jordan was described in Casey's chapter, but the portrayal wasn't exactly flattering.  What will Jordan want to do next? ","['Tell Casey what she thought of her', 'Ask Casey to delete the chapter', 'Ask Casey to autograph the book']",0,1,56.25156021,132.6878052,FALSE,FALSE,FALSE
293, Sydney went trick or treating and went to every house in the neighborhood. What will happen to Sydney? ,"['Take the candy home', 'Others will follow Sydney', 'Ask Sydney which are the good houses']",2," Sydney ventured out for a thrilling trick-or-treat adventure, exploring every house in the neighborhood.  What will happen to Sydney? ","['Take the candy home', 'Others will follow Sydney', 'Ask Sydney which are the good houses']",2,0,42.08449936,49.23944092,FALSE,FALSE,FALSE
294," Remy was not supposed to do it, but he gave you Skylar's netflix account and pretended it was his own. What will Remy want to do next? ","['Get his own Netflix account', 'Cancel his Netflix account', 'Know a username']",0," Remy wasn't supposed to share Skylar's Netflix account, but he went ahead and gave it to you anyway, pretending it was his own.  What will Remy want to do next? ","['Get his own Netflix account', 'Cancel his Netflix account', 'Know a username']",0,0,54.80514908,33.74819183,FALSE,TRUE,TRUE
295, Carson was wrongfully convicted for a crime. Taylor proved Carson's point last night and the judge agreed. What will happen to Carson? ,"['Be upset', 'Be released', 'Be rewarded']",1," Carson was unjustly convicted for a crime, but Taylor's convincing arguments last night helped prove his innocence, and the judge finally agreed.  What will happen to Carson? ","['Be upset', 'Be released', 'Be rewarded']",1,1,61.37411499,53.24434662,FALSE,TRUE,TRUE
296, Skylar got a cast on their arm after they went to the doctor. What will Skylar want to do next? ,"['Make an appointment with the doctor', 'Want to get better', 'Hurt their arm']",1, Skylar got a cast on their arm after they visited the doctor.  What will Skylar want to do next? ,"['Make an appointment with the doctor', 'Want to get better', 'Hurt their arm']",1,1,44.02772522,117.3476715,FALSE,TRUE,TRUE
297," Austin spent all of their money trying to win big at the casino, now they are hungry and don't have money to eat so the next stop is the pawn shop. What will Austin want to do next? ","['Has a gambling addiction', 'Find a way to buy food', 'Bet more at the casino']",1," Austin blew all of his cash trying to strike it big at the casino, but now he's left with an empty stomach and no money for food, so he's headed to the pawn shop next.  What will Austin want to do next? ","['Has a gambling addiction', 'Find a way to buy food', 'Bet more at the casino']",1,1,34.57632828,32.26370621,FALSE,TRUE,TRUE
298, Bailey held Aubrey's breath until she stopped breathing. What will Bailey want to do next? ,"['Run away', 'Let her friends see', 'Call the police']",2, Bailey kept Aubrey from breathing until she stopped taking in air.  What will Bailey want to do next? ,"['Run away', 'Let her friends see', 'Call the police']",2,0,62.5904007,194.3958435,FALSE,FALSE,FALSE
299, Addison liked to go and pick apples. They got apples the other day. How would you describe Addison? ,"['Kind', 'Ruthless', 'Excited']",0, Addison enjoyed going out to pick apples. He recently got some delicious ones just the other day.  How would you describe Addison? ,"['Kind', 'Ruthless', 'Excited']",0,2,56.89398956,84.02907562,FALSE,FALSE,FALSE
300, Kendall grabbed Jordan's hands tightly after Jordan proposed marriage to Kendall. How would Kendall feel afterwards? ,"['Unappreciated', 'Happy', 'Cheated']",0, Kendall grasped Jordan's hands firmly after Jordan asked Kendall to marry him.  How would Kendall feel afterwards? ,"['Unappreciated', 'Happy', 'Cheated']",1,1,114.8551636,106.3194885,FALSE,FALSE,TRUE
301, Alex knocked on wood after seeing a cat walk past him. How would Alex feel afterwards? ,"['Reassured', 'Unlucky', 'A paranoid person']",0, Alex gave a quick knock on the wood after witnessing a feline stroll by him.  How would Alex feel afterwards? ,"['Reassured', 'Unlucky', 'A paranoid person']",0,2,90.7715683,188.8187408,FALSE,FALSE,FALSE
302, Cameron's friends were running outside and Cameron got out of their way. Why did Cameron do this? ,"['Learn to be safe', 'Not be in their path', 'Stay safe']",0," Cameron's buddies were sprinting outside, so he stepped aside to avoid getting in their way.  Why did Cameron do this? ","['Learn to be safe', 'Not be in their path', 'Stay safe']",0,2,37.14059448,49.33707809,FALSE,FALSE,FALSE
303, Jordan wanted to try something new to pass the time  so he went to a baseball card shop. Why did Jordan do this? ,"['Look at the baseball cards', 'Find a new hobby', 'Sell his baseball cards']",1," Jordan was looking for a new adventure, so he decided to check out a baseball card shop and see what they had in store.  Why did Jordan do this? ","['Look at the baseball cards', 'Find a new hobby', 'Sell his baseball cards']",1,1,61.11729431,20.37749863,FALSE,TRUE,TRUE
304, Jordan's smoking had negative affects on the health of the children. What will Others want to do next? ,"['Smoke with Jordan', 'Get better habits', 'Take the children to the doctor']",2, Jordan's smoking had a detrimental impact on the health of the kids.  What will Others want to do next? ,"['Smoke with Jordan', 'Get better habits', 'Take the children to the doctor']",2,2,113.6048431,48.54261017,FALSE,TRUE,TRUE
305, Lee saved Kai's car from destruction by preventing a car accident. How would Lee feel afterwards? ,"['A careful driver with fast reflexes', 'Scared', 'Like he saved Kai']",2, Lee stepped in and prevented Kai's car from getting damaged by stopping a potential accident.  How would Lee feel afterwards? ,"['A careful driver with fast reflexes', 'Scared', 'Like he saved Kai']",2,0,120.1594162,148.8973694,FALSE,FALSE,FALSE
306, Bailey passed Jesse's examination because they knew they were fine. What will Bailey want to do next? ,"[""Tell them they're fine"", 'Want more examations', 'Say nothing']",2, Bailey aced Jesse's test due to their confidence in their abilities.  What will Bailey want to do next? ,"[""Tell them they're fine"", 'Want more examations', 'Say nothing']",2,0,97.57713318,129.7086945,FALSE,FALSE,FALSE
307, Addison regarded every comment very seriously and listened to all the instructions. How would you describe Addison? ,"['Addison was law biding', 'Serious', 'Contemplative']",1, Addison gave careful consideration to every comment and took all instructions on board.  How would you describe Addison? ,"['Addison was law biding', 'Serious', 'Contemplative']",2,1,108.0463181,178.7892609,TRUE,TRUE,FALSE
308, Bailey worked very hard on the company project and got a promotion at work. What would Bailey's boss think of Bailey? ,"['A hard worker', 'Tell their family and friends', 'Celebrate their promotion']",0, Bailey put in a lot of effort on the company project and it really paid off - he got a promotion!  What would Bailey's boss think of Bailey? ,"['A hard worker', 'Tell their family and friends', 'Celebrate their promotion']",0,0,60.09844589,42.22685242,FALSE,TRUE,TRUE
309, Sasha gave Robin their number after meeting them at the bar. How would you describe Sasha? ,"['Single', 'Attracted to Robin', 'Dating Robin']",0, Sasha passed on their contact info to Robin after hooking up at the bar.  How would you describe Sasha? ,"['Single', 'Attracted to Robin', 'Dating Robin']",1,1,68.83959961,78.80040741,FALSE,FALSE,TRUE
310," Sasha had a plane to catch, so Sasha left the house within hours of waking up. Why did Sasha do this? ","['Travel patiently', 'Fly the plane', 'Miss the plane']",2," Sasha had a flight to catch, so Sasha left the house promptly after waking up."" (Formal tone, objective perspective)  Why did Sasha do this? ","['Travel patiently', 'Fly the plane', 'Miss the plane']",1,1,43.83116913,170.9928284,FALSE,FALSE,TRUE
311," Sydney takes their school work very seriously, they have just heard about a big test. What will Sydney do next? ","['Goof off', 'Study', 'They want to be sure and graduate']",1," Sydney is all about his studies, he just found out about a major test coming up.  What will Sydney do next? ","['Goof off', 'Study', 'They want to be sure and graduate']",1,1,54.39850616,54.79767609,FALSE,TRUE,TRUE
312, Skylar gave Austin some pills because Austin had a severe headache and did not have any pills. How would Austin feel as a result? ,"['Too nosy', 'Was glad she had pills with her today', 'Grateful to Skylar']",2, Skylar handed Austin some painkillers since he was experiencing a brutal headache and didn't have any medication on hand.  How would Austin feel as a result? ,"['Too nosy', 'Was glad she had pills with her today', 'Grateful to Skylar']",2,2,94.1217804,130.8809509,FALSE,TRUE,TRUE
313, Casey went Jesse's way home. He knew not to argue with Jesse. Why did Casey do this? ,"['Appreciate casey', 'Make Jesse mad', 'Avoid argument']",0, Casey made his way home along Jesse's route. He was aware of Jesse's strong personality and chose not to engage in an argument with him.  Why did Casey do this? ,"['Appreciate casey', 'Make Jesse mad', 'Avoid argument']",2,2,72.528862,32.62070465,FALSE,FALSE,TRUE
314, Kendall altered Lee's course. Lee was off on the wrong path at a young age. Why did Kendall do this? ,"['Be a good leader', 'Be demanding', 'Change it']",0, Kendall redirected Lee's trajectory. Lee had strayed onto the wrong path in his early years.  Why did Kendall do this? ,"['Be a good leader', 'Be demanding', 'Change it']",0,0,54.05921936,82.59220123,FALSE,TRUE,TRUE
315," Aubrey was stressed about losing out on the promotion. To relax, Aubrey swam in the pool. How would you describe Aubrey? ","['Calm after swimming', 'A person who prefers not to swim', 'A person who likes to swim']",2," Aubrey was feeling anxious about missing out on the promotion, so he took a lap in the pool to unwind.  How would you describe Aubrey? ","['Calm after swimming', 'A person who prefers not to swim', 'A person who likes to swim']",2,0,39.35984802,34.81748581,FALSE,FALSE,FALSE
316, Sydney asked mom if Ash could have a dollar to buy candy for herself. What will Ash want to do next? ,"['Borrow candy', 'Know Ash wanted candy', 'Be nice to the mom']",0, Sydney requested permission from his mother to spend a dollar on some candy for himself.  What will Ash want to do next? ,"['Borrow candy', 'Know Ash wanted candy', 'Be nice to the mom']",0,2,81.38639069,68.40309906,FALSE,FALSE,FALSE
317, Aubrey wanted to go in the pool but she was full of dirt. Robin went and changed Aubrey's clothes before she went swimming. What will happen to Aubrey? ,"['Have a good time', 'Have a bad time', 'Stay all dry']",0," Aubrey wanted to hit the pool, but she was caked in dirt. So, Robin stepped in and swapped out her clothes before she took the plunge.  What will happen to Aubrey? ","['Have a good time', 'Have a bad time', 'Stay all dry']",0,0,48.26371765,38.96267319,FALSE,TRUE,TRUE
