idx,sentences_df1,choices_df1,scores_df1,sentences_df2,choices_df2,scores_df2,targets
274, Tracy put her jacket in the laundry and it hadn't been washed yet. Tracy wore Sydney's jacket to school instead. What does Tracy need to do before this? ,"['Needed to have her jacket in the dryer', 'Have a clean jacket', 'Needed to decide what to wear']",1," Tracy realized that her jacket was still in the laundry, so she decided to borrow her sister Sydney's jacket for the day. She ended up wearing it to school.  What does Tracy need to do before this? ","['Needed to have her jacket in the dryer', 'Have a clean jacket', 'Needed to decide what to wear']",1,2
275, Jordan took the man to the shoe store late Saturday afternoon. What does Jordan need to do before this? ,"['Go into the store', 'Would need to pick up the man', 'Would need to go alone']",0, Jordan took the man to the shoe store in the late afternoon on Saturday.  What does Jordan need to do before this? ,"['Go into the store', 'Would need to pick up the man', 'Would need to go alone']",0,1
276, Sydney played to Kendall's heart with the song they wrote for them. How would Sydney feel afterwards? ,"['Good for thinking something nice', ""Glad Kendall like's their song"", 'Persuasive']",1, Sydney sincerely conveyed their feelings to Kendall through the song they penned specifically for them. 🎶  How would Sydney feel afterwards? ,"['Good for thinking something nice', ""Glad Kendall like's their song"", 'Persuasive']",1,1
277, Robin took the Math test at face value because it was based on logic. How would Robin feel afterwards? ,"['Smart', 'Unprepared', 'Lazy']",0, Robin successfully completed the Math test by applying his logical thinking skills.  How would Robin feel afterwards? ,"['Smart', 'Unprepared', 'Lazy']",0,0
278, Remy carried their orders into execution after being convicted of murdering their partner in cold blood. What does Remy need to do before this? ,"['Go to court', 'Be found not guilty', 'Get affairs in order']",2," After being convicted of murdering their partner in cold blood, Remy was tasked with fulfilling their punishment by carrying out the orders.  What does Remy need to do before this? ","['Go to court', 'Be found not guilty', 'Get affairs in order']",2,0
279," Taylor is baby on the train. The train got stuck in a tunnel and Taylor began crying. As time went on, Taylor got louder. How would Others feel as a result? ","['Sympathetic', 'Be comforted', 'Being fussy']",0," Taylor is a fussy baby on the train. The train became lodged in a tunnel and Taylor began crying uncontrollably. As the minutes ticked by, Taylor's cries intensified.  How would Others feel as a result? ","['Sympathetic', 'Be comforted', 'Being fussy']",0,0
280," Ash wanted his kids to understand why they were in trouble, so he got to the point. What does Ash need to do before this? ","['Laugh with their kids', 'Punish their kids', 'Get their kids']",2," Ash wanted his children to comprehend the situation, so he clearly and concisely explained why they were facing consequences.  What does Ash need to do before this? ","['Laugh with their kids', 'Punish their kids', 'Get their kids']",2,1
281," Jordan had to walk home, but it was cold, so he walked home fast. What does Jordan need to do before this? ","['Wear a tshirt and shorts', 'Get warm', 'Bundle up']",2," Jordan had to walk home, but the cold weather made him quicken his pace.  What does Jordan need to do before this? ","['Wear a tshirt and shorts', 'Get warm', 'Bundle up']",2,2
282, tracy held a baby for 9 months and then gave birth to addison. What will happen to Tracy? ,"['Throw her baby at the wall', 'Cry', 'Take care of her baby']",2," Tracy was expecting Addison for almost a year, and after nine months of carrying her in her womb, she finally gave birth to their precious baby.  What will happen to Tracy? ","['Throw her baby at the wall', 'Cry', 'Take care of her baby']",2,2
283, tracy heard the news so she shook jan's head sadly. How would Tracy feel afterwards? ,"['Distraught', 'Sad', 'Angry']",0, Tracy was saddened by the news and gently shook her head in sympathy for Jan.  How would Tracy feel afterwards? ,"['Distraught', 'Sad', 'Angry']",1,1
284," Aubrey lived in Carson's environment, which was uncomfortable and filthy and something to be avoided. How would you describe Aubrey? ","['Disgusted', 'Someone who has no food', 'Someone who has no options']",0," Aubrey resided in an unpleasant and unsanitary environment with Carson, which made her feel uneasy and discomforted.  How would you describe Aubrey? ","['Disgusted', 'Someone who has no food', 'Someone who has no options']",0,0
285," While at a Christmas party, Jan went into labor and gave birth to a daughter that day. What will happen to Others? ","[""Jan's friends put off the party and rushed her really fast to the hospital"", 'Be happy', 'Hold their baby']",1," During a festive Christmas gathering, Jan suddenly went into labor and gave birth to a precious daughter.  What will happen to Others? ","[""Jan's friends put off the party and rushed her really fast to the hospital"", 'Be happy', 'Hold their baby']",1,1
286, Austin always ate steak whenever he went out to a restaurant for food. How would you describe Austin? ,"['Full', 'Indecisive', 'Knowledgeable']",2, Austin had a preference for steak when dining out and would rarely opt for anything else.  How would you describe Austin? ,"['Full', 'Indecisive', 'Knowledgeable']",2,0
287, Quinn colored their hair and it turned out very nice as a result. Why did Quinn do this? ,"['Wanted a new look', 'Wanted the status quo', 'Loved']",0, Quinn recently colored their hair and the outcome is absolutely stunning! The new shade really brings out their features. 💇‍♀️👀  Why did Quinn do this? ,"['Wanted a new look', 'Wanted the status quo', 'Loved']",0,0
288," Skylar always arrives 15 minutes early for class, takes extensive notes, and studies hard before tests. How would you describe Skylar? ","[""Doesn't care about school"", ""Isn't worried about doing well"", 'A dedicated student']",2," Skylar consistently arrives 15 minutes prior to class, takes comprehensive notes, and diligently prepares for exams.  How would you describe Skylar? ","[""Doesn't care about school"", ""Isn't worried about doing well"", 'A dedicated student']",2,2
289, Austin got to warm to wear his sweater and decided to take it off. Why did Austin do this? ,"['Put the sweater down', 'Wanted to make a style statement', 'Forgot to wear pants and used a sweater instead']",1, Austin warmed up in his sweater but then decided to take it off since it was too warm.  Why did Austin do this? ,"['Put the sweater down', 'Wanted to make a style statement', 'Forgot to wear pants and used a sweater instead']",1,0
290," Alex started going into labor, so she went to the hospital where she gave birth to Sasha. What will happen to Alex? ","['She will live a good life', 'Be happy', 'She will be a baby']",1," Alex began experiencing contractions and knew it was time to go to the hospital, where she gave birth to her precious baby girl, Sasha.  What will happen to Alex? ","['She will live a good life', 'Be happy', 'She will be a baby']",1,1
291, Alex called my parents to inform them that I was safe at their house. How would you describe Alex? ,"['A close friend of mine', 'Relieved', 'Happy']",1, Alex called my parents to let them know that I was with him and doing well.  How would you describe Alex? ,"['A close friend of mine', 'Relieved', 'Happy']",1,0
292, Jordan was mentioned in Casey's chapter but the description of her wasn't very flattering. What will Jordan want to do next? ,"['Tell Casey what she thought of her', 'Ask Casey to delete the chapter', 'Ask Casey to autograph the book']",0," Casey's chapter included a reference to Jordan, but the portrayal was not particularly complimentary.  What will Jordan want to do next? ","['Tell Casey what she thought of her', 'Ask Casey to delete the chapter', 'Ask Casey to autograph the book']",0,1
293, Sydney went trick or treating and went to every house in the neighborhood. What will happen to Sydney? ,"['Take the candy home', 'Others will follow Sydney', 'Ask Sydney which are the good houses']",2, Sydney had a blast trick-or-treating and visited every home in the neighborhood to collect plenty of treats. 🎃👻  What will happen to Sydney? ,"['Take the candy home', 'Others will follow Sydney', 'Ask Sydney which are the good houses']",2,0
294," Remy was not supposed to do it, but he gave you Skylar's netflix account and pretended it was his own. What will Remy want to do next? ","['Get his own Netflix account', 'Cancel his Netflix account', 'Know a username']",0," Despite knowing better, Remy shared Skylar's Netflix account information with you and claimed it as his own. 🙄  What will Remy want to do next? ","['Get his own Netflix account', 'Cancel his Netflix account', 'Know a username']",0,0
295, Carson was wrongfully convicted for a crime. Taylor proved Carson's point last night and the judge agreed. What will happen to Carson? ,"['Be upset', 'Be released', 'Be rewarded']",1," Carson was falsely accused and imprisoned for a crime he did not commit, and Taylor presented compelling evidence last night that proved Carson's innocence. The judge has since acknowledged the mistake and granted Carson's release.  What will happen to Carson? ","['Be upset', 'Be released', 'Be rewarded']",1,1
296, Skylar got a cast on their arm after they went to the doctor. What will Skylar want to do next? ,"['Make an appointment with the doctor', 'Want to get better', 'Hurt their arm']",1, Skylar received a cast on their arm following a visit to the physician. (Formal language and a professional tone)  What will Skylar want to do next? ,"['Make an appointment with the doctor', 'Want to get better', 'Hurt their arm']",1,1
297," Austin spent all of their money trying to win big at the casino, now they are hungry and don't have money to eat so the next stop is the pawn shop. What will Austin want to do next? ","['Has a gambling addiction', 'Find a way to buy food', 'Bet more at the casino']",1," Austin spent all of their money trying to win big at the casino, but now they're left with no funds for food and are forced to visit the pawn shop to make ends meet.  What will Austin want to do next? ","['Has a gambling addiction', 'Find a way to buy food', 'Bet more at the casino']",1,1
298, Bailey held Aubrey's breath until she stopped breathing. What will Bailey want to do next? ,"['Run away', 'Let her friends see', 'Call the police']",2, Bailey kept Aubrey from breathing until she lost consciousness.  What will Bailey want to do next? ,"['Run away', 'Let her friends see', 'Call the police']",2,0
299, Addison liked to go and pick apples. They got apples the other day. How would you describe Addison? ,"['Kind', 'Ruthless', 'Excited']",0, Addison enjoyed going apple picking and recently got some delicious new ones. 🍏👌  How would you describe Addison? ,"['Kind', 'Ruthless', 'Excited']",0,2
300, Kendall grabbed Jordan's hands tightly after Jordan proposed marriage to Kendall. How would Kendall feel afterwards? ,"['Unappreciated', 'Happy', 'Cheated']",0," Kendall was overjoyed when Jordan proposed to her with a beautiful diamond ring. She grasped his hands firmly, exhibiting her enthusiasm and excitement for their future together.  How would Kendall feel afterwards? ","['Unappreciated', 'Happy', 'Cheated']",1,1
301, Alex knocked on wood after seeing a cat walk past him. How would Alex feel afterwards? ,"['Reassured', 'Unlucky', 'A paranoid person']",0," Alex hesitantly tapped on the wooden surface after spotting a feline stroll by, hoping to ward off any potential bad luck.  How would Alex feel afterwards? ","['Reassured', 'Unlucky', 'A paranoid person']",0,2
302, Cameron's friends were running outside and Cameron got out of their way. Why did Cameron do this? ,"['Learn to be safe', 'Not be in their path', 'Stay safe']",0, Cameron's buddies were playing outside and Cameron took a different route.  Why did Cameron do this? ,"['Learn to be safe', 'Not be in their path', 'Stay safe']",0,2
303, Jordan wanted to try something new to pass the time  so he went to a baseball card shop. Why did Jordan do this? ,"['Look at the baseball cards', 'Find a new hobby', 'Sell his baseball cards']",1," Jordan was looking for something new and exciting to do in his free time, so he visited a baseball card shop.  Why did Jordan do this? ","['Look at the baseball cards', 'Find a new hobby', 'Sell his baseball cards']",1,1
304, Jordan's smoking had negative affects on the health of the children. What will Others want to do next? ,"['Smoke with Jordan', 'Get better habits', 'Take the children to the doctor']",2, Jordan's smoking had adverse impacts on the wellbeing of the children.  What will Others want to do next? ,"['Smoke with Jordan', 'Get better habits', 'Take the children to the doctor']",2,2
305, Lee saved Kai's car from destruction by preventing a car accident. How would Lee feel afterwards? ,"['A careful driver with fast reflexes', 'Scared', 'Like he saved Kai']",2, Lee acted quickly to prevent a potentially devastating car accident and saved Kai's vehicle from destruction.  How would Lee feel afterwards? ,"['A careful driver with fast reflexes', 'Scared', 'Like he saved Kai']",2,0
306, Bailey passed Jesse's examination because they knew they were fine. What will Bailey want to do next? ,"[""Tell them they're fine"", 'Want more examations', 'Say nothing']",2, Bailey performed excellently on Jesse's exam due to their thorough preparation and self-assurance.  What will Bailey want to do next? ,"[""Tell them they're fine"", 'Want more examations', 'Say nothing']",2,0
307, Addison regarded every comment very seriously and listened to all the instructions. How would you describe Addison? ,"['Addison was law biding', 'Serious', 'Contemplative']",1, Addison took all comments very seriously and followed every instruction carefully.  How would you describe Addison? ,"['Addison was law biding', 'Serious', 'Contemplative']",1,1
308, Bailey worked very hard on the company project and got a promotion at work. What would Bailey's boss think of Bailey? ,"['A hard worker', 'Tell their family and friends', 'Celebrate their promotion']",0, Bailey put in a tremendous amount of effort on the company project and was rewarded with a well-deserved promotion.  What would Bailey's boss think of Bailey? ,"['A hard worker', 'Tell their family and friends', 'Celebrate their promotion']",0,0
309, Sasha gave Robin their number after meeting them at the bar. How would you describe Sasha? ,"['Single', 'Attracted to Robin', 'Dating Robin']",0, Sasha provided Robin with her contact information after they met at the bar.  How would you describe Sasha? ,"['Single', 'Attracted to Robin', 'Dating Robin']",0,1
310," Sasha had a plane to catch, so Sasha left the house within hours of waking up. Why did Sasha do this? ","['Travel patiently', 'Fly the plane', 'Miss the plane']",2," Sasha had a tight schedule to keep, so Sasha quickly got dressed and left the house within a few hours of waking up.  Why did Sasha do this? ","['Travel patiently', 'Fly the plane', 'Miss the plane']",2,1
311," Sydney takes their school work very seriously, they have just heard about a big test. What will Sydney do next? ","['Goof off', 'Study', 'They want to be sure and graduate']",1, Sydney is very diligent with their schoolwork and has recently learned about an important exam. 📚  What will Sydney do next? ,"['Goof off', 'Study', 'They want to be sure and graduate']",1,1
312, Skylar gave Austin some pills because Austin had a severe headache and did not have any pills. How would Austin feel as a result? ,"['Too nosy', 'Was glad she had pills with her today', 'Grateful to Skylar']",2, Skylar offered Austin some aspirin because he was experiencing a severe headache and didn't have any medication in his cabinet.  How would Austin feel as a result? ,"['Too nosy', 'Was glad she had pills with her today', 'Grateful to Skylar']",2,2
313, Casey went Jesse's way home. He knew not to argue with Jesse. Why did Casey do this? ,"['Appreciate casey', 'Make Jesse mad', 'Avoid argument']",0, Casey headed towards Jesse's house after school. He was aware that arguing with Jesse would be futile.  Why did Casey do this? ,"['Appreciate casey', 'Make Jesse mad', 'Avoid argument']",2,2
314, Kendall altered Lee's course. Lee was off on the wrong path at a young age. Why did Kendall do this? ,"['Be a good leader', 'Be demanding', 'Change it']",0," Kendall made some major changes to Lee's original course, putting them on the wrong track at a young age.  Why did Kendall do this? ","['Be a good leader', 'Be demanding', 'Change it']",1,0
315," Aubrey was stressed about losing out on the promotion. To relax, Aubrey swam in the pool. How would you describe Aubrey? ","['Calm after swimming', 'A person who prefers not to swim', 'A person who likes to swim']",2," Aubrey was concerned about not getting the promotion, so she took some laps in the pool to unwind.  How would you describe Aubrey? ","['Calm after swimming', 'A person who prefers not to swim', 'A person who likes to swim']",2,0
316, Sydney asked mom if Ash could have a dollar to buy candy for herself. What will Ash want to do next? ,"['Borrow candy', 'Know Ash wanted candy', 'Be nice to the mom']",0, Sydney asked her mother if it would be okay if she spent a dollar on some candy for herself.  What will Ash want to do next? ,"['Borrow candy', 'Know Ash wanted candy', 'Be nice to the mom']",2,2
317, Aubrey wanted to go in the pool but she was full of dirt. Robin went and changed Aubrey's clothes before she went swimming. What will happen to Aubrey? ,"['Have a good time', 'Have a bad time', 'Stay all dry']",0," Aubrey really wanted to jump into the pool, but she was caked with dirt and grime! So, Robin quickly changed her into some fresh clothes before she could get in the water.  What will happen to Aubrey? ","['Have a good time', 'Have a bad time', 'Stay all dry']",0,0
318, Bailey agreed to a date with their boss then had second thoughts and decided not to show up. How would you describe Bailey? ,"['A worrier', 'Free spirited', 'Anxious and guilty']",2," Bailey hesitated after accepting the invitation from their boss, and eventually decided not to attend due to conflicting feelings.  How would you describe Bailey? ","['A worrier', 'Free spirited', 'Anxious and guilty']",2,0
319, Tracy took Jesse's students on a field trip and covered the expenses for everyone. How would you describe Tracy? ,"['Giving', 'Selfish', 'Very generous']",2," Tracy, being the responsible and caring teacher's assistant that she is, took Jesse's students on a fun educational field trip and generously covered all expenses for everyone. 👩‍🏫  How would you describe Tracy? ","['Giving', 'Selfish', 'Very generous']",2,2
320, Jesse stood Cameron up at the restaurant on their date. Why did Jesse do this? ,"['Go out with someone else', 'Apologize', 'Kiss cameron']",1," Jesse inadvertently stood up Cameron at the restaurant, leaving them both confused and disappointed.  Why did Jesse do this? ","['Go out with someone else', 'Apologize', 'Kiss cameron']",1,0
321, Lee left a mess upon Ash and had to clean the mess for a few hours. What will happen to Ash? ,"['Get yelled at', 'Sad now', 'Clean up the next mess']",2," Lee made a real mess of things when he left Ash, and it took him several hours to tidy up after himself. He really needs to be more mindful of his actions and their consequences. 🤔  What will happen to Ash? ","['Get yelled at', 'Sad now', 'Clean up the next mess']",2,2
322, Bailey expressed their thoughts in words.  He was always very expressive. What does Bailey need to do before this? ,"['Others will talk freely with Baily', 'Speak without thinking', 'Think about what to say']",2," Bailey articulated their thoughts in a very expressive manner, using words to convey their emotions.  What does Bailey need to do before this? ","['Others will talk freely with Baily', 'Speak without thinking', 'Think about what to say']",2,2
323, Jordan watched Alex's every look at the party he went to for school graduation. Why did Jordan do this? ,"['Go to the party', 'Had heard she would be there and he wanted to flirt with her every chance he could get', 'Had heard she would be there and he wanted make sure she did not get bored at the party']",1," Jordan kept a close eye on Alex's reactions as he attended his school graduation party, making sure to catch every glance and smile.  Why did Jordan do this? ","['Go to the party', 'Had heard she would be there and he wanted to flirt with her every chance he could get', 'Had heard she would be there and he wanted make sure she did not get bored at the party']",1,1
324," Jesse had been sick for several weeks, but after taking new medication, Jesse was feeling much better. How would Jesse feel afterwards? ","['Healthy', 'Confident', 'Doing better']",0," After a prolonged illness, Jesse started taking new medication and is now experiencing significant improvement in their health. 💡  How would Jesse feel afterwards? ","['Healthy', 'Confident', 'Doing better']",1,0
325," Skylar sold homemade sculptures, and her family and friends bought them to be supportive.  In a week's time all of the sculptures disintegrated into dust. How would Others feel as a result? ","['Happy', 'Sad', 'Cheated in the sale']",1," Skylar sold some lovely handmade sculptures to her family and friends, who were very supportive of her artistic endeavors. Unfortunately, the sculptures didn't last long, as they disintegrated into dust within a week's time. 😔  How would Others feel as a result? ","['Happy', 'Sad', 'Cheated in the sale']",1,2
326, kai was scared so he sat in austin's lap. What does Kai need to do before this? ,"['See something to be scared of', 'Safe', 'Be with Austin']",2," Kai was feeling anxious, so he sought solace by sitting in Austin's lap and letting him provide a sense of security.  What does Kai need to do before this? ","['See something to be scared of', 'Safe', 'Be with Austin']",2,0
327, Alex was wondering how to send the document to Bailey. Bailey told Alex to send the pdf. How would Bailey feel afterwards? ,"['Indecision', 'Complete', 'Confusion']",1," Alex pondered how to transmit the document to Bailey, and Bailey suggested sending it in PDF format.  How would Bailey feel afterwards? ","['Indecision', 'Complete', 'Confusion']",1,1
328, Jan came over one night and searched the house because she was scared a robber could their. Why did Jan do this? ,"['Be safe', 'Was afraid of criminals', 'Secure']",0," Jan anxiously searched every nook and cranny of the house, fearing that an intruder might have been lurking.  Why did Jan do this? ","['Be safe', 'Was afraid of criminals', 'Secure']",0,1
329, Taylor is going to go hiking in the woods. What will Taylor want to do next? ,"['Remember information', 'Go to the woods', 'Be cautionless']",1, Taylor is looking forward to taking a hike in the beautiful woods this weekend.  What will Taylor want to do next? ,"['Remember information', 'Go to the woods', 'Be cautionless']",1,1
330," Kai gave Sydney a push, after Sydney was too slow getting out of the way. How would you describe Kai? ","['Bad about pushing Sydney', 'Regretful after pushing Sydney', 'Impatient']",2, Kai gave Sydney a gentle push after she failed to move quickly enough from his path.  How would you describe Kai? ,"['Bad about pushing Sydney', 'Regretful after pushing Sydney', 'Impatient']",2,2
331, Alex wanted to learn how to play the guitar on his own and set the plans into motion. What will Alex want to do next? ,"['Rent a guitar', 'Sign up for classes', 'Find a tutor']",0," Alex decided he wanted to learn how to play the guitar on his own, so he began putting plans in place to make it happen.  What will Alex want to do next? ","['Rent a guitar', 'Sign up for classes', 'Find a tutor']",0,1
332, Remy saved the apartment from destruction by holding a protest on the steps. How would Others feel as a result? ,"['Angry about their apartment', 'Proud of Remy', 'Sad that Remy helped them']",1," Thanks to Remy's quick thinking and determination, she was able to prevent the apartment from being destroyed by organizing a peaceful protest on the steps.  How would Others feel as a result? ","['Angry about their apartment', 'Proud of Remy', 'Sad that Remy helped them']",1,1
333, Remy gave birth to a baby girl even though Remy thought they would have a boy. How would Others feel as a result? ,"['Happy that they were not born a boy', 'Happy that they were born a girl', 'As though they messed up by not being a boy']",2," Remy welcomed a precious baby girl into the world, despite their initial belief that they would have a son. 🐰❤️  How would Others feel as a result? ","['Happy that they were not born a boy', 'Happy that they were born a girl', 'As though they messed up by not being a boy']",1,1
334, Sydney put on their clothes and the boys got ready for school. Why did Sydney do this? ,"['Wanted the boys to be self-sufficient', 'Wanted the boys to loaf', 'Wanted to be a good mother']",2, Sydney put on their outfits and the boys prepared for class.  Why did Sydney do this? ,"['Wanted the boys to be self-sufficient', 'Wanted the boys to loaf', 'Wanted to be a good mother']",2,2
335, Tracy had the world by the tail after she managed to do everything at work. How would Tracy feel afterwards? ,"['Sad', 'Sastisfied', 'Ambitious']",1, Tracy excelled in her job and was able to handle everything with ease. 💼👍  How would Tracy feel afterwards? ,"['Sad', 'Sastisfied', 'Ambitious']",1,1
336, A big dog started chasing Tracy in the park so Tracy ran for their life to their car and jumped in to get away from the dog. How would Tracy feel afterwards? ,"['A person who was panicking', 'Tranquility', 'Shocked']",0," Tracy had a close call with a menacing dog in the park, so she sprinted to her car and jumped inside to get away from the aggressive animal.  How would Tracy feel afterwards? ","['A person who was panicking', 'Tranquility', 'Shocked']",0,0
337, Jan made friends with Taylor. Jan now goes to Taylor´s house everyday to play video games. What will happen to Jan? ,"['Stop going to work', 'Fall in love with Taylor', 'Be addicted to video games']",2," Jan has formed a close friendship with Taylor, and they regularly spend time together playing video games at Taylor's home.  What will happen to Jan? ","['Stop going to work', 'Fall in love with Taylor', 'Be addicted to video games']",2,2
338, Ash tried to redeem himself after he missed an open shot in the game. How would Ash feel afterwards? ,"['Disappointed', 'Frugal', 'Trying hard']",2, Ash made a valiant effort to redeem himself after the missed opportunity.  How would Ash feel afterwards? ,"['Disappointed', 'Frugal', 'Trying hard']",2,0
339, Taylor taught math in the schools every day as a vocation to make money. What will Others want to do next? ,"['Know how to teach', 'Hate math', 'Stay in class']",2, Taylor had a passion for teaching math in schools and did it every day as a fulfilling career that provided financial stability.  What will Others want to do next? ,"['Know how to teach', 'Hate math', 'Stay in class']",2,2
340, Jordan was being loud and kept Carson up all night. How would you describe Jordan? ,"['A fun person', 'Inconsiderate', 'Playing a game']",1," Jordan was rather loud and disruptive, causing Carson to lose sleep throughout the night. 😴  How would you describe Jordan? ","['A fun person', 'Inconsiderate', 'Playing a game']",1,1
341, Sasha broke Kai's violin bow and tried to hide it from her. What will Kai want to do next? ,"['Be rude', 'Be mean', 'Ask that Sasha buy another one']",1, Sasha accidentally damaged Kai's violin bow and attempted to hide the evidence.  What will Kai want to do next? ,"['Be rude', 'Be mean', 'Ask that Sasha buy another one']",1,2
342, Sasha works at the doctor's office.  She protected the patient's information. What will happen to Others? ,"[""Sasha who has worked at doctor's office"", 'Want Sasha to appreciate them', ""Appreciate Sasha's efforts""]",2," Sasha is a diligent employee at the doctor's office, ensuring that patient confidentiality is maintained with utmost care.  What will happen to Others? ","[""Sasha who has worked at doctor's office"", 'Want Sasha to appreciate them', ""Appreciate Sasha's efforts""]",2,2
343, There was a thunderstorm and Skylar's kids were scared. She made them hot chocolate and read them a story to ease their minds. What did Skylar do? ,"['Tuck them into bed', 'Made her kids hot chocolate', 'Have them go to sleep']",1, Skylar found a creative way to soothe her children's fears during the thunderstorm by brewing up some hot chocolate and sharing a heartwarming tale.  What did Skylar do? ,"['Tuck them into bed', 'Made her kids hot chocolate', 'Have them go to sleep']",1,1
344, Addison kept their kids well behaved and taught them good manors. What will Others want to do next? ,"['Raise their kids to be good adults', 'Ask their kids to behave', 'Be well manored as well']",1, Addison did an excellent job raising their children to be well-mannered and respectful.  What will Others want to do next? ,"['Raise their kids to be good adults', 'Ask their kids to behave', 'Be well manored as well']",1,2
345, Addison believed in the goodness of each person and regarded every person as a friend. What does Addison need to do before this? ,"['Accepted', 'Addision who has wanted to good friend', 'Atrocious']",0," Addison had faith in the inherent goodness of every individual, and regarded each person as a valuable friend.  What does Addison need to do before this? ","['Accepted', 'Addision who has wanted to good friend', 'Atrocious']",0,0
346, Alex paid extra money to get more secret details about the game strategy. What will Alex want to do next? ,"['Play the game more', 'Ignore the advice', 'Stop playing the video game']",0, Alex paid a premium for exclusive access to advanced game tactics.  What will Alex want to do next? ,"['Play the game more', 'Ignore the advice', 'Stop playing the video game']",0,0
347, Bailey told Aubrey she saw the thief taking candy in the aisle. How would you describe Bailey? ,"['Like a snitch', 'Careless', 'Cautious']",2, Bailey informed Aubrey that she had witnessed an individual taking candy from the store shelves.  How would you describe Bailey? ,"['Like a snitch', 'Careless', 'Cautious']",2,0
348, Sasha was working hard for a long time and wanted a break. They spent a weekend traveling. Why did Sasha do this? ,"['Take a break', 'Enjoy it', 'Visit family']",0," Sasha had been working diligently for quite some time, so they decided to treat themselves to a well-deserved break. They spent a relaxing weekend traveling to a new destination. 🛫️  Why did Sasha do this? ","['Take a break', 'Enjoy it', 'Visit family']",0,0
349, Austin had a rough day at work and decided to go to the bar. Austin had a drink that night. Why did Austin do this? ,"['Settle down', 'Go to the bar', 'Order a drink']",1, Austin had a challenging day at the office and later went to the local pub for a relaxing drink.  Why did Austin do this? ,"['Settle down', 'Go to the bar', 'Order a drink']",1,0
350," Since Kai was feeling confused while trying to present problems in front of the class, Kai makes things up as they go along. How would Kai feel afterwards? ","['Somewhat jealous and angry', 'Somewhat insecure and confused', 'Disoriented']",1," Since Kai was having difficulty explaining their ideas to the class, they improvised and made up information on the spot.  How would Kai feel afterwards? ","['Somewhat jealous and angry', 'Somewhat insecure and confused', 'Disoriented']",1,1
351, Jordan was so good at painting portraits that they made it their career. Why did Jordan do this? ,"[""Jordan's paintings sell for a lot of money"", 'Open a gallery', 'Save for a house']",0, Jordan had such an incredible talent for painting portraits that they were able to turn it into a successful career.  Why did Jordan do this? ,"[""Jordan's paintings sell for a lot of money"", 'Open a gallery', 'Save for a house']",0,0
352, Addison was at the shop and picked up groceries the other day then drove them back home and put them in the frigdge and cupboards. Why did Addison do this? ,"['Plan dinner', 'Was hungry', 'Store the grocery bags']",0," Addison stopped by the market and picked up some essentials, then drove back to her place and put everything away in the fridge and cabinets.  Why did Addison do this? ","['Plan dinner', 'Was hungry', 'Store the grocery bags']",0,0
353, Skylar had tooth pain and found out they needed a root canal. How would you describe Skylar? ,"['Getting fixed', 'Getting new teeth', 'In pain']",0, Skylar felt a significant amount of discomfort due to their tooth pain and discovered that they required a root canal. 😓  How would you describe Skylar? ,"['Getting fixed', 'Getting new teeth', 'In pain']",2,2
354, skylar went shopping with friends in order to buy expensive clothes even though their friends were poor. What will Others want to do next? ,"['Get something', 'Needed to have friends', 'Get nothing']",0," Skylar went shopping with her friends, despite their limited budget, in search of trendy outfits.  What will Others want to do next? ","['Get something', 'Needed to have friends', 'Get nothing']",0,2
355, Riley began to hurt inside. How would Riley feel afterwards? ,"['Happy', 'Someone who needs help', 'Painful']",2, Riley began experiencing intense emotional pain within themselves.  How would Riley feel afterwards? ,"['Happy', 'Someone who needs help', 'Painful']",2,1
356, Tracy gave video games to my friend when they were done with them. How would Tracy feel as a result? ,"['They were a good friend', 'A fan of video games', 'They were unhelpful']",1, Tracy passed on her video games to my friend after they had finished with them.  How would Tracy feel as a result? ,"['They were a good friend', 'A fan of video games', 'They were unhelpful']",1,0
357, Riley played a role in the revolution because he gaved the army weapons and suppliles. What does Riley need to do before this? ,"['Need to gather weeapons so that the revolution has a chance to survive', 'Gather intel on the enemy so that theres accurate info', 'Proud']",1, Riley played an instrumental role in the revolution by providing crucial weapons and supplies to the army. His contributions were invaluable to the cause.  What does Riley need to do before this? ,"['Need to gather weeapons so that the revolution has a chance to survive', 'Gather intel on the enemy so that theres accurate info', 'Proud']",2,0
358, Cameron had a tooth that was bothering him. Cameron phoned the dentist about it. What does Cameron need to do before this? ,"['Needed to find a dentist', 'Needed to hurt his tooth', 'See the dentist']",2, Cameron had been experiencing some discomfort due to a tooth that was causing him issues. He decided to give the dentist a call to make an appointment.  What does Cameron need to do before this? ,"['Needed to find a dentist', 'Needed to hurt his tooth', 'See the dentist']",2,0
359, Sasha improved Jordan's status when they were seen together. How would Sasha feel afterwards? ,"['Frustrated', 'Better', 'Accomplished']",1, Sasha significantly enhanced Jordan's standing when they were seen in public together.  How would Sasha feel afterwards? ,"['Frustrated', 'Better', 'Accomplished']",1,2
360, Remy joined a band who needed a talented drummer. What will rest of the band want to do next? ,"['Assign him the role of manager', 'Write songs', 'Pursue a music career']",2," Remy was thrilled to join a talented band as their drummer, showcasing his impressive skills to the music scene.  What will rest of the band want to do next? ","['Assign him the role of manager', 'Write songs', 'Pursue a music career']",2,1
